,time,author,comment,header
0,12月11日 ,内蒙古股友,一时的数据下跌，并不代表什么；一些家电经销商的经营困难、活不下去，也不可怕。家电厂商关键还是要建立自己的节奏、把握自己的市场竞争主动权。宁言撰稿自今年双11大战之后，来自第三方市场研究机构的一系列周度数据报告，都指向家电零售市场的低迷与差劲。甚至让众多平时不太关注家电行业的人士都惊呼：中国家电业，这到底是怎么了？特别是线下家电零售市场，更是跌跌不休超出众人预期：主要品类几乎是清一色的飘绿，没有一个市场主销品类可以幸免；下跌幅度普遍在2位数以上，其中最大跌幅接近50%，相当于腰斩；更重要的是，这种下跌趋势不仅没有止步，反而还在进一步恶化。这一数据也让众多家电业内人士，心中暗自一惊：难道家电市场真的不行了，难道以后只能选择退出或者自杀式降价抢蛋糕？对此，家电圈则认为，家电厂商千万不要被一时的市场下跌数据吓倒。一方面，短期内，家电零售市场的下跌和上涨，都是正常的市场竞争和变化，并不代表行业恶化；另一方面，单凭一个线下零售渠道的监测数据下跌，就怀疑行业出了问题，也不客观和科学。单从数据来说，第三方公司目前的线下渠道监测数据，主要来自于苏宁、国美等连锁卖场渠道，以及部分的地方性连锁大卖场，即KA渠道。目前，这些渠道在家电企业零售出货量占比，已经降至20%左右。因此拿一个只占二成的样本评估整个家电零售市场走势，是相当不客观也完全不科学的。事实上从去年开始家电零售渠道的碎片化，已经全面引爆，这也带来了很多零售出货难监测、难捕捉。电商、连锁大卖场、实体专营店，以及电商的线下加盟店，家装建材渠道，还有家电企业的智慧体验店，甚至新零售直卖等，不断出现。因为家电零售的多极分化，第三方监测体系却难以覆盖和跟踪，所反应的数据存在失真情况。再从市场端来看，家电市场的下跌和上涨都是呈现阶段性波动了，没有只涨不跌的行业，更不能只拿双十一之后的线上线下零售数据，来评估明年全年市场的走势。目前来看，家电市场整体局面是可控的，即便是家电市场全年收跌，也不可怕。毕竟当前，家电零售市场都高达1.5万亿级以上，整个行业的产值甚至更高。在这种局面下，适当的下跌也不会影响家电企业整体的走势。其实在2019年以来，行业整体走低、市场下滑的背景下，家电业仍然出现了一些头部企业的增长，比如海尔冰洗、美的空调、卡萨帝全系家电等案例。这种增长并非来自于市场的刚需和新增，而是来自于抢夺同行的机会，把握存量需求，以及凭借品牌和技术的拉动力。这也充分说明，市场下跌仍然可以带动企业增长。由此所有家电企业和商家，面对跌宕起伏的市场竞争，任何时候都不要被一时的困难和危险所吓倒，甚至打败。相反，应该选择行业调整和市场下跌的拐点，以更低的成本、更小的代价，获得对行业游戏规则最大程度的定义、调整和优化。接下来越是寒冷，相关家电厂商越是要沉住气，不要被一时下跌甚至腰斩的数据“吓破胆子”，更不要被一时的价格乱战“带坏节奏”，还是应该坚持走自己的路，想办法探索新的道路！因为，局面还可控！====家电圈：覆盖产业面广阔、内容专业、观点鲜明的价值分享平台。文章未经授权严禁转载、违者必究！====,家电厂商们别被腰斩的出货数据吓破胆：双十一后下跌很正常
1,12月09日 ,湖南股友,转美的股友共同分享                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    乐呵呵wang                                                                                                            发表于 2019-12-07 19:50:34                                                                                                                                              [中国平安吧] 美的持有10年己实现财务自由，就让它放着，咋天买了300平安先观察一下，跌下去就                                                  美的持有10年己实现财务自由，就让它放着，咋天买了300平安先观察一下，跌下去就加，大跌大加,转美的股友共同分享
2,12月09日 ,北京股友,@乐呵呵，早晨。今早我看过你近日的贴，你卖了银行股，把资金都分批买入美的，这就对了，我们这类人定要跟准大A方向，把有限的资金用在无限的资本市场。我早在几个月前与你交流大A时提出的问题，经过时间验证暂停是对的。希望我无错。大家都能赚钱。开开心过好每一天。股市看成我们的娛乐，涨跌看淡。身体健康最重要。,@乐呵呵，早晨
3,12月08日 ,辽宁股友,世界那么大，我想去看看但其实，中国960万平方公里的土地上也拥有着无穷无尽的美景足以将你的眼睛搁在天堂不用羡慕国外如果你将中国走遍看遍中国的美景那也同样是一位超级旅行达人这些中国独有的景色足以惊艳所有的时光中国最美的50个地方余生一个个走遍中国最美的古城墙--长城不到长城非好汉去北京一定要去万里长城它凝结着古代人民的智慧无论什么季节去它都将带给你震撼中国最美的宫殿--故宫故宫是中国乃至世界上保存最完整规模最大的木质结构古建筑群被誉为“世界五大宫之首”朱墙金瓦，不知吸引了多少人们的驻足中国最美的秋色--婺源在秋天去婺源不知是多少人的愿望清单啊中国最美的湖泊--喀纳斯湖你是迷恋于它的传说还是它的色彩无论五河它一定是充满神秘与魅力的中国最美的光影--福建霞浦大自然一定是世界上最棒的画家在霞浦，每一段时光都是不同的色彩中国最美的星空--北极村你多久没有看过星空了？城市的喧嚣让我们忘记了抬头望望天当漫天繁星和银河展现在你眼前你一定会感动的中国最美的沙漠--巴丹吉林沙漠悠然的驼铃似乎还在诉说着这里的故事风吹过，就讲给你听中国最美的草原--呼伦贝尔大草原水草丰美，牛羊在这里悠然吃草天空很蓝，云朵很低用最大力奔跑，变得无比开心中国最美的梯田--龙脊梯田如果你遇上灌水期的梯田景色就这样将你包围相信我，它一定会成为日后最美的回忆中国最美的丹霞地貌--张掖如果有一个地方，美得像外星球那一定是张掖阳光照下来灿若丹霞中国最美的喀斯特地貌--云南罗平站在山顶放眼望去一个个形态各异的锥状山头点缀在无边无际的绿色和黄色的海洋中中国最美的信仰--色达在这里身披桨红色僧袍的喇嘛和尼姑来来往往空气中充满着祥和的气氛寻的是内心的一份宁静中国最美的山城--重庆如果你想逃离繁杂的生活那不如来重庆，吃火锅看夜景简单的消磨时光，逍遥生活中国最美的水乡--乌镇在这里是泡上一盏茶坐在靠窗的位置静静地看这里的一草一木一砖一瓦或是乘船感受这不一样的小镇风光中国最美的古镇--湖南凤凰吊脚楼、茶峒小街、绳渡白塔…构筑起了沈从文千百万读者心中的凤凰古城梦里的边城风月中国最美的乡村--白哈巴由于远离尘嚣长久以来始终保持着古朴淳厚的民俗风情尤其是秋天，美不胜收让人只愿沉醉其中中国最美的寨子--千户苗寨十余个依山而建的自然村寨相连而成是目前中国乃至全世界最大的苗族聚居村寨寨子的尽头是一片田园风光整齐的梯田，风景十分震撼中国最美的古城--丽江古城木楼青瓦，古街石巷小桥流水，站在古城东大街上举头即可遥望玉龙雪山闲暇的下午就在这里无所事事的走一走任凭阳光温暖的照耀中国最美的秘境--香格里拉香格里拉的秋天曾入选《中国国家地理》“中国十大最美秋色”排行榜浓墨重彩、遗世独立、梦幻天然香格里拉的秋天错过你真的会后悔中国最美的山洞--武隆芙蓉洞《 中国 国家地理》杂志评为“ 中国 最美的洞穴”里面的溶蚀形态千奇百怪在灯光的照射下显得更加神秘中国最美的园林--拙政园园中小径曲折一重重门廊、镂空图案的石墙...整个园林的设计十分精巧逛起来可以说是“一步一景”处处体现着江南水乡的韵味中国最美的山水--漓江漓江在不同天气下风味多姿晴天青峰倒影阴天漫山云雾雨天烟雨如梦中国最美庙宇--拉卜楞寺群山之间，蓝天之下金色的黄昏，绛红的僧袍闪着光的佛塔不论谁走到这里看上匆匆一眼都会被错落有致的僧舍和虔诚的信仰深深地震撼中国最美的小岛--鼓浪屿在鼓浪屿的巷子里迷路你可以什么也不用想什么也不用做让时光就这样从身边流淌中国最美的海景--三亚位于中国海南岛最南端是地球上迷人的风景地带四季如夏，鲜花盛开素有“东方夏威夷”之称最适合甜蜜的爱人一起旅行中国最美的峡谷--怒江大峡谷它是世界上最长、最神秘最美丽险奇和最原始古朴的东方大峡谷俯瞰这一切都让人震撼中国最美的雪山--梅里雪山又称太子雪山，是藏区八大神山之一著名的“日照金山”是很多人梦寐以求难得一见的胜景云雾缭绕间慢慢展示着它的真面目中国最美的森林--大兴安岭,中国最美的这50个地方，我去过16个
5,12月05日 ,内蒙古股友,"正如12年前苹果手机第一代产品上市时，没有人会想到触摸屏智能手机将""一统江湖""那样，11年前当京东进军家电零售市场，没有人会想到电商网购会取代连锁卖场，成为家电零售主渠道。近日京东与美的两大巨头签下一份震动行业的""3年1500亿""大单，又将给家电零售业态未来发展带来哪些影响和想象空间？孔余撰稿寒冬中的中国家电市场不仅没有半点冷清与萧条，反而因为行业巨头们的频频引爆，再添几把火。日前，就在美的格力在空调市场再次打响一场价格清场、行业洗牌的""龙虎斗""之际，京东美的则于家电零售新战场签署了一份""3年1500亿""的大单，以创纪录的合作金额为家电零售新业态的探索再添一把柴。自2019年家电市场大幕开启以来，当产业转型步入深水区与一线零售市场下滑、消费需求增长乏力，以及产业竞争从增量步入存量时代等各种因素叠加，无论是家电品牌商，还是家电零售商，再次走到一个新十字路口。而美的与京东选择在2019年与2020年交替的岁末年初逆流而上，签署一份""3年1500亿元""大单，又将给行业未来发展和渠道变革带来哪些实施影响和新的想象空间？翻开最近20年家电品牌商与零售商之间的各种战略合作协议，可以看到""3年1500亿""无疑是一个刷新零供合作新纪录的大事件。但在家电圈看来，这并非只是京东美的两家战略合作关系迈入新通道的品牌大事，而是处在家电行业十字路口上，零售新业态领路人京东推动家电制造链、供应链全体系共同变革，进入发展新周期的行业大事。这将是未来几年推动家电产业逆风飞扬的变革新红利。源起：永不满足的创新精神，让美的京东创造历史数千年以来，历史都是由胜利者书写、由永不满足的创新者开创。翻开近40年来，中国家电零售市场的变革历程，可以清楚看到：无论是当年郑州亚细亚为代表的国代省代开创的大批发时代，还是国美苏宁为代表的连锁大卖场零批混营时代，或是京东天猫为代表的电商网购时代，每一轮周期性变革、产业主角更迭，都会创造新的历史。就在火爆家电业的11月即将落幕之际，京东与美的为行业再添一把火：在京东集团高级副总裁、京东零售集团3C电子及消费品零售事业群总裁闫小兵，与美的集团董事长兼总裁方洪波、美的集团中国区域总裁吴海泉共同见证下，美的集团旗下全品牌全品类未来3年在京东平台实现1500亿元销售额的中期目标，最终锁定。放眼整个家电产业，一家是家电零售新业态的探路者，一家是家电科技创新驱动的引领者，两家企业在寒流频袭的家电业签下这份千亿级大单，不只是为产业注入一股新的暖流，更为重要的是让家电产业所有从业者意识到，积极创新才是应对这个变幻莫测时代的最好手段。在电商网购早已成为家电零售主流渠道的今天，京东与美的战略合作金额年年翻倍、步步为营，看似水到渠成、顺理成章。但当我们将时钟拨到五六年前，那个时候还没有几个家电人会相信，电商网购会主导产业零售的未来变革和方向。早在2013年全面入驻京东后，2014年底美的集团董事长兼总裁方洪波与京东集团董事局主席兼首席执行官刘强东在北京签署双方的第一份战略级合作协议，开启了美的集团拥抱电商网购的大幕。2017年和2018年，京东与美的两度签署年度战略合作协议，分别制定200亿元和300亿元的年度目标并顺利完成，让美的成为中国首个在单一渠道成交额突破200亿元和300亿的家电品牌。2019年双11大促刚过，吴海泉在与家电圈交流时透露，今年美的集团在电商渠道销售收入占比达到35%，超过连锁大卖场渠道占比。对于美的等家电行业的头部企业来说，京东不只是一个电商网购平台，而是一个创新模式和手段引领消费新周期、新趋势的弄潮儿，更是一个开放平台赋能家电品牌商的破局者。进入家电零售十多年来，京东不只完成了中国消费者对家电网购的认知启蒙和习惯建立，推动家电选购从卖场时代全面进入网购时代；同时，还在中国家电产业遭遇繁荣和低谷并存的产业调整周期，大量家电产品毛利率下跌，关于家电为夕阳产业的论调频现时，通过大量创新手段，开启零售商自下而上赋能行业和市场的创新变革。自正式进入家电销售领域以来，京东以""30天质量问题包退，30天价格保护，180天质量问题包换""的服务创新赢得消费者，以多次""三年不涨合作点位""的创新合作理念赢得合作伙伴信赖，以C2M反向定制""京品家电""创新产品模式满足消费者个性化需求，以京东帮和京东家电专卖店的创新渠道下沉方式实现线上线下融合，以京东电器超级体验店的创新门店模式引领行业新风向……正是因为强大的创新DNA，京东家电才得以一直狂飙突进，从一个家电渠道的搅局者成为领导者。美的集团技术创新和业务模式创新也从未停止。以用户为中心的美的创新驱动体系，如今开始在家电市场全面引爆：在产品层面，Air空间站空调、低糖电饭煲、超微浸泡水魔方二代洗衣机、AI节能电热水器、微晶一周鲜冰箱等新品层出不穷；在运营层面，基于T+3运营，实现大规模定制全面落地；在研发层面，过去五年美的研发累计投入近300亿元，最近2年均达到100亿元，成为中国首家研发投入超过百亿的家电企业。支点：企业胸怀战略格局全球视野，探路家电零售新业态企业家的胸怀、格局与视野，决定企业未来发展的高度与成就。对于所有人、所有企业来说，决定视野的不是眼睛，而是内心的见识、胸怀和格局。当年在互联网浪潮正酣，刘强东带领京东掀起一场移动互联网消费大幕，最终还在家电零售业开启一场从线上电商网购到线下实体专营再到线上线下无界变革的持续变革；同样在家电产业发展巅峰时刻看到变革的紧迫性，方洪波领导的美的集团开启了一场以科技创新驱动取代传统的规模效益和成本优势的新变革，构建""产品领先、效率驱动、全球经营""新战略。一直以来，对于家电流通产业的形态，无论是当初的百货商场、后期的连锁卖场，还是如今的电商网购，甚至未来的超级体验中心，众多家电企业都存在着极大的认知误区，认为这只是一个商品零售的平台，却忽视了平台背后所隐藏的用户需求、物流仓储、技术金融等诸多资源和能力；只是看到零供合作过程中的一系列博弈关系，而忽视了零售整合将开创的商业新空间。在今年双11后接受媒体群访时，吴海泉曾直言：如今已不能将电商简单理解为一个零售渠道，而是整个底层数据化后带来的效率更高、用户跟品牌链路更短、产品研发周期和产品需求把握精准度更高，以及产品交付效率更高的一个平台，效率才是电商的本质。近年来，美的集团已连续多年蝉联京东家电品牌年度销售第一，并在618和双11销售排行榜中始终牢牢占据着全品类销售冠军位置。正是得益于美的开放合作的态度，针对电商平台的不同细分用户提供不同的产品，实现圈层用户的深耕细作。在京东主导的电商网购进入家电零售市场以来，不只是开创了618、双11等主题促销节点，通过贯穿全年的巅峰24小时、超级品牌日等各种主题的立体营销手段引爆消费市场；同时推动C2M渠道反向定制模式的落地，与主流家电品牌商、供应商共同打造""京品家电""。更为重要的是，通过开放电商平台的用户大数据、物流仓储、资金技术等各种资源和能力，全面赋能上游的中小家电品牌商和供应商，带动整个家电产业链条向着更高效、更快速、更精准的方向迈进。或许是很早就预见京东在家电零售产业的做大做强，早在多年前刘强东与十几家家电头部品牌商掌门人共叙零售渠道变革走势时，就公开承诺并表态：京东不会寻求建立自己独赢的商业帝国，而是与合作伙伴结盟，大家共赢天下。为此，京东与厂商分成比例永远都是1：2，京东只拿利润的三分之一。闫小兵也多次表态：京东要与品牌商一起，在知人、知货、知场的基础上重新定义成本、效果和体验，重塑消费者与品牌商的关系，最终让消费者受益、品牌商获利。前瞻：开放平台共创同赢，京美CP加速行业转型进程站在互联网向物联网更迭的新起点上，无论是家电品牌商，还是家电零售商，面对的商业零售早已不是一次""低进高卖赚差价""的交易行为，而是一门以各种先进技术手段支撑和驱动的科技行业。因为无论是制造、零售还是服务，各个环节都需要实时捕捉用户需求，满足用户需求。由此对于家电产业来说，美的京东""三年1500亿""战略合作，只是商业零售继续变革一个新起点，未来这组CP将会带动更多家电厂商加快利用渠道变革倒逼产业转型的步伐和力量。作为一个开放的商业零售平台，京东如今在成为中国家电零售产业领头羊背后，正是其已经成为众多家电企业渠道转型和变革的首选，正在成为越来越多的家电企业新品首发地，从定制产品到定制生产链，甚至向上延伸定制核心部件；同时包括美的、海尔、海信等诸多头部品牌，开始借助京东家电覆盖全国2.5万乡镇和60多万个行政村的超过12000个京东家电专卖店下沉到4-6级市场，让用户可以像居住在城市一样第一时间购买到新品，彻底消灭困扰家电零售产业几十年的城乡鸿沟。松下家电（中国）有限公司总经理吴亮在与家电圈交流2020年的市场布局时，就强调要加快跟上中国消费变化的趋势，提升在京东等电商渠道的占比，特别是要推动一些高端新品在电商平台的引爆，从而带动整个松下家电在中国的整体变革。""今年以来，松下冰箱线上占比追上了行业平均数，但是在洗衣机、小家电、美容个护等品类上还需要大步快跑拥抱电商""。刚刚过去的双11期间，格力电器首次拿出30亿在京东等电商平台让利用户，意在抢夺年轻消费人群。其实，早在2015年格力电器董事长董明珠与刘强东共同见证格力与京东的战略合作，2017年双方就确定100亿元目标，2019年京东更独家包销格力全品类家电，成为推动格力互联网转型的重要力量。就在今年双11过后，包括海尔、飞利浦、海信、长虹、康佳、TCL、索尼、夏普等中外品牌，再次与京东开启了新一轮的年度战略合作洽谈，同时启动新一轮的新品首发、年末感恩等各种主题促销活动。这在释放出京东作为家电零售第一平台的持续开放、平等互利、共创同赢的商业魅力。不过在业内人士看来，京东美的作为家电零售新业态合作标杆，不只是会带动更多企业和商家探索零供合作新模式，加速家电零售从线上线下之争，走向以用户为中心的双线融合新格局；同时，还将赋予家电行业在这个多变时代通道中，构建新型零供合作关系实现双方优质资源和能力整合，应对外部市场冲击的能力和实力；最终，开启中国家电产业上下游伙伴""强强联手、创新驱动、开放胸怀、相互赋能""的新一页。====家电圈：覆盖产业面广阔、内容专业、观点鲜明的价值分享平台。文章未经授权严禁转载、违者必究！====",京东家电美的集团3年1500亿
6,12月04日 ,湖南股友,帮吧内某人算一笔帐，昨天看了一篇帖子内容是60卖57买，现在只有54照帖主的说法是亏了叁元，我的理解刚好相反，长线持股成本已降了叁元比好多拿着不动好多了，一年分红就一元多你已经赚了两年分红还不满足，难道每次要最低进最高出你比巴菲特还厉害吗，,帮吧内某人算一笔帐，昨天看了一篇帖子内容是60卖57买
7,12月03日 ,江苏股友,"请新硬庄主力们抄底菲达环保!有263亿订单年业绩脱帽概念.垃圾分类业务小盘低价股低价小盘股垃圾分类业务! 请新主力硬庄们抄底菲达环保!有业绩和263亿订单脱帽概念46个重点城市加速推进垃圾分类, 　其中北京是首个立法城市,　请新主力硬庄们去抄底菲达环保!最高点错杀下来仅1折股价附近!好筹码未来翻几倍都可 　 　　指数涨这么多,　菲达这股才相当于1200点!筹码珍贵洗盘就抢!　　 超跌股最易被踏空机构抢筹.　　　菲达有垃圾分类业务　 　浙江国资委整合概念　国家十年环保工程　 业绩大订单（见下面附图）　 　月线大底　绝对几年跌出来的低价筹码　 　　上证50股票所有大资金都是这几年获利几倍的,高位出来进低位菲达环保 ,又买的多　何乐不为?欢迎新庄大资金进入　新庄大资金可随便买呀!大好环境不会上涨, 青春时光等闲度, 再混一年再穷一年,　踏空的散户就会越聚越多，霉股，上证50都涨了几年在高位!而中小创是低位,这回跷跷板该中小创涨。都等着买便宜货呢吧!　　 反而现在有钱就可以买这种超跌的票。大好环境不会上涨,青春时光等闲度, 　　再混一年再穷一年,踏空的散户就会越聚越多快补仓谁还信这票不会脱帽?　　　有浙江省省国资委领导的讲话,有3季报盈利的业绩数据,有年度263亿订单业绩预报。有十年 　　蓝天工程 　环保政策持续护航。还有5亿现金支持上市公司运转 　,谁还信这票不会脱帽?　　不做推荐 　您自己考虑!菲达喜欢做箱体洗低了就买!业绩又有极大保证!公司隶属于浙江省国资委重点企业,目前这个价位点，横盘太久又没涨过,大家看是否是诱空抄底的机会？估计今天可能是折腾的一天。等脱帽吧！省国资委主任的近期讲话就是导向,政策大于一切,低买就是了,感谢主力横盘太久并在打出低位筹码给机会! 　只有超级弱智的主力才在低位打出筹码来瞎洗盘！ 贻误战机的主力不会快拉给自己挣大钱, 　国家十年环保 　蓝天工程 　　计划是总方向, 　脱帽后,我猜这票又回30多了 　快低价格补仓啊!!! 　　不做推荐 　您自己考虑!",有263亿订单年业绩脱帽概念的菲达环保.垃圾分类业务小盘低
8,11月29日 ,云南股友,"转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ni有情人                                                                                                            发表于 2019-11-28 20:47:53                                                                                                                                              [<span class=""showStock"" id=""stock_sz002491"">通鼎互联</span><span id=""quote_sz002491""></span>吧] 中国5G及科技应用创新或许会超过大多人的预期。全球5G未涨股002491<span class=""showStock"" id=""stock_sz002491"">通鼎互联</span><span id=""quote_sz002491""></span>                                                  中国5G及科技应用创新或许会超过大多人的预期。全球5G未涨股002491<span class=""showStock"" id=""stock_sz002491"">通鼎互联</span><span id=""quote_sz002491""></span>真的是非常值得你大胆买进并坚定持有到100元以上(良心推荐，一起买A8)。中国5G及应用创新目前是起点，领先全球，未来或许会超过多数人的预期。创新的具体方向开始显现　　一是基础设施创新。5G消费大周期临近，带动电子、通信行业景气度持续。2020年是5G建设放量之年。5G将带来两方面改进：一方面5G终端：5G换机周期将持续2-3年，有望带动消费电子、半导体均复苏。另一方面，5G网络衍生应用端：企业级通信发展空间仍然巨大。　　二是关键应用创新。云计算、国产化等有望迎来更大需求。国产化替代的科技行业业绩兑现时点渐行渐近，另外四个细分子行业也将进一步受益：其一：金融开放背景下，金融IT新一轮跑马圈地蓄势待发；其二：云计算的加速渗透带来Iaas/SaaS的全产业链机会；其三：政策推动 节点临近，医疗信息化有望持续高景气。其四：人工智能是新一轮IT革命的重要引擎。　　三是核心硬件创新：高端制造发展带动配套设备和硬件应用先行。相对看好：首先，半导体设备产能向大陆转移释放庞大需求，反弹动能更大；其次，锂电设备和新能源车：稳增长需求和特拉斯带动；第三：激光加工、<span class=""showStock"" id=""stock_sz300024"">机器人</span><span id=""quote_sz300024""></span>：工业自动化升级带来　　四是渗透率持续提升。技术互促互补创新：军工既是需求也是供给。军工行业有望迎来业绩大拐点。军队改革人员、架构调整影响消除后，补偿式采购力度有望大超预期，非主战装备承制单位将迎来释放业绩弹性的拐点。军工技术民用化也是经济创新的重要来源之一。关注需求稳健的主战装备和弹性较大的非主战装备企业。<span id=""show_stock_str"" ></span>",转发
11,11月23日 ,浙江股友,"发展好有钱，负债率居然65%！哇靠搞不懂 哈哈，宰牛过元旦，下周暴跌，肥牛火锅爽歪歪！中行、农行、<span class=""showStock"" id=""stock_sh600028"">中国石化</span><span id=""quote_sh600028""></span>、<span class=""showStock"" id=""stock_sh600971"">恒源煤电</span><span id=""quote_sh600971""></span>、<span class=""showStock"" id=""stock_sh600019"">宝钢股份</span><span id=""quote_sh600019""></span>、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>、<span class=""showStock"" id=""stock_sz002277"">友阿股份</span><span id=""quote_sz002277""></span>、<span class=""showStock"" id=""stock_sh603113"">金能科技</span><span id=""quote_sh603113""></span>、<span class=""showStock"" id=""stock_sz000059"">华锦股份</span><span id=""quote_sz000059""></span>、<span class=""showStock"" id=""stock_sh600308"">华泰股份</span><span id=""quote_sh600308""></span>、<span class=""showStock"" id=""stock_sh603980"">吉华集团</span><span id=""quote_sh603980""></span>、<span class=""showStock"" id=""stock_sz000417"">合肥百货</span><span id=""quote_sz000417""></span>、<span class=""showStock"" id=""stock_sh603225"">新凤鸣</span><span id=""quote_sh603225""></span>、<span class=""showStock"" id=""stock_sh600023"">浙能电力</span><span id=""quote_sh600023""></span>相对不错，爽歪歪！好股票，立帖为证！<span id=""show_stock_str"" ></span>",发展好有钱，负债率居然65%！哇靠搞不懂[哭]哈哈
12,11月22日 ,吉林股友,美的董秘江鹏说：“虽说做贴牌的利润不比自有品牌低，但去年在东盟地区我们已经不再做贴牌，而是全部换成了自有品牌。“ 这不是明摆着此地无银三百两嘛！！既然贴牌利润不低，那就继续做啊！干嘛全部换成自有品牌呢？？……,美的董秘江鹏说：“虽说做贴牌的利润不比自有品牌低
