,time,author,comment,header
0,12月13日 ,<a href='/u/5261618740' title='用户8428964861'>用户8428964861</a>,挺住兄弟们，下周此股必21,挺住兄弟们
1,11月16日 ,<a href='/u/2767434755' title='飘博2015520'>飘博2015520</a>,垃圾新闻，,垃圾新闻
3,11月08日 ,海南股友,拥抱猪禽养殖股，价值投资正当时，五十年一遇的好时机。通证券分析师11月1号的研报显示：预计新希望2019一2020年的归母净利分别为55亿和113亿元，股价30一36.9元，市值1400一1540亿元。会实现吗?我估计6个内即可实现，因为农民朋友们根本不敢养猪。,拥抱猪禽养殖股，价值投资正当时，五十年一遇的好时机
4,11月06日 ,甘肃股友,"【桐城】总投资约42亿元的<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>六和股份公司投资项目在桐签约10月31日10时，<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>六和股份有限公司在桐投资项目签约仪式在桐城国际大酒店举行。市委书记刘中汉、<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>六和股份有限公司副总裁胡吉出席签约仪式并讲话。市委副书记、市长徐雄主持签约仪式。安庆市招商中心主任汪久清，市领导王志义、雷建鸣、章周中、王凯红，<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>集团华东区域副总裁、<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span><span class=""showStock"" id=""stock_sz300266"">兴源环境</span><span id=""quote_sz300266""></span>科技股份有限公司副总裁李佳等出席签约仪式。签约仪式上，刘中汉代表市委市政府对<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>集团来桐投资、合作发展表示感谢。他指出：签约既是双方友好合作的延续，更是深度合作、共创未来的开端。<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>集团是国家级农业产业化重点龙头企业，此次在桐项目投资大、起点高，桐城市委、市政府将严格按照“一刻不耽误”的标准，以最大的诚意、最优的政策、最好的服务，做好服务和配套工作，全力支持项目顺利实施。希望双方精诚合作、携手共进，合力打造高标准、高档次的生猪产业一体化生态产业园。徐雄在签约仪式上表示：桐城市委、市政府将秉持“一切为企业服务，一切为项目让路”的招商宗旨，为项目建设提供最优质的服务、营造最优越的发展环境。他希望项目单位树立坚定信心，加强沟通交流，加快建设进度，力争项目早开工、早建成、早达产、早见效。胡吉对桐城的投资环境给予充分肯定。胡吉表示：桐城农业资源丰富，民风淳朴，区域优势明显，桐城古训“穷不丢书，富不丢猪”与<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>集团的勤俭实干精神深度契合，相信双方合作一定会互利互惠，协力助推桐城高质量发展。<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>集团是中国最大的农牧食品全产业链企业，位列中国民营企业500强第31位。此次在桐投资项目为年出栏200万头生猪产业一体化生态产业园区项目，集“种、养、屠宰、深加工、冷链物流”等产业为一体，项目总投资约为42亿元，项目用地5000余亩。市委办、政府办、发改委、农业农村局、自然资源和规划局、财政局、水利局、住建局、生态环境分局、投资促进中心、新渡镇、范岗镇主要负责同志参加签约仪式。<span id=""show_stock_str"" ></span>",【桐城】总投资约42亿元的新希望六和股份公司投资项目在桐
5,11月06日 ,重庆股友,"【桐城】总投资约42亿元的<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>六和股份公司投资项目在桐签约10月31日10时，<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>六和股份有限公司在桐投资项目签约仪式在桐城国际大酒店举行。市委书记刘中汉、<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>六和股份有限公司副总裁胡吉出席签约仪式并讲话。市委副书记、市长徐雄主持签约仪式。安庆市招商中心主任汪久清，市领导王志义、雷建鸣、章周中、王凯红，<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>集团华东区域副总裁、<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span><span class=""showStock"" id=""stock_sz300266"">兴源环境</span><span id=""quote_sz300266""></span>科技股份有限公司副总裁李佳等出席签约仪式。<span id=""show_stock_str"" ></span>",【桐城】总投资约42亿元的新希望六和股份公司投资项目在桐
6,11月06日 ,海南股友,"、<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>300498 、<span class=""showStock"" id=""stock_sz002146"">荣盛发展</span><span id=""quote_sz002146""></span>002146、<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>000876的民营银行布局区块链专利技术了吗？银行积极布局区块链备案14项服务，主要集中在跨境贸易、供应链金融、信息识别等领域。第二批境内区块链信息服务备案清单中共涉及309个境内区块链信息服务名称及备案编号，其中大部分为银行、金融服务机构或信息科技类公司，涉及多家上市公司。应用方向涵盖文旅、教育、电商、司法、医疗、供应链金融等多个领域。大部分是注册于京、沪、浙、粤地区。】2019年3月30日，国家网信办公开发布第一批共197个区块链信息服务名称及备案编号。这是自2019年2月15日《区块链信息服务管理规定》正式实施，国家网信办组织开展备案审核工作以来首次公布备案情况。国家网新办强调，根据《区块链信息服务管理规定》，区块链信息服务提供者应当在其对外提供服务的互联网站、应用程序等显著位置标明其备案编号。备案仅是对主体区块链信息服务相关情况的登记，不代表对其机构、产品和服务的认可，任何机构和个人不得用于任何商业目的。<span id=""show_stock_str"" ></span>",新希望000876的民营银行布局区块链专利技术了吗？
7,11月06日 ,广西股友,"今年以来，猪肉价格大涨。然而，一系列稳定生猪生产和猪肉保供稳价措施也密集出台。有关部门表示，猪肉相关产能年底前有望探底回升。1猪肉上涨带来溢出效应2019年，作为“二师兄”的本命年，猪肉价格迎来“高光时刻”。农业农村部发布的全国500个农村集贸市场仔猪平均价格显示，截至10月23日，仔猪价格为73.5元/公斤，比10月16日上涨8.8%；比去年同期上涨202.7%。国家统计局数据显示，9月CPI（居民消费价格指数）同比上涨3%，环比上涨0.9%，是6年来新高。其中，9月猪肉价格同比上涨69.3%，涨幅扩大22.6个百分点，影响CPI上涨约1.65个百分点，是拉动CPI和食品价格上涨的主要原因。什么是让猪肉价格上涨的主因？卓创资讯畜牧分析师李晶对《国际金融报》记者表示，最重要的原因是前期“非洲猪瘟”疫情导致的产能缩减。此外，二次育肥（指将100-110公斤的生猪再次回圈育肥）导致流向屠宰厂的生猪比较少。两者叠加导致猪肉价格快速上涨。除拉动CPI上涨外，猪肉上涨还带来了溢出效应。今年以来，作为猪肉重要替代品，鸡蛋成为居民畜产品消费的增长点，需求旺盛。近两周，鸡蛋价格涨跌与猪肉价格之间的涨跌高度同步。猪肉价格的每一次上涨或调整都带动着鸡蛋价格的上涨或调整。不少专家指出，纵观历次“猪周期”，当猪肉价格上行时，总体而言，与猪肉相关食品和蛋白质替代类食品价格确实存在不同程度的上涨，有较强的相关性；而其余食品类别（包括粮食、鲜果、鲜菜等）在不同的周期未体现出明显的规律。2开启“金猪十年”？“二师兄”魅力十足，有券商在研报中称，2019年是“金猪十年”的元年。最近，北方的生猪价格连续三天回落。东北局部地区单日降幅在2.0元/公斤以上，辽宁地区瘦肉型猪出栏均价由38.90元/公斤跌至34.48元/公斤，降幅11.36%。李晶指出，此番价格下降的原因主要包括：从供应端角度看，高价鲜品滞销情况明显，肥猪集中出栏以及冻品大批出库，在供给端增加的情况下，价格出现下降。从需求的角度看，短期内缺少重要节日的提振，屠宰企业的开工率大幅下降，生猪需求逐渐走低。卓创资讯对某大型屠宰企业全国分厂总屠宰量监测数据显示，当前重点屠宰企业开工率普遍在30%以下，部分小厂因资金周转困难而屠宰周期改为2-3日一次。当前屠宰总量为1.3万头/日，而同期正常水平为4万-4.5万头，同比下滑67.5%。然而，价格下滑的时间太短，如今又反弹至下跌前状态。截至11月1日，全国瘦肉型白条猪肉出厂价格为51.23元/公斤，同比上涨178.88%。“短期内猪肉价格下滑的可能性不大，未来预期还是上涨。”李晶告诉记者，11月上旬猪肉价格仍以震荡为主。11月下旬至12月，需求端提振较多，供给产能暂时无法释放，预期价格还将上涨。3保供稳价措施密集出台今年以来，从中央到地方，一系列稳定生猪生产和猪肉保供稳价措施密集出台。从适时投放中央储备冻猪肉和牛羊肉到鼓励扩大猪肉进口，从加强非洲猪瘟病毒检测信息管理到提高生猪、能繁母猪、育肥猪保险保额，从支持实施生猪良种补贴到对种猪场、规模猪场流动资金和建设资金贷款给予贴息，支持养猪企业扩大规模和缓解资金压力等。根据农业农村部此前对全国年出栏5000头以上规模猪场全面调查，9月份生猪存栏4445.51万头，环比增长0.6%；能繁母猪存栏610.47万头，环比增长3.7%。对100家重点种猪企业监测显示，9月份后备母猪销量环比增长70.7%。据对全国饲料生产企业全口径统计，9月份猪饲料产量环比增长10%。农业农村部畜牧兽医局局长杨振海表示，综合生猪存栏和能繁母猪存栏环比降幅明显收窄、规模猪场生产由降转增、饲料产量止降回升、种猪销量持续大幅增长等判断，养殖生产积极性正进一步提高，年底前产能有望探底回升，市场供应明年有望基本恢复。<span class=""showStock"" id=""stock_sh601198"">东兴证券</span><span id=""quote_sh601198""></span>在研报中指出，从供给来看，除猪肉外的其他食品项供给总体是充裕的。从需求看，总需求增长偏弱。从历史看，猪价的变动无法决定总体通胀的路径。因而未来猪肉与食品很难共同大幅上涨，通胀不会失控，“CPI破4甚至破5是在杞人忧天”。国家发展改革委新闻发言人孟玮此前表示，从今后一段时间来看，我国物价不具备全面大幅上涨的基础。来源：国际金融报（来源：享诠财经的财富号 2019-11-06 12:18） [点击查看原文]<span id=""show_stock_str"" ></span>",“二师兄”身价还涨得动吗？一大波保供稳价措施来袭
8,11月06日 ,山东股友,公司10-12月大概还要出栏110万头猪才能完成全年350万头的规划目标，按目前生猪均价来看，卖1头去本能赚2000以上，110万头在价不变的情况下4季度猪赚22亿，其它不要了，全年都有52亿，20倍市盈率都能支撑千亿市值折算股价23.7，明年猪价6月后可能回落，但明年出栏翻倍，可以以量补价，做到今年的利润是大概率可以的，目标价30,不用担心
9,11月06日 ,湖北股友,"　　今年以来，猪肉价格大涨。然而，一系列稳定生猪生产和猪肉保供稳价措施也密集出台。有关部门表示，猪肉相关产能年底前有望探底回升。　　1　　猪肉上涨带来溢出效应　　2019年，作为“二师兄”的本命年，猪肉价格迎来“高光时刻”。　　农业农村部发布的全国500个农村集贸市场仔猪平均价格显示，截至10月23日，仔猪价格为73.5元/公斤，比10月16日上涨8.8%；比去年同期上涨202.7%。　　国家统计局数据显示，9月CPI(居民消费价格指数)同比上涨3%，环比上涨0.9%，是6年来新高。其中，9月猪肉价格同比上涨69.3%，涨幅扩大22.6个百分点，影响CPI上涨约1.65个百分点，是拉动CPI和食品价格上涨的主要原因。　　什么是让猪肉价格上涨的主因？　　卓创资讯畜牧分析师李晶对记者表示，最重要的原因是前期“非洲猪瘟”疫情导致的产能缩减。此外，二次育肥(指将100-110公斤的生猪再次回圈育肥)导致流向屠宰厂的生猪比较少。两者叠加导致猪肉价格快速上涨。　　除拉动CPI上涨外，猪肉上涨还带来了溢出效应。今年以来，作为猪肉重要替代品，鸡蛋成为居民畜产品消费的增长点，需求旺盛。近两周，鸡蛋价格涨跌与猪肉价格之间的涨跌高度同步。猪肉价格的每一次上涨或调整都带动着鸡蛋价格的上涨或调整。　　不少专家指出，纵观历次“猪周期”，当猪肉价格上行时，总体而言，与猪肉相关食品和蛋白质替代类食品价格确实存在不同程度的上涨，有较强的相关性；而其余食品类别(包括粮食、鲜果、鲜菜等)在不同的周期未体现出明显的规律。　　2　　开启“金猪十年”？　　“二师兄”魅力十足，有券商在研报中称，2019年是“金猪十年”的元年。　　最近，北方的生猪价格连续三天回落。东北局部地区单日降幅在2.0元/公斤以上，辽宁地区瘦肉型猪出栏均价由38.90元/公斤跌至34.48元/公斤，降幅11.36%。　　李晶指出，此番价格下降的原因主要包括：　　从供应端角度看，高价鲜品滞销情况明显，肥猪集中出栏以及冻品大批出库，在供给端增加的情况下，价格出现下降。　　从需求的角度看，短期内缺少重要节日的提振，屠宰企业的开工率大幅下降，生猪需求逐渐走低。　　卓创资讯对某大型屠宰企业全国分厂总屠宰量监测数据显示，当前重点屠宰企业开工率普遍在30%以下，部分小厂因资金周转困难而屠宰周期改为2-3日一次。当前屠宰总量为1.3万头/日，而同期正常水平为4万-4.5万头，同比下滑67.5%。　　然而，价格下滑的时间太短，如今又反弹至下跌前状态。截至11月1日，全国瘦肉型白条猪肉出厂价格为51.23元/公斤，同比上涨178.88%。　　“短期内猪肉价格下滑的可能性不大，未来预期还是上涨。”李晶告诉记者，11月上旬猪肉价格仍以震荡为主。11月下旬至12月，需求端提振较多，供给产能暂时无法释放，预期价格还将上涨。　　3　　保供稳价措施密集出台　　今年以来，从中央到地方，一系列稳定生猪生产和猪肉保供稳价措施密集出台。从适时投放中央储备冻猪肉和牛羊肉到鼓励扩大猪肉进口，从加强非洲猪瘟病毒检测信息管理到提高生猪、能繁母猪、育肥猪保险保额，从支持实施生猪良种补贴到对种猪场、规模猪场流动资金和建设资金贷款给予贴息，支持养猪企业扩大规模和缓解资金压力等。　　根据农业农村部此前对全国年出栏5000头以上规模猪场全面调查，9月份生猪存栏4445.51万头，环比增长0.6%；能繁母猪存栏610.47万头，环比增长3.7%。对100家重点种猪企业监测显示，9月份后备母猪销量环比增长70.7%。据对全国饲料生产企业全口径统计，9月份猪饲料产量环比增长10%。　　农业农村部畜牧兽医局局长杨振海表示，综合生猪存栏和能繁母猪存栏环比降幅明显收窄、规模猪场生产由降转增、饲料产量止降回升、种猪销量持续大幅增长等判断，养殖生产积极性正进一步提高，年底前产能有望探底回升，市场供应明年有望基本恢复。　　<span class=""showStock"" id=""stock_sh601198"">东兴证券</span><span id=""quote_sh601198""></span>在研报中指出，从供给来看，除猪肉外的其他食品项供给总体是充裕的。从需求看，总需求增长偏弱。从历史看，猪价的变动无法决定总体通胀的路径。因而未来猪肉与食品很难共同大幅上涨，通胀不会失控，“CPI破4甚至破5是在杞人忧天”。　　国家发展改革委新闻发言人孟玮此前表示，从今后一段时间来看，我国物价不具备全面大幅上涨的基础。（文章来源：国际金融报）（来源：涨金策略财经的财富号 2019-11-06 10:23） [点击查看原文]<span id=""show_stock_str"" ></span>",年关将至
10,11月06日 ,海南股友,由于双11临近，恰好时间又是下周一，本股东打算在本周三或周四减持1000股左右，最晚不得超过星期四（没办法，周五减持，星期一凌晨导不出来钱，很多优惠在周一的凌晨12点，等不到早上9点过了），由此造成的价格波动，我深表遗憾。,公告：2天内减持1000股左右
