,time,author,comment,header
0,12月13日 ,<a href='/u/6540476299' title='靠谱的家喻户晓彩'>靠谱的家喻户晓彩</a>,苏宁线下占有绝对优势，线上提速物流，要起飞的节奏,苏宁线下占有绝对优势，线上提速物流，要起飞的节奏
1,12月13日 ,<a href='/u/6540263356' title='打掉在唱歌墨'>打掉在唱歌墨</a>,苏宁小店专注社区，不仅便民，引流成效也很显著,苏宁小店专注社区，不仅便民，引流成效也很显著
2,12月13日 ,<a href='/u/6539669047' title='金牛座走遍菁'>金牛座走遍菁</a>,苏宁近期有涨有落，耐心！,苏宁近期有涨有落，耐心！
3,12月13日 ,<a href='/u/6576130007' title='你我寂寞时的替代品卿'>你我寂寞时的替代</a>,苏宁数字化转型得加快了，才能走在智慧零售前沿,苏宁数字化转型得加快了，才能走在智慧零售前沿
4,12月13日 ,<a href='/u/6575702032' title='爱我你怕了吗菊'>爱我你怕了吗菊</a>,苏宁价格和物流的优势确实明显，现在日用品都喜欢在苏宁买了,苏宁价格和物流的优势确实明显，现在日用品都喜欢在苏宁买
5,12月13日 ,<a href='/u/6540604678' title='感性的屡战屡胜竹'>感性的屡战屡胜竹</a>,家乐福这段时间的活动力度也很大，苏宁可谓全面开花,家乐福这段时间的活动力度也很大，苏宁可谓全面开花
6,12月13日 ,<a href='/u/6540262499' title='车队的马甲艺'>车队的马甲艺</a>,苏宁收购了OK便利店，苏宁小店还要壮大，期待,苏宁收购了OK便利店，苏宁小店还要壮大，期待
7,12月13日 ,<a href='/u/6575700910' title='吃饭睡觉玩梅'>吃饭睡觉玩梅</a>,苏宁本来双线融合就在零售中占优势，加上下沉市场，实力不容小觑,苏宁本来双线融合就在零售中占优势，加上下沉市场，实力不
8,12月13日 ,<a href='/u/6404978380' title='森女北斗梦'>森女北斗梦</a>,苏宁线上线下融合，买家电先体验后下单，方便有实惠,苏宁线上线下融合，买家电先体验后下单，方便有实惠
9,12月13日 ,<a href='/u/6539512286' title='比分要靠谱澜'>比分要靠谱澜</a>,昨天试了苏宁菜场的订菜，很新鲜，以后都不用逛菜场了,昨天试了苏宁菜场的订菜，很新鲜，以后都不用逛菜场了
10,12月13日 ,<a href='/u/6540606723' title='比较的马甲舒'>比较的马甲舒</a>,手机坏了叫苏宁帮客，半小时上门，很快就修好了,手机坏了叫苏宁帮客，半小时上门，很快就修好了
11,12月13日 ,<a href='/u/6539670144' title='九后无所谓叶'>九后无所谓叶</a>,苏宁是一家优秀的企业，未来没有什么值得担心的，多给一点时间就好,苏宁是一家优秀的企业，未来没有什么值得担
12,12月13日 ,<a href='/u/6575702730' title='爱你不是两三天贞眉'>爱你不是两三天贞</a>,苏宁和易果合作之后，生鲜方面进步不小啊,苏宁和易果合作之后，生鲜方面进步不小啊
13,12月13日 ,<a href='/u/6404981400' title='快乐的搬动云'>快乐的搬动云</a>,苏宁体验5G手机的人真多，为了以旧换新忍了,苏宁体验5G手机的人真多，为了以旧换新忍了
14,12月13日 ,<a href='/u/6575702530' title='用户_6575702530'>用户_6575702530</a>,买苏宁一个是品质有保证，一个是物流快，已经离不开苏宁了,买苏宁一个是品质有保证，一个是物流快，已经离不开苏宁了
15,12月13日 ,<a href='/u/6586112805' title='凹凸曼号雁'>凹凸曼号雁</a>,消除自己的恐惧感，大胆把握机会！,消除自己的恐惧感，大胆把握机会！
16,12月13日 ,<a href='/u/6575701550' title='烟虽伤肺但不伤心惠冰'>烟虽伤肺但不伤心</a>,苏宁物流值得夸一下，当天达还能送货上门，很贴心了,苏宁物流值得夸一下，当天达还能送货上门，很贴心了
17,12月13日 ,<a href='/u/6540467406' title='撩人赤子之心蓉'>撩人赤子之心蓉</a>,双十一爆单很多快递都瘫痪，就苏宁还能保证当天达，所以昨天双十二又买了~,双十一爆单很多快递都瘫痪，就苏宁还能保证
18,12月13日 ,<a href='/u/6540819518' title='乙甲公寓冰'>乙甲公寓冰</a>,苏宁门店的优势在于仓储多，对物流很有帮助,苏宁门店的优势在于仓储多，对物流很有帮助
19,12月13日 ,<a href='/u/5983272913' title='用户5983272913'>用户5983272913</a>,苏宁菜场新模式真的方便，也能保证菜更新鲜,苏宁菜场新模式真的方便，也能保证菜更新鲜
20,12月13日 ,<a href='/u/1835272305' title='用户og8cmhg6rx'>用户og8cmhg6rx</a>,PK中石油,PK中石油
21,12月12日 ,<a href='/u/6393909669' title='雷神颤动岚'>雷神颤动岚</a>,苏宁拼购买日用品好划算，比超市便宜，质量也不错,苏宁拼购买日用品好划算，比超市便宜，质量也不错
22,12月12日 ,<a href='/u/6404977843' title='糖串串一串'>糖串串一串</a>,最喜欢苏宁这样发货快配送快的商家，当天下单当天送达,最喜欢苏宁这样发货快配送快的商家，当天下单当天送达
23,12月12日 ,<a href='/u/6213730829' title='黄家滴大小姐小清新'>黄家滴大小姐小清</a>,今天双十二，又得清空购物车了,今天双十二，又得清空购物车了
24,12月12日 ,<a href='/u/6404981873' title='峰迷心意21'>峰迷心意21</a>,苏宁帮客社区服务很好，既专业又高效，引流效果也好,苏宁帮客社区服务很好，既专业又高效，引流效果也好
25,12月12日 ,<a href='/u/6540459235' title='爱折腾的按时枫'>爱折腾的按时枫</a>,事实证明见好就收就是明智之举,事实证明见好就收就是明智之举
26,12月12日 ,<a href='/u/6539822218' title='卑劣国际范澜'>卑劣国际范澜</a>,自从苏宁改造的家乐福上线，买日化会比以前便宜了,自从苏宁改造的家乐福上线，买日化会比以前便宜了
27,12月12日 ,<a href='/u/6404974756' title='劳改可爱多聪'>劳改可爱多聪</a>,苏宁菜场这个模式很好，昨天订今天取都不用早起去菜市场了,苏宁菜场这个模式很好，昨天订今天取都不用早起去菜市场了
28,12月12日 ,<a href='/u/6539360154' title='浪迹天涯外行梅'>浪迹天涯外行梅</a>,对最近的自己有点失望，我太想去炒妖股了，哎！,对最近的自己有点失望，我太想去炒妖股了，哎！
29,12月12日 ,<a href='/u/6540802059' title='萝莉控的一本正经珍'>萝莉控的一本正经</a>,苏宁物流一提速，线上销量就能大幅提升，尤其是电商大促就看物流,苏宁物流一提速，线上销量就能大幅提升，尤其是电商大促就
30,12月12日 ,<a href='/u/6393910863' title='退化有理想娴'>退化有理想娴</a>,还是苏宁这样的长线更好一些，不用承担大的风险,还是苏宁这样的长线更好一些，不用承担大的风险
31,12月12日 ,<a href='/u/6404981873' title='峰迷心意21'>峰迷心意21</a>,再坚持一天，前些天的亏损就补回来啦,再坚持一天，前些天的亏损就补回来啦
32,12月12日 ,<a href='/u/6576104513' title='用户_6576104513'>用户_6576104513</a>,央视都点赞苏宁小店的经营模式，确实值得便利店学习,点赞
33,12月12日 ,<a href='/u/6539512917' title='红星闪闪的到处卿'>红星闪闪的到处卿</a>,苏宁每次网促活动力度都很大，物流还能当天达，最愉快的网购，没有之一,苏宁每次网促活动力度都很大，物流还能当天
34,12月12日 ,<a href='/u/6576130854' title='不会让你迷路或伤心兰'>不会让你迷路或伤</a>,苏宁营收好，其实也有物流的功劳，送货快当然吸引消费者,苏宁营收好，其实也有物流的功劳，送货快当然吸引消费者
35,12月11日 ,<a href='/u/6393911524' title='得救是个小疯子冰'>得救是个小疯子冰</a>,苏宁收购家乐福不仅是实力的象征，扬长补短更是明智的选择,苏宁收购家乐福不仅是实力的象征，扬长补短更是明智的选择
36,12月11日 ,<a href='/u/6405249315' title='那地有人疼枫'>那地有人疼枫</a>,苏宁和乐天的合作被看好，就看合作方式如何了,苏宁和乐天的合作被看好，就看合作方式如何了
37,12月11日 ,<a href='/u/6405246858' title='格林候机琬'>格林候机琬</a>,有了易果、家乐福和乐天，苏宁的供货渠道更完善了，价格还会更优惠的,有了易果、家乐福和乐天，苏宁的供货渠道更
38,12月11日 ,<a href='/u/6540604616' title='茶具爱发呆黛'>茶具爱发呆黛</a>,除了ITA，苏宁和日本最大的线上零售商乐天的合作也是重头戏,除了ITA，苏宁和日本最大的线上零售商乐天的合作也是重头
39,12月11日 ,<a href='/u/6226413977' title='丸子本闯天涯'>丸子本闯天涯</a>,账户涨才是真的涨,账户涨才是真的涨
40,12月11日 ,<a href='/u/6540604612' title='小宅女场面晓'>小宅女场面晓</a>,苏宁拼购是拼购中最良心的了，大牌正品价格优惠也多,苏宁拼购是拼购中最良心的了，大牌正品价格优惠也多
41,12月11日 ,<a href='/u/6219913225' title='懒懒鱼er非同凡响'>懒懒鱼er非同凡响</a>,短线真心玩不起，赔的惨绝人寰啊,短线真心玩不起，赔的惨绝人寰啊
42,12月11日 ,<a href='/u/6405253668' title='就叫一个青'>就叫一个青</a>,苏宁帮客维修人员是真的专业，收费合理还能延保,苏宁帮客维修人员是真的专业，收费合理还能延保
43,12月11日 ,<a href='/u/6494334139' title='低等动物妹姬'>低等动物妹姬</a>,个股已经放飞自我了，我看能跌到哪,个股已经放飞自我了，我看能跌到哪
44,12月11日 ,<a href='/u/6540603269' title='老总水灵灵秀'>老总水灵灵秀</a>,苏宁物流提速是真实在，24小时之内就能送达,苏宁物流提速是真实在，24小时之内就能送达
45,12月11日 ,<a href='/u/6540261940' title='honey危在旦夕育'>honey危在旦夕育</a>,苏宁家电老大地位稳稳的，家乐福会不会帮苏宁在快消领域站C位？,苏宁家电老大地位稳稳的，家乐福会不会帮苏宁在快消领域站
46,12月11日 ,<a href='/u/6540605220' title='习米爱旅行露'>习米爱旅行露</a>,苏宁红孩子的不仅母婴产品很好用，而且在社区能学到很多育儿经验,苏宁红孩子的不仅母婴产品很好用，而且在社区能学到很多育
47,12月11日 ,<a href='/u/6576131337' title='没心没肺没感觉欣宜'>没心没肺没感觉欣</a>,唉,最近卖的票几乎都起飞了
48,12月11日 ,<a href='/u/6540604671' title='承受能力小妹育'>承受能力小妹育</a>,苏宁拼购买水果最划算了，送货也快,苏宁拼购买水果最划算了，送货也快
49,12月11日 ,<a href='/u/6540431527' title='幽默的冷宫芸'>幽默的冷宫芸</a>,现在的消费者喜欢网购又想体验，苏宁双线融合正合他们的口味,现在的消费者喜欢网购又想体验，苏宁双线融合正合他们的口
50,12月11日 ,<a href='/u/6576131498' title='我真的不花心融菲'>我真的不花心融菲</a>,苏宁下沉市场是很明智的，老家的邻居们买家电都只认苏宁,苏宁下沉市场是很明智的，老家的邻居们买家电都只认苏宁
51,12月11日 ,<a href='/u/6227076916' title='兔女郎馨宁520103'>兔女郎馨宁520103</a>,年终苏宁业绩肯定还会进步的，我赌一包辣条！,年终苏宁业绩肯定还会进步的，我赌一包辣条！
52,12月11日 ,<a href='/u/6539821898' title='乌兹别克乐园香'>乌兹别克乐园香</a>,苏宁与易果合作，以后买果蔬更新鲜也更便宜了,苏宁与易果合作，以后买果蔬更新鲜也更便宜了
53,12月11日 ,<a href='/u/6540262499' title='车队的马甲艺'>车队的马甲艺</a>,苏宁全线融合又下沉市场，业务覆盖面真是广,苏宁全线融合又下沉市场，业务覆盖面真是广
54,12月11日 ,<a href='/u/6575701033' title='依然爱你影君'>依然爱你影君</a>,苏宁双线融合太牛皮了，线下体验线上下单配送到家,苏宁双线融合太牛皮了，线下体验线上下单配送到家
55,12月10日 ,<a href='/u/6450228717' title='苗朱乌_uqood'>苗朱乌_uqood</a>,最近经常去苏宁拼购组团，小家电质量好还便宜,最近经常去苏宁拼购组团，小家电质量好还便宜
56,12月10日 ,<a href='/u/6494333845' title='人生苦短必须性感育'>人生苦短必须性感</a>,苏宁金融的优惠福利挺多的，伙计们都抢到了吗？,苏宁金融的优惠福利挺多的，伙计们都抢到了吗？
57,12月10日 ,<a href='/u/6540802059' title='萝莉控的一本正经珍'>萝莉控的一本正经</a>,不管什么行情什么盘面什么走势，我都在亏钱,不管什么行情什么盘面什么走势，我都在亏钱
58,12月10日 ,<a href='/u/6575701922' title='用户_6575701922'>用户_6575701922</a>,把握好抄底机会，保持耐心等待上涨,把握好抄底机会，保持耐心等待上涨
59,12月10日 ,<a href='/u/6540467406' title='撩人赤子之心蓉'>撩人赤子之心蓉</a>,苏宁物流确实快，上午下单，没下班就收到了,苏宁物流确实快，上午下单，没下班就收到了
0,12月10日 ,<a href='/u/6575702231' title='细沙流离指尖宁红'>细沙流离指尖宁红</a>,苏宁要做的是线上线下全场景零售，以产品和服务来提升购物体验,苏宁要做的是线上线下全场景零售，以产品和服务来提升购物
1,12月10日 ,<a href='/u/6576130300' title='夏贝子艾尼亚凡'>夏贝子艾尼亚凡</a>,苏宁小店的经营模式独特又受市场欢迎，应该扩大规模的,苏宁小店的经营模式独特又受市场欢迎，应该扩大规模的
2,12月10日 ,<a href='/u/6405254389' title='加班加点岚'>加班加点岚</a>,有了家乐福，快消板块苏宁已经后来居上了，期待苏宁有更好的业绩表现,有了家乐福，快消板块苏宁已经后来居上了，
3,12月10日 ,<a href='/u/6404977515' title='技术先进的女孩艺'>技术先进的女孩艺</a>,苏宁销量一直在涨，业绩也都在同比增长，持股待涨,苏宁销量一直在涨，业绩也都在同比增长，持股待涨
4,12月10日 ,<a href='/u/6539669744' title='闻所未闻世界云'>闻所未闻世界云</a>,结合个股情况，做出一定的波段操作！低位滞涨的个股，多点耐心！,结合个股情况，做出一定的波段操作！低位滞涨的个股，多点
5,12月10日 ,<a href='/u/6576104505' title='蓝色帆布鞋聪雅'>蓝色帆布鞋聪雅</a>,市场热点不断切换，没有较大异动仓位不要频繁调仓，稳住心态吧,市场热点不断切换，没有较大异动仓位不要频繁调仓，稳住心
6,12月10日 ,<a href='/u/6540802704' title='野营妹艳'>野营妹艳</a>,苏宁全场景全业态布局智慧零售，目前来看成效很显著,苏宁全场景全业态布局智慧零售，目前来看成效很显著
7,12月10日 ,<a href='/u/6539670144' title='九后无所谓叶'>九后无所谓叶</a>,近期无论主力用任何招术，记住拿住手中的低位筹码，耐心等反弹,近期无论主力用任何招术，记住拿住手中的低位筹码，耐心等
8,12月10日 ,<a href='/u/6539360154' title='浪迹天涯外行梅'>浪迹天涯外行梅</a>,在智慧零售方面，苏宁布局还是很有远见的,在智慧零售方面，苏宁布局还是很有远见的
9,12月10日 ,<a href='/u/6540263354' title='例的空间锦'>例的空间锦</a>,苏宁帮客30分钟响应，2小时上门，服务不错,苏宁帮客30分钟响应，2小时上门，服务不错
10,12月10日 ,<a href='/u/6540467773' title='衣领棒棒的华'>衣领棒棒的华</a>,行情会逐渐好转，坚信长线布局苏宁这个决定不会错,行情会逐渐好转，坚信长线布局苏宁这个决定不会错
11,12月10日 ,<a href='/u/6540810608' title='寓意大宝贝玉'>寓意大宝贝玉</a>,这个位置果断加仓，目测不会再继续下行了,这个位置果断加仓，目测不会再继续下行了
12,12月10日 ,<a href='/u/6540606707' title='马提尼酒先生桂'>马提尼酒先生桂</a>,苏宁和“和谐修车”合作，完善了其覆盖新能源汽车全周期的售后服务能力,苏宁和“和谐修车”合作，完善了其覆盖新能
13,12月09日 ,<a href='/u/6540603442' title='爱抚很快乐娟'>爱抚很快乐娟</a>,苏宁小店的经营模式很独特，也很受欢迎。值得其他便利店学习,苏宁小店的经营模式很独特，也很受欢迎。值得其他便利店学
14,12月09日 ,<a href='/u/6540605198' title='一言一行best月'>一言一行best月</a>,本周第一个交易日，都振作起来！,本周第一个交易日，都振作起来！
15,12月09日 ,<a href='/u/6575701038' title='结局注定悲哀馥'>结局注定悲哀馥</a>,为数不多的全职奶爸，带孩子全靠苏宁红孩子?的育儿经验，实用得很,为数不多的全职奶爸，带孩子全靠苏宁红孩子
16,12月09日 ,<a href='/u/6404976554' title='正太控的余地雅'>正太控的余地雅</a>,不断的有品牌合作，苏宁的朋友圈越扩越大,不断的有品牌合作，苏宁的朋友圈越扩越大
17,12月09日 ,<a href='/u/6404977843' title='糖串串一串'>糖串串一串</a>,苏宁小店的经营模式惠民而且可以引流，实现了自己与居民的双赢,苏宁小店的经营模式惠民而且可以引流，实现了自己与居民的
18,12月09日 ,<a href='/u/6586112805' title='凹凸曼号雁'>凹凸曼号雁</a>,看好苏宁，除了全线融合，市场下沉智慧零售等都走在行业前列,看好苏宁，除了全线融合，市场下沉智慧零售等都走在行业前
19,12月09日 ,<a href='/u/6548057190' title='让爸妈也享福吧蓉'>让爸妈也享福吧蓉</a>,这周比较关键，涨不涨，能不能过好年就看这周了,这周比较关键，涨不涨，能不能过好年就看这周了
20,12月09日 ,<a href='/u/6540782671' title='白羊吃生仪'>白羊吃生仪</a>,苏宁红孩子社区交流真的很有用，年轻父母购物交流很实用,苏宁红孩子社区交流真的很有用，年轻父母购物交流很实用
21,12月09日 ,<a href='/u/6393909667' title='得奖艳'>得奖艳</a>,苏宁小店从日用品到维修到彩票快递代收，社区服务很全面,苏宁小店从日用品到维修到彩票快递代收，社区服务很全面
22,12月09日 ,<a href='/u/6443645838' title='用户6443645838'>用户6443645838</a>,双线融合市场所需，苏宁已经提前完善，这是别人比不了的优势,双线融合市场所需，苏宁已经提前完善，这是别人比不了的优
