,time,author,comment,header
3,11月6日,北京股友,转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ni有情人                                                                                                            发表于 2019-11-06 16:30:45                                                                                                                                              [通鼎互联吧] 高盛喊话“超配”A股通鼎互联：沪深300指数有望挑战5000点11月5日-6日，                                                  高盛喊话“超配”A股通鼎互联：沪深300指数有望挑战5000点11月5日-6日，高盛2019中国投资论坛年会在深圳举办。年会期间，中国证券报记者专访了高盛亚洲中国首席股票策略师刘劲津，高盛首席亚太经济学家迪安竹等知名分析师和经济学家。来自高盛的专家表示，维持“超配”A股的观点；沪深300指数年内基于基本面的目标是4200点；乐观假设在投资者对风险没有畏惧的情况下，沪深300指数有望挑战5000点。11月5日，沪深300指数收报4002.81点。,转发
4,11月6日,海南股友,"<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>300498 、<span class=""showStock"" id=""stock_sz002146"">荣盛发展</span><span id=""quote_sz002146""></span>002146、<span class=""showStock"" id=""stock_sz000876"">新希望</span><span id=""quote_sz000876""></span>000876、<span class=""showStock"" id=""stock_sh601877"">正泰电器</span><span id=""quote_sh601877""></span>601877、<span class=""showStock"" id=""stock_sh601216"">君正集团</span><span id=""quote_sh601216""></span>601216、<span class=""showStock"" id=""stock_sz002271"">东方雨虹</span><span id=""quote_sz002271""></span>002271的民营银行布局区块链专利技术了吗？银行积极布局区块链备案14项服务，主要集中在跨境贸易、供应链金融、信息识别等领域。第二批境内区块链信息服务备案清单中共涉及309个境内区块链信息服务名称及备案编号，其中大部分为银行、金融服务机构或信息科技类公司，涉及多家上市公司。应用方向涵盖文旅、教育、电商、司法、医疗、供应链金融等多个领域。大部分是注册于京、沪、浙、粤地区。】2019年3月30日，国家网信办公开发布第一批共197个区块链信息服务名称及备案编号。这是自2019年2月15日《区块链信息服务管理规定》正式实施，国家网信办组织开展备案审核工作以来首次公布备案情况。国家网新办强调，根据《区块链信息服务管理规定》，区块链信息服务提供者应当在其对外提供服务的互联网站、应用程序等显著位置标明其备案编号。备案仅是对主体区块链信息服务相关情况的登记，不代表对其机构、产品和服务的认可，任何机构和个人不得用于任何商业目的。<span id=""show_stock_str"" ></span>",东方雨虹002271的民营银行布局区块链专利技术了吗？
5,11月6日,内蒙古股友,经过了连续的放量上涨之后，开始了缩量小幅调整，符合预期，不要以散户的目光来看，应该站在主力角度来看，为什么调整缩量，上涨放量散户应该多多思考，因为这是主力高控盘股票的走势，所以只要不持续放量下跌就意味着行情根本没有结束，只是一个洗散户的过程而已，连5日均线都没碰到就开始喊见顶了，主力出货了的人，根本就是散户自己，所以为什么只有10%的人能挣钱，就要好好考虑了，你要是随大流的想法那么恭喜你赚钱的准没你，最起码赚大钱的准没你，所以耐下心来，不被主力的洗盘所吓才是散户应该学习的，而不是在那里喊主力出货了，股票完蛋了之类的话。,连续缩量震荡，离调整结束不远
6,11月6日,北京股友,转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    股友gJtLwA                                                                                                            发表于 2019-11-06 06:33:33                                                                                                                                              [雅本化学吧] 雅本化学拟投资医药生物产业，这使得雅本化学蕴藏着巨大的爆涨因子……纵观全局，要么                                                  雅本化学拟投资医药生物产业，这使得雅本化学蕴藏着巨大的爆涨因子……纵观全局，要么买雅本化学，要么销户不再炒股，别无选择。,转发
7,11月6日,北京股友,转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    股友hYZocb                                                                                                            发表于 2019-11-06 07:57:02                                                                                                                                              [雅本化学吧] 这俩狗出来恶意唱多，不是好事                                                  这俩狗出来恶意唱多，不是好事,转发
8,11月4日,内蒙古股友,周末看了下上周的走势以及资金的走势，看到最近几天的港资拼命在买买买，我们也一定要跟上主力资金的步伐，千万不要在开始上涨的时候你却卖出了，因为上涨趋势一旦形成必然会有一波行情，而不是只涨10%而已，我之前就说了雨虹刚刚开启上涨模式，根本就不是卖出的时候，经常说5日均线就是送钱给你，如果听了我建议的我恭喜你们，最起码跑赢了很多股票，未来的目标之前说过过了26元，就会开启慢牛模式，最起码上涨周期会有2个月以上，希望大家能坚持到最后。,资金集中抱团蓝筹股
9,11月3日,北京股友,"转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ni有情人                                                                                                            发表于 2019-11-02 20:29:58                                                                                                                                              [<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>吧] 打造高端医药定制生产基地<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>拟12.5亿元投建酶制剂及绿色研究院等项目相关股                                                  打造高端医药定制生产基地 <span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>拟12.5亿元投建酶制剂及绿色研究院等项目相关股票: <span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>为进一步优化公司的产品结构，提高市场综合竞争力和抗风险能力，<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>宣布将打造高端医药CDMO定制研发及生产基地。10月10日，<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>发布公告称，公司拟使用自有资金或自筹资金12.5亿元在浙江省绍兴市上虞区杭州湾经济技术开发区投资建设酶制剂及绿色研究院项目、年产500吨左乙拉西坦等原料药项目。就上述投资事项，<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>证券部相关工作人员在接受《证券日报》记者采访时表示，“公司拟12.5亿元投资建设医药及生物酶项目，开辟了公司第五大生产基地，高级别的园区选址和高盈利的医药产品产线布局。首先是一些成熟产品如酶制剂、左乙拉西坦等规模生产需要落地，其次将有效分散生产经营风险，有望在未来推动公司医药板块业绩持续快速增长。”<span id=""show_stock_str"" ></span>",转发
10,11月1日,内蒙古股友,看样子我的预言还是挺准的，应该未来还会有更好的发展趋势，坚定看好未来两个月内突破26元历史高点，还是希望散户能拿住手中筹码，另外24.40元就算到达了也可能会继续横盘两天甚至可能小跌，不要被主力的操作所害怕，坚定持有我们的目标是突破26元，24元就是一个小的阻碍而已，本人成本22.20元。继续持有不害怕。,30日就说最近几天要到达24.40元的前期高点
11,11月1日,内蒙古股友,最近雨虹的走势之稳定是难能可贵的，我们必须顺势而为，知道主力资金在干什么，港资就明明白白告诉你在干什么，为什么不涨因为他在吸筹，外资吸筹阶段一般是不会大幅拉升的，甚至会小跌或者横盘，所以搞明白主力资金在干什么，再看到雨虹的季报非常漂亮，就应该知道未来一段时间雨虹的走势应该差不了，还是那句话，未来两个月见历史新高，不要被中间的小跌横盘所迷惑，坚定持股待涨。,踏准节拍太重要
12,10月31日,内蒙古股友,注意把握低吸的机会，如果能震荡或者靠近5日均线均是低吸的好机会，不要盲目乐观同样更不能盲目悲观，高开不一定是好事，低开不一定是坏事，都有可能是主力洗盘的手法，主要看大的趋势，个人依然看好未来两个月内雨虹的走势，希望大家都能坚持到最后，不用被主力时不时的洗盘而吓跑，也不要因为散户自己吓自己把自己活活吓跑。股票市场就是散户跟主力的博弈，如果你能坚持住也许就能赚到钱，如果坚持不住的话可能会被主力吓跑而错失牛股。,震荡两天又会走高
