,time,author,comment,header
0,12月03日 ,<a href='/u/7123563623' title='用户7123563623'>用户7123563623</a>,顺风顺水,顺风顺水
2,11月06日 ,浙江股友,如果手里有足够的货，自然看涨，吹多，如果手里没货，看好股票长远前景，嫌弃价格高了，自然吹空，希望股价跌一些，再建仓。我手里有货，看好大顺丰。湖北鄂州的机场，顺丰早就布局了，将来，顺丰会多个赛道上获胜，直营的大顺丰可比加盟型的四通一达牛叉！当然，大股东套现，股价上涨肯定有压力，但要多说一句，这个大股东，不是顺丰的创世人，不是顺丰的高管，是壳公司原来的大股东，顺丰借壳上市后，这位大股东不参与顺丰的管理，顺丰股价现在不错，他需要用钱，不管享受人生，还是再创业，卖掉顺丰的股票，我觉得没有毛病，好看顺丰前途的人，接货就是了。既看好顺丰，又想着股价下跌到一定价位，再买入的人，有的等了！,炒股的人，说真话很难啊
3,11月06日 ,甘肃股友,"<span class=""showStock"" id=""stock_sz002352"">顺丰控股</span><span id=""quote_sz002352""></span>002352最近整体跟随物流板块出现震荡回调走势，整体走势还算是正常的震荡回落。但是如果今天股价不能在60日均线止跌，也就是收盘如果不能站在60日均线39.46上方，那么短线的话建议暂时止损了，如果今天收盘能收在39.46上方，那么短线就可以暂时持股，但是目前看来，继续下跌的可能性是比较大的，双11之前41的成本解套的可能性不大。个人建议及时做好止损。<span id=""show_stock_str"" ></span>",顺丰控股002352最近整体跟随物流板块出现震荡回调走势
4,11月06日 ,河北股友,今天股价大幅下跌的时候，成交量超高，极有可能主力左手换右手，一手标价39.43卖，一手稍微低点的价格买入，买盘不强劲，大部分货还是回到了主力手里了，起到了砸盘的效果，主力不散户，价格持续会涨，成交极低，散户惜售，主力不好运作了！,我怎么感觉主力在砸盘吸筹啊！
5,11月06日 ,河北股友,从往年十一月表现来看，快递股进入十一月大概率会下跌，有可能与双十一行情有关（不信可以自己去看各个快递股历年十一月的k线）今年还要加上刚开始的两个减持，以及未来一系列的解禁，现在入的话风险不小。所以个人来讲还是看空,从往年十一月表现来看，快递股进入十一月大概率会下跌
6,11月05日 ,重庆股友,"果然啊，央妈才是真爱。今天早上，央行开展4000亿元中期借贷便利（MLF）续作，利率从3.3%下调到了3.25%。简单解释一下，就是央妈一年前以3.3%利率借了4000亿资金出去，一年后的今天续借，并且把利率调低了0.05%。这也是自2016年2月以来，央妈再次下调MLF利率，虽然只有微不足道的0.05%，但足以修正市场的悲观预期。老粉丝应该都清楚，自从9月17日与10月16日MLF下调利率不及预期之后，债券就一直回调，股市也不见得好，CPI的连续上涨，让市场基本放弃了降息念头。今天MLF利率下调，十年期国债期货回报一根大阳线，怒涨0.38%。很多朋友说这是降息周期的开启，我觉得还不算。如果真是降息周期开启，不会是仅降0.05%这么一丁点。这种感觉就像我们去饭堂打菜，大妈一大勺下去，拿上来的时候还狠狠地抖一抖，最后给到碗里的就那么几块黄瓜，一片猪肉都没有。大妈的意思可能是：小兄弟你先吃点炒黄瓜解解馋，等明年我们的猪长大了，别说猪肉片了，我给你整份红烧猪蹄！不说了，说得我都饿了。。接下来要继续观察这周末公布的10月CPI数据。目前市场一致性预期10月CPI同比增幅是3.32%，11月就会破4%。如果CPI上行超预期，货币政策很难能继续宽松下去。我还是前几天那句话，买了债券基金的朋友先忍忍，千万不要在黎明前夕割肉。等货币政策重新出现宽松转向，债券就又起来了。而还没买的朋友，可以再等等看。......除了MLF降息超预期之外，今天RMB汇率也破7了，最新离岸汇率是6.9903。RMB升值受益最明显的就是航空股，特别是大航，由于购买租赁飞机欠下大量美元债务，RMB升值，美元就贬值，债务就削减了，利润就会增厚。如果认为RMB还有升值空间的话，可以尝试参与博弈。昨晚提了一句外资最近买不少中药股，今晚整理了一份数据，买得比较多的是<span class=""showStock"" id=""stock_sz000538"">云南白药</span><span id=""quote_sz000538""></span>。最近不知为何比较多朋友问到快递股。后台留言和私房课都有提问。我是不太看好快递行业的长期，快递行业其实在过去两年就已经没什么成长空间了，一二线城市的快递量基本饱和，而且行内竞争又非常激烈，毛利率和净利润率都呈现下滑趋势。但可以看到最近一年快递股表现还不错，出现了触底反弹，我认为主要就是拼多多带动了新一轮电商周期，把三四五六七八线城市的市场都给挖出来了。所以，2019年应该是快递行业的一个困境反转年，而2020年应该进入景气比较高的年份，2020年下半年或者2021年就要密切关注拼多多的市场份额变化，如果市场已经拓展差不多了，那快递的成长可能又到天花板了。另外也要注意，快递股每年都会有双十一炒作行情。但现在已经临近双十一了，差不多是行情兑现的时候，股价短线可能有点压力。拼多多的崛起打了不少人的脸，包括我当初也是不怎么看好它的。但毕竟经济下行，大家钱包收紧，能省则省吧。这里引申出来的是性价比投资逻辑。大家消费开始追求性价比，而不是盲目追求奢华。与消费升级是反过来的。而类似的受益股，我想到的就是廉价航空，春秋。春秋的Q3业绩靓丽，跑赢隔壁三大航很多。小米今天发布了最新款的手机CC9 Pro，最大的亮点是搭载了5个摄像头。。我查了一下，小米手机的摄像头模组供应商分别是<span class=""showStock"" id=""stock_sz002456"">欧菲光</span><span id=""quote_sz002456""></span>、舜宇光学、丘钛科技。摄像头龙头老大是舜宇光学，在港股上市。<span class=""showStock"" id=""stock_sz002475"">立讯精密</span><span id=""quote_sz002475""></span>和<span class=""showStock"" id=""stock_sz002241"">歌尔股份</span><span id=""quote_sz002241""></span>股价继续新高。没买到的就欣赏吧，如果买了的，等趋势线破了再考虑卖吧，吸取一下卖飞<span class=""showStock"" id=""stock_sz002463"">沪电股份</span><span id=""quote_sz002463""></span>、<span class=""showStock"" id=""stock_sh600183"">生益科技</span><span id=""quote_sh600183""></span>的教训。银行指数今天差点创新高了，就是超过今年4月那个高点。之前我就表示看好银行股Q4的行情，并带着大家加仓过一次了。主要的理由就是银行估值很便宜但业绩不差，所以有估值修复的需求。从下图可以看到，银行指数准备新高，但PB估值反而更低了。MLF降息带来的利好，算是锦上添花了。.......（来源：股市药丸的财富号 2019-11-05 20:23） [点击查看原文]<span id=""show_stock_str"" ></span>",A股及时雨
7,11月05日 ,青海股友,文/诸葛找房打2009年起，每年的11月11日已由单身节变成了电商行业的年度盛事，几大电商巨头平台更是成了商家爆单、买家剁手的厉害神器。而在这个冷了一年的房地产市场，开发商也想蹭蹭双十一的热点，给冰冷的成交量加一点热度，于是我们看到有消息称，阿里巴巴将上线超10000套特价房源参与促销，京东也将联合70城超200家开发商投放6000余套特惠房源，全款五折起购新房。近日，阿里巴巴公布数据称，过去一年已有近3000万人在阿里拍卖上看房、买房，不得不承认，互联网的飞速发展给购房者也带来了全新购房体验。今年9月份，阿里拍卖甚至挂出“1元起拍”一套80多平米的学区房，一时间吸引了10万名围观群众，经过239次的加价及延迟成交，最终以609.5万元的价格卖出。而这个价格，比市场的挂牌价低了整整35万元！不少网友表示，原来马云卖的东西不仅比商场、超市便宜，现在比售楼处还要便宜了，突然好期待这个双十一他会想出什么花样来拯救这冷市，如果有机会，说不定真能捡漏买到一套心仪的房产。诸葛小编在此站在购房者的角度，给大家提个醒，阿里的这些特价房源很多实际都来源于阿里拍卖的法拍房，购房者想要捡漏前，需要提前预知法拍房的潜在风险，当心入坑。1. 法拍房多是因为债务纠纷问题，如商业贷款不能如期偿还，民间借贷将房产抵押担保，司法没收等情况，被法院强制收回拍卖的房屋。目前大部分城市的法拍房是不限购的，无论有过几套房是否是本地人，都有资格参与竞买，但北京、深圳等地目前处于限购状态，竞买者需提前了解清楚当地的措施。2.税费均由买方承担。我们知道，在购买二手房时一些税费是可以由买卖双方共同承担的，但法拍房的各种税费却都由买方全额承担。比如当初福利分房5万块买到的房产，如今拍卖价叫到200万，那么差值的195万需要买方承担50%的增值税也就是97.5万。这部分成本竞买者需要事先计算清楚。3.限期全款购房。目前多数城市并不支持法拍贷业务，法拍房基本要求是在短时间内一次性付全款，这对竞买人的财务要求非常高，若超出规定日期，则没收缴纳的保证金。4.房屋自身的问题。主要是考察清楚房子当下居住的问题，不要以为买下房子就万事大吉，有些房子虽然是被法院收回，但事先已经找到了长期租赁的业主，你推门进去可能房子里住的老人、钉子户，也可能面临多年物业水电费未缴纳且有高昂滞纳金的情况。所以竞买者可以提前找个靠谱的中介帮你看房子，排查此类风险。现在法拍房作为一种新型住房，凭借比市场价低20%-30%的优势，越来越受到投资市场的认可，看似一本万利，却可能陷入无尽的纠纷。如果购房者抱有“捡漏”心理，确定要购买法拍房，请一定做好足够多的攻略，留意交易后的潜在风险。（来源：诸葛找房的财富号 2019-11-05 16:25） [点击查看原文],双十一买房凑热闹？已有3000万人上网买房
8,11月04日 ,上海股友,想不明白那些看不好的就离开 找各种理由吧唧吧唧的乱讲，20多的时候你买了吗？30多的时候你买了吗？40多的时候你买了 但凡没涨就天天抱怨，你以为股价是火箭吗？这些人或者这类人都是失败者。涨也不对嫌涨的少了，不涨更是天天有人抱怨和骂，还发各种消息或者理由说人家快递怎样怎样的，这种心理扭曲 思想肮脏的赶快去越南活着吧。,想不明白那些看不好的就离开 找各种理由吧唧吧唧的乱讲
9,11月03日 ,上海股友,"转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    专灭熊基因                                                                                                            发表于 2019-11-03 07:57:25                                                                                                                                              [<span class=""showStock"" id=""stock_sz002316"">亚联发展</span><span id=""quote_sz002316""></span>吧] 什么是价值投资$<span class=""showStock"" id=""stock_sh603927"">中科软</span><span id=""quote_sh603927""></span>(SH603927)$$<span class=""showStock"" id=""stock_sh688010"">福光股份</span><span id=""quote_sh688010""></span>(SH688010)$                                                  什么是价值投资$<span class=""showStock"" id=""stock_sh603927"">中科软</span><span id=""quote_sh603927""></span>(SH603927)$ $<span class=""showStock"" id=""stock_sh688010"">福光股份</span><span id=""quote_sh688010""></span>(SH688010)$<span id=""show_stock_str"" ></span>",转发
10,11月01日 ,四川股友,公告！鉴于本人亏损严重，减持计划的预披露公告，拟于2019年11月1日起公告！鉴于本人亏损严重，减持计划的预披露公告。拟于减持期间均为2019年11月1日至2019年11月30日。以竞价方式减持不多于1000股，减持比例不高于个人所持公司股份的20%，不高于总股本的0.1%。以此优化个人资产结构。减持所得现金用于本人本月房租及水电费开支。因减持所造成的价格波动，本人深表遗憾！,公告！鉴于本人亏损严重，减持计划的预披露公告
