,time,author,comment,header
2,12月10日 ,<a href='/u/6421894162' title='用户6421894162'>用户6421894162</a>,温氏最多值10元,温氏最多值10元
30,11月06日 ,吉林股友,"市场上的冻猪肉只有饭店才会买，个人消维费宁可不吃或是买高价也不会买冻猪肉改善生活的，我同学有不少是养猪的，现在是没有多少存栏的猪，都在往大了养，要养到每头500斤以上或是达到每斤25元以上才会卖，不然不用大量卖现在18元至20元的价格不用外卖当地就可以消掉，所以猪价涨不是进口就可以打掉的，打掉只是几天的事。再一次返弹会涨的更厉害，越控制越有人炒猪，涨的也越多，所以有的时候越打压涨的越高，竞干没用的事，如果不打压猪价根本不会涨的这么快，现在人都养生，猪肉生个月吃一次就完全可以忍受，再贵每个月花50元或一百元，还不至于影响到每个家庭的生存问题，这么年猪肉都吃的过多了正好减减肥。<span class=""showStock"" id=""stock_sh603883"">老百姓</span><span id=""quote_sh603883""></span>养猪也赚钱了，玉米也消化掉了，少吃猪肉也减肥了。股价也涨了多好的事。<span id=""show_stock_str"" ></span>",越打压猪价
31,11月06日 ,<a href='/u/6810011261' title='用户6810011261'>用户6810011261</a>,"温氏发什么利好，都涨不上去<span class=""face-img face-wb-1-3"">[嘻嘻]</span>",温氏发什么利好
32,11月06日 ,云南股友,"猪膨胀预期下降  昨天央行MLF下调5个基点，可以说在CPI与GDP之间做出艰难的选择。这就传递出来一种信号，单纯的猪膨胀影响不了全国物价水平，更影响不了大局，这大大降低了市场预期，市场对于未来猪肉长期高价运行的预期。  <span class=""showStock"" id=""stock_sz000061"">农产品</span><span id=""quote_sz000061""></span>是典型的周期性行业，通过供求与价格进行调节。结果必然是上涨下跌交替进行，其幅度对应。  这种情况一直存在，只是幅度和影响力没有这么大。  今年的这次猪肉价格上涨除了市场因素以外还有两个明显的外部因素。第一，环保因素。最近几年环保一刀切，消灭小猪场在全国展开，再加上前期价格持续低迷，猪瘟等因素影响，小微企业大量关闭，家庭作坊式的养猪模式推出。这就大大降低了市场韧性。第二，原材料影响。我国每年要消耗掉5亿头猪，其主要饲料来自于豆粕，一年消耗掉黄豆1.1亿吨。而我国自给1700万吨，剩下的全靠进口。其中要从美国进口3000万吨，占进口总额的三分之一。自从去年以来的贸易问题，这三千万吨大豆没有办法找到替代方案。因为剩下的6000万吨来自于南半球的巴西和阿根廷，其产能已基本达到上限，并且时令不同。北半球的俄罗斯每年的产量也只有400万吨，全部拿过来也不够。如果我们想要自己来种，需要增加7亿亩耕地，我国目前耕地总面积也只有17亿亩，主要种植小麦，水稻和玉米，也是不可能的。  正是因为这两个重要的外部因素，造成了猪肉价格的持续上涨，达到一个历史最高价。对于国家的CPI造成重大影响。  可以这么说，加上猪肉我们的cpi膨胀，扣除猪肉因素CPI紧缩，这就是滞涨。 滞涨，生产方紧缩，企业经营困难，消费方价格虚高，购买力下降。两个问题只能一个一个解决，央行决定先解决生产的问题，企业的问题。  今年开盘之后猪肉板块出现快速下跌，盘中跌幅一度超过4%。作为今年以来持续性最强的一个板块，对市场情绪影响较大。<span class=""showStock"" id=""stock_sz002049"">紫光国微</span><span id=""quote_sz002049""></span>是假摔还是真有利空.今天开盘以后<span class=""showStock"" id=""stock_sz002049"">紫光国微</span><span id=""quote_sz002049""></span>股价一路下跌，邻近上午收盘，加速达到跌停。作为半导体龙头之一，又有国资背景，三季度营收利润双增的情况下，无端跌停，市场一度恐慌。整个半导体板块下跌超过2%。 从盘后龙虎榜可以看出，卖出席位前三全部为机构，而外资则进行了一个高抛低吸，玩的不亦乐乎。  在互动平台上董秘则表示目前一切正常，并没有出现利空消息。是相信诚实的身体还是嘴上的不要，就看明天的表现了，  无论如何，今天股价是一个跌停，对于科技板块也造成了实质性的影响。区块链龙头已出  这是上上个周六区块链处理好的时候复盘，除了<span class=""showStock"" id=""stock_sh600208"">新湖中宝</span><span id=""quote_sh600208""></span>和<span class=""showStock"" id=""stock_sh600797"">浙大网新</span><span id=""quote_sh600797""></span>，我提到了<span class=""showStock"" id=""stock_sh600093"">易见股份</span><span id=""quote_sh600093""></span>和<span class=""showStock"" id=""stock_sz300468"">四方精创</span><span id=""quote_sz300468""></span>。  经过一个多星期的博弈，今天<span class=""showStock"" id=""stock_sz300468"">四方精创</span><span id=""quote_sz300468""></span>正式胜出，成为板块龙头，别的就不用看了。  叠加概念里面我最看好的是知识产权叠加区块链的，除了行业叠加度比较高以外，中美贸易问题的最终解决终究绕不开知识产权保护这一块。  在谈判不断传出利好的情况下，知识产权包含也值得关注，比如说<span class=""showStock"" id=""stock_sz002235"">安妮股份</span><span id=""quote_sz002235""></span>，<span class=""showStock"" id=""stock_sz300356"">光一科技</span><span id=""quote_sz300356""></span>等票，点位不高，潜力不小。  完整版到水印地址（来源：老王笔记的财富号 2019-11-06 19:30） [点击查看原文]<span id=""show_stock_str"" ></span>",猪膨胀不影响全局
33,11月06日 ,北京股友,"根据农业部9月的数据显示，我国生猪存栏同比下降41.1%，环比下降3%，能繁母猪存栏同比下降38.9%，环比下降2.8%，环比降幅明显收窄。对此，有行业人士表示：由于生猪去产能仍在持续，且伴随着四季度消费需求的逐步释放，猪肉供需矛盾将进一步凸显，特别是春节前生猪价格有望突破60元/公斤。随着市场上肉类产品不断涨价，猪肉与鸡肉成为近期最热门的话题。而作为养殖大户的<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>，成为了市场重点关注对象。11月5日，<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>披露10月份肉鸡及肉猪销售情况简报。得益于养鸡业务规模不断扩大、肉鸡出栏量增长，肉鸡销量上涨。同时，肉鸡售价上涨，使得肉鸡销售收入提高。<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>在10月共销售包含毛鸡、鲜品和熟食在内的肉鸡1.06亿只，环比增加32.87%，同比增加48.21%；销售收入达到32.7亿元，环比增加15.79%，同比增加64.98%；销售均价为16.51元/公斤，环比下降14.06%，同比增加14.34%。在肉猪方面，<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>10月共销售包含毛猪和鲜品在内的肉猪89.43万头，环比增加0.71%，同比下降52.87%。<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>解释称，销量下滑的原因主要在于上半年调整了投苗与销售计划，且本月仍在加大种猪选留和提升肉猪体重。不过，<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>的肉猪销售收入达到38.59亿元，环比增加36.36%，同比增加27.15%；销售均价为36.19元/公斤，环比增加25.97%，同比增加153.79%。<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>称，销售收入增长主要是受国内生猪供给偏紧，自身肉猪销售均价上涨所致。根据此前披露的三季报显示，2019年前三季度，<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>实现营业收入482.89亿元，同比上涨18.24%；实现净利润60.85亿元，同比上涨109.84%。关于业绩的大幅提升与年内肉禽市场的较好行情和猪价上涨有关。受猪肉供求关系的影响，猪肉价格持续上涨。此时作为替换品的鸡肉在市场上受到欢迎，众多鸡企纷纷加码扩大养殖。同样的，<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>主营业务为肉鸡、肉猪的养殖和销售。主要产品为商品肉鸡和商品肉猪，其他产品为肉鸭、原奶及其乳制品、鸡蛋、肉鸽、肉鹅、生鲜肉及其加工肉制品、农牧设备和兽药等。公司在禽业链市场良好的大环境下，不仅继续保持优势，还看向了紧缺的猪肉市场。就在一天前，<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>联手<span class=""showStock"" id=""stock_sz002840"">华统股份</span><span id=""quote_sz002840""></span>，决定在浙江省义乌市共同投资设立浙江温氏华统牧业有限公司（简称：温氏华统），从事生猪养殖及销售业务。并明确目标，双方争取三年内通过温氏华统实现浙江省内肉猪年出栏达到100万头以上以及江苏省内肉猪年出栏达到100万头以上。资料显示，温氏华统注册资本为4亿元，由<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>控股，<span class=""showStock"" id=""stock_sz002840"">华统股份</span><span id=""quote_sz002840""></span>参股。其中，<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>拟以现金出资2.04亿元，持股51%；<span class=""showStock"" id=""stock_sz002840"">华统股份</span><span id=""quote_sz002840""></span>拟以自有资金出资1.735亿元，剩余部分拟按华统牧业100%股权评估价值作价2250万元出资，合计出资1.96亿元，持股49%。<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>表示，此次与<span class=""showStock"" id=""stock_sz002840"">华统股份</span><span id=""quote_sz002840""></span>联手是在当前生猪市场供需失衡的环境下，为公司寻求更大的利润增长点。（来源：览富财经官方的财富号 2019-11-06 18:49） [点击查看原文]<span id=""show_stock_str"" ></span>",温氏股份：猪肉持续上涨
34,11月06日 ,山东股友,"11月6日，猪肉概念集体下挫，长远不改涨势，建议适合长线持有：第一，今年猪肉股翻倍，1月份的时候，生猪价格5元，现在是20元，活猪价格翻4倍，以<span class=""showStock"" id=""stock_sz002124"">天邦股份</span><span id=""quote_sz002124""></span>11月6日收盘价为例，今年涨幅103%，活猪涨幅300%，相比活猪价格的涨幅，股价上涨控制依然存在。第二，虽然现在非瘟疫情得到了有效控制，但是产能恢复尚需时日，我们在基层调研了解，补栏的50kg后备母猪需要4个月才能配种，4个月怀孕，6个月育肥才能出栏，出栏最早也是2021年，当前养殖户不敢养，没钱养的占比较大，仔猪、种猪价格较高，补栏积极性严重不足，产能恢复时间为时尚早，猪价高位和高利运行时间较长，上市公司有资金，有实力提前布局，抢占市场先机。第三，虽然近期从国外进口猪肉，中国的生猪存栏和消费量世界第一，2018年中国生猪出栏7亿头左右，美国年出栏9000万头，可供应量较小，所以从进口的猪肉量对中国猪肉消费市场冲击不大，并不会大幅度影响猪价。第四，我们了解到，大企业正在逆势扩张，南征北战收购猪场，天罗地网防控非洲猪瘟，已经取得了阶段性的成效，虽然当前出栏量并未明显增长，但是库存的生产性生物资产却在不断增加，2020年会取得显著成效，2020年上市公司出现三大释放，猪价释放，产能释放，利润释放。买股票并不是折腾来，折腾去，买涨卖跌，而是看好了就长线持有，每年抓住一两波上涨的机会就行了。<span id=""show_stock_str"" ></span>",猪肉概念股适合长线持有
35,11月06日 ,海南股友,"<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>300498 的民营银行布局区块链专利技术了吗？银行积极布局区块链备案14项服务，主要集中在跨境贸易、供应链金融、信息识别等领域。第二批境内区块链信息服务备案清单中共涉及309个境内区块链信息服务名称及备案编号，其中大部分为银行、金融服务机构或信息科技类公司，涉及多家上市公司。应用方向涵盖文旅、教育、电商、司法、医疗、供应链金融等多个领域。大部分是注册于京、沪、浙、粤地区。】2019年3月30日，国家网信办公开发布第一批共197个区块链信息服务名称及备案编号。这是自2019年2月15日《区块链信息服务管理规定》正式实施，国家网信办组织开展备案审核工作以来首次公布备案情况。国家网新办强调，根据《区块链信息服务管理规定》，区块链信息服务提供者应当在其对外提供服务的互联网站、应用程序等显著位置标明其备案编号。备案仅是对主体区块链信息服务相关情况的登记，不代表对其机构、产品和服务的认可，任何机构和个人不得用于任何商业目的。<span id=""show_stock_str"" ></span>",温氏股份300498 的民营银行布局区块链专利技术了吗？
37,11月05日 ,山西股友,根据十月数据初步估算，猪利润大概21.5亿左右。鸡看不懂，根据数据肯定养鸡情况有变化，假设还都是黄羽鸡情况下，一公斤成本11.4，1.06亿只每只大概1.8公斤大概能得出接近9.5亿利润。但是鉴于16.51均价环比下降14%来看，对应九月应当19.20均价的样子，但是实际公布9月均价21.8，况且从0.7到，1.06实属不正常，所以大胆推测多出来了许多白羽，那白羽成本肯定远低于11.4，能得出鸡利润不止9.5，具体多少就不知道了，11-15吧。所以能得出结论，十月利润31亿，或者33到35.36的样子。就看鸡到底怎么变化的了,根据十月数据初步估算，猪利润大概21.5亿左右
38,11月05日 ,云南股友,温氏这周要拿回养猪企业市值第一，本来也是全国老大，与前期44.75元最高点只差12%的涨幅，我相信应该会突破前期高点，单10月利润可达30亿元（猪肉25亿，鸡肉5亿）如果11-12月价格稳定保守第四季度利润可达90亿元，牧原不可能追上，等追上猪价就回落了。,这周温氏要创历史新高
39,11月05日 ,吉林股友,"【<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>：10月销售肉鸡1.06亿只 同比增长32.87%】$<span class=""showStock"" id=""stock_sz300498"">温氏股份</span><span id=""quote_sz300498""></span>(SZ300498)$ 2019年10月销售肉鸡1.06亿只（含毛鸡、鲜品和熟食），收入32.70亿元，销售均价16.51元/公斤，环比变动分别为32.87%、15.79%、-14.06%，同比变动分别为48.21%、64.98%、14.34%。<span id=""show_stock_str"" ></span>",【温氏股份：10月销售肉鸡1.06亿只同比增长32.87%】
