,time,author,comment,header
1,12月11日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,有短线波动之优质低估值价值更值得投资!,有短线波动之优质低估值价值更值得投资!
2,12月11日 ,<a href='/u/3293939127' title='用户3293939127'>用户3293939127</a>,"<span class=""showStock"" id=""stock_sh600019"">宝钢股份</span><span id=""quote_sh600019""></span>的利好怎么没怎么涨 反而是别家股票涨的很厉害呢<span class=""face-img face-wb-1-20"">[笑cry]</span><span id=""show_stock_str"" ></span>",宝钢股份的利好怎么没怎么涨 反而是别家股
5,12月09日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,痴呆不动了！,痴呆不动了！
6,12月09日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,立足投资  顺势而为 波段操作  无惧市场涨跌!,立足投资  顺势而为 波段操作  无惧市
9,12月05日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,真正有投资价值之优质行业龙头价值股不怕跌怕不跌!,真正有投资价值之优质行业龙头价值股不怕跌
10,12月05日 ,<a href='/u/6114240512' title='用户6114240512'>用户6114240512</a>,宝钢，这也叫公司？,宝钢
11,12月05日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,托后腿,托后腿
12,12月05日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,不要脸的脸的家活,不要脸的脸的家活
15,12月03日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,高抛部分筹码已全部买回!,高抛部分筹码已全部买回!
16,12月03日 ,<a href='/u/3293939127' title='用户3293939127'>用户3293939127</a>,别人跌 我也跌 别人涨 我还跌,别人跌 我也跌 别人涨 我还跌
18,12月02日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,宝钢钱多钱多钱钱多，宝钢希熊希熊希希熊 中国宝钢。,宝钢钱多钱多钱钱多
21,11月28日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,逢低分批买回优质低估值钢铁股!,逢低分批买回优质低估值钢铁股!
23,11月27日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"除非个股有绝对投资价值(能保持十年以上现金分红不低于年化7%以上收益或资本增值不低于15%以上),否则股票仅仅是博弈筹码而已!  三国演义开篇曰：“天下大势，分久必合，合久必分”。用这句话来形容股票市场中的筹码最贴切不过了，只要有股票的买卖交易就会有涨有跌，便会使筹码由从分散---集中---再分散---再集中，周而复始循环往复。",除非个股有绝对投资价值(能保持十年以上现
24,11月27日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,欢迎宝钢继续调整!,欢迎宝钢继续调整!
26,11月26日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"大盘和个股涨跌自有天命,如何超前一步洞察其奥秘?",大盘和个股涨跌自有天命
28,11月25日 ,<a href='/u/1273332041' title='博客用户332041'>博客用户332041</a>,你吹吧，咋没先说，事后孔明,你吹吧，咋没先说
29,11月25日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"上周一全面加仓钢铁股,至今收益不错!",上周一全面加仓钢铁股
30,11月25日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,已适当高抛,已适当高抛
35,11月19日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,垃圾，还有人去参观,垃圾
36,11月19日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,托后腿，死宝钢,托后腿
39,11月15日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"时间是检验估值之最好标准,买者自负是市场最终投资结果之裁判者!",时间是检验估值之最好标准
40,11月15日 ,<a href='/u/5610821097' title='Nathan丶血月'>Nathan丶血月</a>,天天绿，当然环保,天天绿
41,11月15日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,宝钢是最不要脸的,宝钢是最不要脸的
43,11月14日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,行业优质低估值价值中长线越低越买(注意仓位及分批买进)!,行业优质低估值价值中长线越低越买(注意仓
45,11月13日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"投资持有下降道中的低估值行业龙头股,必须有坚持3~5年以上之持股信心!",投资持有下降道中的低估值行业龙头股
46,11月13日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"跌到5元也无所谓,反正仅少量持股!",跌到5元也无所谓
47,11月13日 ,<a href='/u/3947608545' title='难得潇洒的1969'>难得潇洒的1969</a>,垃圾,垃圾
48,11月12日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"下降通道中的低估值龙头价值股只适合分批逢低吸纳,适量投资!",下降通道中的低估值龙头价值股只适合分批逢
50,11月12日 ,<a href='/u/5099990026' title='愚者周愚'>愚者周愚</a>,倒闭吧无底洞,倒闭吧无底洞
53,11月08日 ,<a href='/u/5947179592' title='用户5947179592'>用户5947179592</a>,就像乌龟一样,就像乌龟一样
56,11月06日 ,广西股友,"今天<span class=""showStock"" id=""stock_sh600019"">宝钢股份</span><span id=""quote_sh600019""></span>在钢铁板块中算走的弱了，<span class=""showStock"" id=""stock_sh600126"">杭钢股份</span><span id=""quote_sh600126""></span>两天升幅近百分之十五。成了钢铁板块龙头。我近日还指望<span class=""showStock"" id=""stock_sh600019"">宝钢股份</span><span id=""quote_sh600019""></span>做龙头，看来有点老态龙钟了。今天是今年以来钢铁板块首次在A股板块升幅进入前三名，后市能否继续走强有待观察。近大半年来，钢铁板板块一直走下降通道，跌幅普遍三成以上。今天市场开始重新审视钢铁企业了，因为有资金流入，今天大部分钢铁股成交金额比昨天放大近一倍。现在钢铁行业基本面通过供给侧结构性改革的改善，早已经不是几年前的钢铁行业，决不能再以老眼光看待现在的钢铁企业。市盈率最底的板块是钢铁板块。个人观点，不是买卖意见<span id=""show_stock_str"" ></span>",今天宝钢股份在钢铁板块中算走的弱了
57,11月06日 ,<a href='/u/5099990026' title='愚者周愚'>愚者周愚</a>,宝钢跌得不好意思了,宝钢跌得不好意思了
0,11月06日 ,广东股友,现在是不许涨 也不许跌，管你做多做空 都让你赚不到钱。以前是靠庄托唱多做空割韭菜。现在应该是第一任务是让进宝钢的都赚不到钱，第二才是割韭菜。什么利空利好消息都是狗屁。庄家的意志才是决定性因素。没见过这么无良无耻的庄家。让所有人都赚不到钱的庄家。任何市场。,今天宝钢操盘手的策略变了
1,11月06日 ,安徽股友,买钢铁不如买水泥。首先钢铁和水泥相关联非常高，用钢铁就基本上用到水泥，而且水泥量肯定比钢铁多。从成本上看，水泥原料就是石头什么的，几乎不值钱，而且煤炭大跌对双方都有利，钢铁原料是铁矿石，基本上靠进口也就是说被外国卡住咽喉，钢铁厂亏钱就是因为上半年铁矿石原料涨价。所以买钢铁不如买水泥,买钢铁不如买水泥
2,11月06日 ,广东股友,个人看法金融改革之前 国家队的底线要高于民间庄家，因为他有维护市场的任务，所以大跌之后会有大涨 会有救市 逢年过节会翻红让大家过个好假期。金融改革之后 民间庄家的底线要高于国家队，现在金融管制空前严厉，民间庄家要小心行事，不能做有命赚没命花的蠢事。而国家队的任务变了，是去杠杆，打击投机，所以今年再也没有过节翻红的行情了。,猜各种庄家的底线
3,11月06日 ,广西股友,宝钢股份是钢铁行业的龙头，但一年多来股价接近腰斩，去年二月最高11.48元。使到整个板块受拖累下跌幅度非常大，目前A股市盈率最低是钢铁股，近来来一直没有资金关注，基本没有炒作过，宝钢龙头大哥，你能不能象钢铁一样硬一会儿，只要你起动，整个钢铁板的股一定会挺起来，将会吸引资金抢钢铁股票，到时不涨也难。宝钢大哥这回看你的了！,宝钢股份是钢铁行业的龙头，但一年多来股价接近腰斩
4,11月06日 ,海南股友,再高市盈率买入，再低市盈率卖出，关于周期性行业操作，又这种说法，这句话的本意其实是周期性行业操作是在大的行情不好的时候买入，在大的行情好的时候卖出，不是削足适履的字面上的理解，你真的再高市盈率买，低市盈率卖，因为市盈率高低与否有很多种，有高估，也有市场低估，原因很多，周期性行业参考指标是市净率并结合市盈率，行业低点真正选择的是市盈率最低的那个，一般那个就是龙头，如果行业不景气的时候，它还能创造最优的业绩，那么这个企业就是相当不错，而且他也能再接下来调整中存活下来，如果不是，那就不好说了，周期性行业买入点十分重要，因为调整时间可能很长，有的时候甚至不是一年两年，举个例子吧，船舶业从08年后一直再调整，如果盲目进那么你损失也不小，而且买错企业如果还是个小企业，那么你可能公司都不存在，周期性调整其实就是通过行业不景气进行深度调整，这个期间可是要有大量企业退出的，所以买入的时候一定要小心，按照高市盈率买入，低市盈率卖出这种生搬硬套一定要出事，,再高市盈率买入，再低市盈率卖出，关于周期性行业操作
5,11月06日 ,河北股友,此价下不如快全转买回购注销龙头股601666平煤股份*属稀缺资源国企，半年业绩巨增，历史高点在60元，忽略日线、周线看月线、季线唯一十年大底的平煤股份，正能量开启每股5．89元破净资源股，百亿稀缺资源储量，无AH价差和大小非减持压力，最低估不用比不用找了，十个涨停也不多*大股东三亿资金回购注销和价值投资万亿资金目标股。有钱不如有矿道理简单。帐面上钱比市值还多。白捡一个公司。,此价下不如快全转买回购注销龙头股601666平煤股份*属稀缺
6,11月06日 ,海南股友,如果现在买入钢铁类股票还不如买船舶类的，二者都是强周期，唯一区别，一个是利润过去创新高，今年明显下滑，一个是调整差不多完成，尤其是南北船合并后已经垄断了国内海军军舰，和基本上大部分国内船品，之前的宝武合并跟南北船无法相比，宝武合并后占行业国内产量也不到10%，别说垄断了，连寡头都没行成，这也就是为什么中国钢铁厂没有议价能力的原因，现在还是太散，产能化远远没去完，行业集中度还是没完成，这也是为什么国资委未来工作重点还是钢铁业的重组，船舶业不一样，南北船合并国内市场占有率接近70%，国际上20%多，如果加上韩国造船业整并，未来国际造船的头部两家企业市占率都超过50%，这已经达到垄断了，这也是为什么明年船东普遍预计船舶要涨价的原因，而且船舶业已经调整了11年，现在已经接近调整尾声，钢铁业确是还在初期，不要被16年到18年的钢价涨幅给忽悠了，那个并不完全是去产能的结果，有部分原因还是国家稍微放开了房地产市场，那是最后的疯狂，如果不出意外，后年开始钢铁业是要进入深度调整的，因为钢铁业产能还是过于过剩，而且国家对房地产的控制，必然要影响钢市场，毕竟钢铁主要需求尤其是粗钢主要就是房产，当然另外一个要命的消息是汽车销量下滑，这个也要影响钢厂，,如果现在买入钢铁类股票还不如买船舶类的，二者都是强周期
9,11月04日 ,海南股友,如果今天大盘调整（a股永远只有调整，5178那种），宝钢跌深了可以接飞刀，赌长下影见底反转或大幅反弹，但今天行情，胜率太小，主要对手盘问题，今天谁在卖谁在买，洗盘？选择今天依然效果怎么样，洗盘也是有成本的。现在接多了，以后熬死我们,如果今天大盘调整（a股永远只有调整，5178那种）
10,11月04日 ,<a href='/u/5099990026' title='愚者周愚'>愚者周愚</a>,宝钢乃至所以国企都应该退市,宝钢乃至所以国企都应该退市
11,11月04日 ,<a href='/u/5099990026' title='愚者周愚'>愚者周愚</a>,快退市吧,快退市吧
12,11月04日 ,广西股友,宝钢股份从今年4月8元以来一路下跌，跌至周五5.74最底价，已经跌去近30%，没有一次象样的反弹行情，随着大盘的走好，估计止跌回升。2019 年三季报，实现营业收入 2169 亿元，同比下降 3.7%;实现归母净利润 88.74 亿元，同比下降 43.6%;吨钢净利润 253 元，同比下降 43%;经营净现 金流 196 亿元，同比下降 47%;资本开支 109 亿元。公司作为钢铁行业龙头，综合竞争力 较强，持续降本增效，后期盈利有望回升。,宝钢股份从今年4月8元以来一路下跌，跌至周五5.74最底价
