,time,author,comment,header
1,12月11日 ,<a href='/u/7310241540' title='用户7310241540'>用户7310241540</a>,我持有三一原始股，可以对现么？,我持有三一原始股
10,11月29日 ,<a href='/u/1827050983' title='zzgood80'>zzgood80</a>,你真行！,你真行！
26,11月12日 ,<a href='/u/7016748136' title='用户7016748136'>用户7016748136</a>,有情况？,有情况？
30,11月07日 ,<a href='/u/3124076977' title='男怒'>男怒</a>,三个抬一个都抬不动失望,三个抬一个都抬不动失望
32,11月06日 ,四川股友,三一集团德国全资子公司——普茨迈斯特参展第二届中国国际进口博览会。红网时刻11月6日讯（记者 喻向阳）11月5日上午，第二届中国国际进口博览会在上海开幕，来自150多个国家和地区的3000多家企业、约50万专业采购商齐聚上海。相比去年，今年展览面积大幅增加，达到33万平方米，并首次增加了装备展区。三一集团德国全资子公司——普茨迈斯特首次参展，携3台高精尖设备“中国首展”。强劲的设备永远是全场亮点。首日，大量专业客户对“大象”的产品表示了浓厚兴趣，纷纷询价和试机。这台UT4777矿用混凝土搅拌车全身黄色涂装，它是普茨迈斯特研制的新品，也是目前德国最先进的产品，外号“小黄人”。一起来到进博会的，还有EKO 1260单杠固体泵和SPM 4210湿喷机，这个组合适用于大型化工厂、石油钻井平台和污水化工厂等。三款“小黄人”携手亮相进博会，向世界展示三一集团的国际化成果和制造实力。,三一集团德国全资子公司——普茨迈斯特参展第二届中国国际
33,11月06日 ,海南股友,三季度业绩公告后，大股东就可以开始减持了，三个需要减持的股东共2800多万股。昨天14.15元出突然出现460多万股的压单，数据上看不是北上资金的抛盘，那最有可能的就是这三个大股东的啦，昨天还在14.3元的地方也出现过百万的抛单。现在问题是：当大股东减持后在多少天内需要公告已经开始减持以及这几天已经减持的数量?如果哪天突然公告已经开始减持了，然后第二天要低开多少？,好像大股东这两天都在减持
34,11月06日 ,湖北股友,早盘军工板块冲得非常高，但是现在一共只有2只涨停，而且其中1只还出现过炸板！军工在9月份发力后就一直没有再出现，今天又开始故技重施，我的观点是不要碰！现在追军工，一旦后面没出来，基本上又是持续阴跌的状态！（来源：涨乐金股的财富号 2019-11-06 10:55） [点击查看原文],【风险提示：不碰军工】（更多资讯
36,11月05日 ,贵州股友,群里面有做短线，有做长线，有整天像大神一样的股神，也有每天唱空或唱多人物，我觉得都很好玩。我曾经也经常做波段，学了各种各样的技术，后来我明白真的挣不到大钱，不是每次都能踏准节奏。所以拿了三一这些年，我忍受它的波动，多少次想卖它，多少次对自己判断选择它而怀疑。总算坚持到今天，我不知道什么时候卖它，如果可以话，我会至少再持十年，价值投资，三一你真的有价值吗？别让我失去宝贵的十年,群里面有做短线，有做长线，有整天像大神一样的股神
37,11月05日 ,四川股友,广东乐从钢铁世界是广东省现代服务业建设的重点项目，位于乐从镇大罗村，总规划用地4000亩，总建筑面积250万平方米。总投资100亿元，首期投资55亿元，建成后促成钢材贸易总量超过2000万吨，年加工能力超过1000万吨，将是国内现有规模最大的国家级钢铁专业市场，为钢铁的生产加工企业、经销商与采购商，提供全方位的“一站式”服务，满足不同客户的各种需求。,三一集团乐从钢铁世界项目？
38,11月05日 ,黑龙江股友,"<span class=""showStock"" id=""stock_sh600031"">三一重工</span><span id=""quote_sh600031""></span>短暂跌破收敛上升通道下轨，连续3个交易日围绕下轨大线震荡，洗盘动作幅度很大。昨日股价重回通道内，基本可以断定上周的跌破为诱空和洗盘，后市持续看涨，且股价将突破通道上轨。但由于14.17有压力，所以短时间内行情还回忆窄幅震荡为主，但窄幅震荡不正是最好的建仓机会吗？<span id=""show_stock_str"" ></span>",一把直尺打天下/三一重工 600031
41,11月02日 ,河南股友,"【10月31日胡大胖关于<span class=""showStock"" id=""stock_sh600031"">三一重工</span><span id=""quote_sh600031""></span>的“神”评论，11月1日<span class=""showStock"" id=""stock_sh600031"">三一重工</span><span id=""quote_sh600031""></span>涨3.2%，啪啪啪打脸胡大胖】胡大胖　作者　影响力　　吧龄　9.2年　发表于 2019-10-31 13:11:45我说了三一半年业绩是8毛多，对比每季度应该是4毛多。3季度明显不及预期，4季度如何？我觉得也会继续下滑。这就是三一跌破日线上升通道支撑的原因，因为机构庄家认为三一的业绩拐点出现了，后市股价还会不断下滑。跌破日线原始上升通道支撑技术上具有非常重大的意义，不懂技术的真是懂个屁！！！==================================================胡大胖　作者　影响力　　吧龄　9.2年　发表于 2019-10-31 14:10:02就三一这么明显破位的走势，还是会有人不卖。因为这些人侥幸，不尊重技术。不割肉等明天。股市上大部分人亏得一塌糊涂都是不会割肉自保！===============================================胡大胖　作者　影响力　　吧龄　9.2年　发表于 2019-10-31 14:58:49下课吧，没行情。没戏。明天还是跌，一样没戏。<span id=""show_stock_str"" ></span>",本帖专门收集胡大胖的神预测，然而第二天却啪啪啪打他脸
42,11月02日 ,浙江股友,近日，三一以万余字超大篇幅登上《证券时报》头版，文章溯往及今，介绍了三一从偏安一隅的作坊式工厂起家，至迁往三驾马车齐头并进的工程机械之都，再到如今随“一带一路”出海脚印遍布全球的传奇过往，与读者共同探寻中国机械制造世界名片的铸成。,近日，三一以万余字超大篇幅登上《证券时报》头版
43,11月01日 ,海南股友,红盘卖出大法好！！！近期港资和社保共同出货，应是对三一业绩预测达到顶峰有所担忧，能否扭转大资金的看法，就要看10月份的销量情况，如不能好转，股价仍不会有起色，下跌趋势不变，不过今年业绩至少是增长的，跌到13.13可以大力买入，反弹还是有的，跟着我13.13买入赚个差价！！！,红盘卖出大法好！！！近期港资和社保共同出货
44,11月01日 ,河南股友,融资买入其实就是没钱了才要融资，但融资是需要有抵押的，当股价下跌时抵押值就会同时下降，跌到平仓线时就会被强制卖出平仓从而变成断崖式不计成本卖出！最近7个交易日融资净买入金额已经达到1.64亿元，总融资额已经达到16.24亿元，然而股价一直在跌跌不休，这说明此股主力就是与融资盘对着干，铁了心要把你打爆！而随着融资额的增加与股价的下跌，断崖式危险就越来越近了。融资就是没钱了，是实力不够的表现，买入的同时也埋下了雷！,融资盘越多越危险
47,10月31日 ,江苏股友,放心，今天大概率收在低点。昨天发贴说尾盘买入戴套套（本人昨天尾盘能卖的全卖了），昨天低点买入手慢坐过山车，果然没错。手再慢，昨天低点买入的也戴套。不过也要快反攻了，现在还不是时侯。不要和操盘手抢低位筹码，否则会有更低,放心，今天大概率收在低点
