,time,author,comment,header
0,12月13日 ,<a href='/u/6278602426' title='单车呵呵呵'>单车呵呵呵</a>,横盘，稳着,横盘
1,12月13日 ,<a href='/u/6039805900' title='yazhang的地盘'>yazhang的地盘</a>,冲鸭,冲鸭
2,12月12日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,卧槽，一步一步往下掉！,卧槽
3,12月12日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,联通联通，无奈！,联通联通
4,12月12日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,小涨两天，一天跌完！,小涨两天
6,12月06日 ,<a href='/u/6278602426' title='单车呵呵呵'>单车呵呵呵</a>,今天又威武了,今天又威武了
7,12月06日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,联通小涨四天，周末一天就全跌回去。,联通小涨四天，周末一天就全跌回去
8,12月05日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"分批持续买入<span class=""face-img face-12"">[看多]</span><span class=""face-img face-12"">[看多]</span><span class=""face-img face-12"">[看多]</span><span class=""face-img face-10"">[买进]</span><span class=""face-img face-10"">[买进]</span><span class=""face-img face-10"">[买进]</span>[上涨][上涨][上涨]",分批持续买入[看多][看多][看多][买
9,12月05日 ,<a href='/u/7347741470' title='用户7347741470'>用户7347741470</a>,今天会飞起来不,今天会飞起来不
10,12月05日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,联通，向前冲啊！软蛋。,联通，向前冲啊！软蛋
11,12月04日 ,<a href='/u/6039805900' title='yazhang的地盘'>yazhang的地盘</a>,真差,真差
12,12月04日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,一个新低。联通股价今天能到5元。明天4.5元。一天,一个新低。联通股价今天能到5元
13,12月04日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,熊一个，一只！,熊一个
14,12月04日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,天天跌，为什么？联通？,天天跌
15,12月04日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,联通为别人做嫁衣！,联通为别人做嫁衣！
16,12月04日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,严重缺钙！联通！,严重缺钙！联通！
17,12月04日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,联通到底是怎么啦？,联通到底是怎么啦？
18,12月04日 ,<a href='/u/7347741470' title='用户7347741470'>用户7347741470</a>,赔6毛了,赔6毛了
19,12月04日 ,<a href='/u/2102352537' title='俊少要适应'>俊少要适应</a>,今天入场基本没有风险,今天入场基本没有风险
20,12月04日 ,<a href='/u/6278602426' title='单车呵呵呵'>单车呵呵呵</a>,大跌破线,大跌破线
21,12月04日 ,<a href='/u/2377681195' title='皇灬家国际奢侈精品'>皇灬家国际奢侈精</a>,"转出<span class=""showStock"" id=""stock_sh600050"">中国联通</span><span id=""quote_sh600050""></span>吧，国字号的垃圾股。<span id=""show_stock_str"" ></span>",转出中国联通吧，国字号的垃圾股
22,12月02日 ,<a href='/u/7347741470' title='用户7347741470'>用户7347741470</a>,牛逼大联通,牛逼大联通
23,12月02日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,联通，回家庄红薯去吧！,联通
24,12月01日 ,<a href='/u/2953249093' title='天阔800'>天阔800</a>,<p>联通转出用户最多，真的是玩了？联通的员工真不争气。</p>,联通转出用户最多
25,11月28日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,股价死气沉沉，没有一点活力！,股价死气沉沉
26,11月27日 ,<a href='/u/1109112377' title='曾经年轻过1109112377'>曾经年轻过110911</a>,联通联通，想说爱你不容易！二十二年的老用户，一朝被踢去移动！,联通联通
27,11月25日 ,<a href='/u/7074768395' title='用户7074768395'>用户7074768395</a>,"<span class=""showStock"" id=""stock_sh600050"">中国联通</span><span id=""quote_sh600050""></span>，信号不好，连股价也是垃圾，差评差评[下跌][下跌][下跌]<span class=""face-img face-3"">[成交]</span><span id=""show_stock_str"" ></span>",中国联通，信号不好，连股价也是垃圾
28,11月21日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,5G概念不涨反而在跌,5G概念不涨反而在跌
29,11月19日 ,<a href='/u/6278602426' title='单车呵呵呵'>单车呵呵呵</a>,今天争气了,今天争气了
30,11月08日 ,<a href='/u/2377681195' title='皇灬家国际奢侈精品'>皇灬家国际奢侈精</a>,垃圾就是垃圾，大家快携号转网吧。,垃圾就是垃圾，大家快携号转网吧
31,11月07日 ,<a href='/u/6039805900' title='yazhang的地盘'>yazhang的地盘</a>,他娘的B,他娘的B
32,11月06日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,呸！！！！,呸！！！！
33,11月06日 ,山东股友,"区块链，就目前而言，我的看法就是央行要推的数字货币的框架以后能不能延伸到其他行业，现在是看不到的所以受益的企业，首先就是四大银行，其中跨境支付重点是<span class=""showStock"" id=""stock_sh601988"">中国银行</span><span id=""quote_sh601988""></span>至于要往这个概念上靠的一年产值只有几个亿的小企业，一毛钱关系都没有至于三大电信在其中要扮演的角色，在框架文件出来之前，确实无法判断他们的受益程度，或者受损程度，阿里巴巴和腾讯，不出意外的话，应该是受损的。<span id=""show_stock_str"" ></span>",关于区块链
34,11月06日 ,<a href='/u/6039805900' title='yazhang的地盘'>yazhang的地盘</a>,妈拉八子,妈拉八子
