,time,author,comment,header
2,12月10日 ,<a href='/u/1106148883' title='lk600789'>lk600789</a>,"<p><span class=""showStock"" id=""stock_sh600276"">恒瑞医药</span><span id=""quote_sh600276""></span>主要是基金持股，散户很少，能跌到那去！</p><span id=""show_stock_str"" ></span>",主要是基金持股
9,12月03日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,喝酒吃药这么还不死,喝酒吃药这么还不死
14,11月29日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,再跌，再跌，喝酒吃药去死吧,再跌，再跌
15,11月29日 ,<a href='/u/2339619645' title='行水012'>行水012</a>,报团取暖过大年。,报团取暖过大年
16,11月29日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,跌的太慢了,跌的太慢了
20,11月26日 ,<a href='/u/1109112377' title='曾经年轻过1109112377'>曾经年轻过110911</a>,最后一分钟主力进3.3万手/88.9元。,最后一分钟主力进3.3万手/88.9元
23,11月22日 ,<a href='/u/6069067661' title='糖宝8283'>糖宝8283</a>,就那么点减持吓成这样 狗Ｂ傻缺,就那么点减持吓成这样 狗Ｂ傻缺
31,11月14日 ,<a href='/u/1109112377' title='曾经年轻过1109112377'>曾经年轻过110911</a>,公司公告: 是从11月25日起，四高官半年内减持66万股。,公司公告: 是从11月25日起
32,11月14日 ,<a href='/u/5610501549' title='用户5610501549'>用户5610501549</a>,恒瑞公司高管都减持差不多了,恒瑞公司高管都减持差不多了
38,11月08日 ,<a href='/u/6069067661' title='糖宝8283'>糖宝8283</a>,走的什么鸟玩意,走的什么鸟玩意
41,11月06日 ,福建股友,"想挣企业成长的钱，还是估值修复的钱。企业不会一天变好也不会一天变坏，股价的波动其实没有意义，云没动，风也没动，在动的只是人心而已。处变不惊，风轻云淡，我想应该是投资的首在条件，或者说必备的性格。看好的企业只要基本面没有变坏，没有必要关注股价的短期变动，因为我们都不知道短期是上涨还是下跌，股票市场短期是投票器，长期是称重器，短期的波动其实只是人心躁动。不预测市场的说法由此而来，因为最猜不透的其实就是人心。还有你想挣多少100%?投资界有一句话，一年三倍易，三年一倍难。短期的暴涨其实都是占了极大的运气成分，不可复制，长期的复利增长才是投资的根本所在。从全世界来看长期可以保持15%复利增长已经是高高手了，保持平常心在降低风险的前提下尽可能的提高收益我觉得才是投资。送你一句巴菲特的投资中心思想，用合理的价格买入优秀的公司长期持有。考虑到我们都可能犯错所以应该构建一个投资组合（既买入一篮子优秀的，低估，或者合理的企业6到8只持有），不用在意短期的涨跌，也许会有意想不到的收获。$<span class=""showStock"" id=""stock_sh600276"">恒瑞医药</span><span id=""quote_sh600276""></span>(SH600276)$$<span class=""showStock"" id=""stock_sh600887"">伊利股份</span><span id=""quote_sh600887""></span>(SH600887)$<span id=""show_stock_str"" ></span>",想挣企业成长的钱，还是估值修复的钱
42,11月06日 ,北京股友,"<span class=""showStock"" id=""stock_sh600276"">恒瑞医药</span><span id=""quote_sh600276""></span>：1.在整个大盘弱势的情况下，恒瑞走势没有话说，一整天小区间的震荡，可以接受。2.不过恒瑞再不涨的话，高档钝化KD将要结束钝化，一旦钝化结束，一波短线整理难免，但是整理只要能守住短线转弱价89.3元之上，上涨走势不变，日线KD钝化的通则在50位置形成强势金叉的机会大，也就是说，价格能不破短线转弱价89.3元，日线KD能在50位置金叉，那就是一个短线价差的送钱点。3.当然明天一旦又反抽上涨，收盘站稳5日线，那趋势就更加强劲了，那就持多等卖就好。4.恒瑞今天短线30分钟整理，一直在中规震荡，KD的金叉死叉也不具有参考作用，目前还是需要量能，无量下跌支撑90元正负0.3元，有量上涨短线转强压力92元正负0.5元。<span id=""show_stock_str"" ></span>",恒瑞医药：1.在整个大盘弱势的情况下，恒瑞走势没有话说
43,11月06日 ,黑龙江股友,"<span class=""showStock"" id=""stock_sh600276"">恒瑞医药</span><span id=""quote_sh600276""></span>由于三季度报表略小许超预期与下半年推出创新药的销售良好表现，从新预测二零九年报净利润增长百分之四十到五十之间，净利润达到51亿到61亿之间研发费用在45亿到55亿之间，如不考虑研发费用，净利润加入研发费用每股税后收益2.3元到2.6元之间，<span class=""showStock"" id=""stock_sh600276"">恒瑞医药</span><span id=""quote_sh600276""></span>实际市盈率是38倍到29倍左右。<span id=""show_stock_str"" ></span>",恒瑞医药由于三季度报表略小许超预期与下半年推出创新药的
44,11月06日 ,黑龙江股友,由于中国十四亿人口大基数，未来五年十年中国老龄化越来越严重，中国几十年来经济高速增长积累了巨大财富，注定中国是一个是一个世界最大医药市场，所以注定了中国五年十年后会出现压倒全球一流的医药公司的超级医药公司，大概率恒瑞医药是其中一个。。。。。。,由于中国十四亿人口大基数，未来五年十年中国老龄化越来越
45,11月06日 ,北京股友,"<span class=""showStock"" id=""stock_sh600276"">恒瑞医药</span><span id=""quote_sh600276""></span>：1.恒瑞走势有点失判，按线型今天过高以后再回档的机会大，结果直接下跌。2.不过收盘也差不多还稳在5日线之上，KD也还继续钝化中，上涨走势没有改变。3.从周线分析，现在正好在周线上轨压力区，震荡消化压力很合理，日线只要回档不破短线转弱价89.3元，都属于强势整理。4.在日线KD没有跌破80以前，都还属于强势结构，再创新高的机会大。一旦跌破80位置，结束钝化，就注意短线转弱价89.3元，能守住，再创新高只是时间问题。5.短线30分钟整理目前还守在中规之上，没有破中规之前都有机会反抽短压93元正负0.3元，跌破就测试89.5元正负0.3元的支撑。只要不破，低吸利润大于风险。<span id=""show_stock_str"" ></span>",恒瑞医药：1.恒瑞走势有点失判
