,time,author,comment,header
3,12月09日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,按茅台的估值，万华100至少,按茅台的估值
11,11月28日 ,<a href='/u/5348115412' title='用户5348115412'>用户5348115412</a>,目前市场处于多空僵持状态，精选个股，逢低战略性建仓，耐心持有等待政策面、消息面等利好因素来改变当下弱势局面。没有增量资金支持，盘面热点往往散乱且持续性不强，所以短线操作难度加大，中长线继续逢低布局底部核心优质资产，跟随外资脚步。来源：微财讯app 人工智能分析。,目前市场处于多空僵持状态，精选个股
18,11月21日 ,<a href='/u/7339676573' title='用户7339676573'>用户7339676573</a>,万华这是咋了？北京公司大裁员，派了个王小星，职业杀手吗？他准备裁掉全公司半新老员工吗？他这是咋了？他裁员是想让公司剩下他认为好的少量员工继续干吗？那万一剩下的员工又不好好干，想让万华倒了咋整？还有现在股市也不知道咋了，这两天净跌了，前几天看着还不错在往上涨呢，这是咋了这是，一直跌[允悲][允悲],万华这是咋了？北京公司大裁员
19,11月21日 ,<a href='/u/7339676573' title='用户7339676573'>用户7339676573</a>,"万华这是咋了，这两天净跌<span class=""face-img face-wb-2-18"">[疑问]</span>[费解]",万华这是咋了
31,11月06日 ,河南股友,齐鲁网闪电新闻济南11月3日讯　用两年左右的时间进入世界化工20强，五年左右的时间进入世界化工10强，十年成为世界一流的化工企业……11月3日下午，在“第三届中国企业改革发展论坛——聚焦主业实业 争当高质量发展主力军平行论坛”上，万华集团董事长廖增太提出了万华发展的“三部曲”。廖增太认为，化工十强、200多亿美金，这是量的概念，万华希望成为中国化工高端制造的代表，成为全世界最优秀的高端化工研发和制造的供应商，这是万华的梦想。梦想如何照进现实？廖增太表示，在聚焦主业实业上万华有三件事可以分享，一是坚定不移的推进现代企业制度改革；二是科研骨干、管理骨干必须得到充分的激励；三是企业的信息必须公开透明。闪电新闻记者发现，不遗余力进行技术创新是万华走在创新前沿的重要基石。在万华，敢想敢做的创新精神是被提倡的理念，也因此拥有多项世界首创的技术。此外万华重视人才，目前拥有研发人员两千多人，这是一个庞大的创新团体。而在研发方面万华舍得投入，廖增太表示在2009年企业很困难的时候也保证了研发的钱。如今万华在烟台石山建立800亩地的研发中心，计划打造成世界顶级的研发中心。,廖增太谈万华发展的“量与质”：用两年时间进入世界化工20
34,11月04日 ,湖南股友,"0月31日，A股上市公司三季报悉数出炉。根据Choice数据显示，山东辖区168家A股上市公司2019年前三季度共实现营业收入11750.84亿元，实现归属于母公司净利润694亿元。<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>一家净利润就70亿，占十分之一还多，这还是万华大幅度下降的情况下，山东如果没有了万华，整个上市公司成啥样了？<span id=""show_stock_str"" ></span>",0月31日，A股上市公司三季报悉数出炉
36,11月03日 ,河南股友,"<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>在烟台基地一期工程2015年结束当时投了300亿，二期工程2020年结束，投了800亿，接下去烟台基地还有第3期，第4期工程.............，宁波基地技改项目才能将翻番，福建康奈尔基地当地政府给了<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>13平方公里土地面积，<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>完成了华南地区战略布局.............，<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>半年报显示在建工程158亿，三季报显示在建工程201亿，截止到209年三季报<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>固定资产357亿，在建工程201亿这些工程明年都要完工的，也就是说到了明年年底，<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>固定资产还将增加56%多，这些产能投产以后将会<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>创造非常丰厚的利润，，，<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>股价一定会在工程就是以前提前反应，2017年开盘的时候股价14块04分，2019年11月1日收盘价45块7毛7，，，，2017年开盘到现在股价增加了3.26倍，如果当时按照1:1融资满仓买入，现在股价增加了6.52倍，如果盘中一直浮盈亏融资买入那收益将更高，，，，<span id=""show_stock_str"" ></span>",长期持有万华化学必定取得非常丰厚的回报请看分析
37,11月01日 ,内蒙古股友,大盘今日阳包阴后，向上变盘概率已经增加。当然，纯粹技术角度，目前仍然是以5分钟级别或者30分钟级别震荡来看。从5分钟级别来看，仍然需要下周尽快突破例如3026，并站稳至少3000关口，大盘才能确立向上变盘。技术上来说，就是要最好形成5分钟级别3买才好。在把今日低点看做一个1分钟起点（还没有完全确认）情况下，大盘要形成5分钟3买，怎么也要1-2周的时间，这意味本月中旬才有可能出现5分钟的3买。这之前仍然以上下震荡看待之。简单的就是3015之上的小级别背驰卖点可以卖，回跌震荡站稳至少2965又可以回补。至于万华，下周初仍然有可能要考验45.36的支撑。这个位置刚好也是5日线附近，因此下周初就关注5日线是否能形成有效支撑。有支撑，就有再次冲击50的能力。,连载-11月1日-短线继续关注3000关口的争夺
38,11月01日 ,重庆股友,"<span class=""showStock"" id=""stock_sh600183"">生益科技</span><span id=""quote_sh600183""></span>：一支年利润复合增长率可与茅台、万华媲美的公司三季度年报出来后，我们发现该股基金等机构抱团持有的更多了，三季度又新增了113家基金公司，持仓总量1.55亿股，比二季度接近翻倍。为什么该股是受到众多机构青睐？　　笔者特别比较了近几年A股市场最牛的茅台、<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>等几只机构抱团牛股，发现<span class=""showStock"" id=""stock_sh600183"">生益科技</span><span id=""quote_sh600183""></span>近10年的年利润复合增长率竟然可与茅台、万华媲美 ，茅台10年的年利润复合增长率为28%，<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>10.84%，<span class=""showStock"" id=""stock_sh600183"">生益科技</span><span id=""quote_sh600183""></span>为24.32%，如按照今年生益预计全年利润15亿计算，这近11年的年利润复合增长率则为37.32%，预计超越茅台和<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>。<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>股票复权价格从最低的27.5元涨到最高1500元/股，<span class=""showStock"" id=""stock_sh600519"">贵州茅台</span><span id=""quote_sh600519""></span>从最低25元涨到目前最高的7100多元，而<span class=""showStock"" id=""stock_sh600183"">生益科技</span><span id=""quote_sh600183""></span>的今年的最高复权价格仅150元。　　另外<span class=""showStock"" id=""stock_sh600183"">生益科技</span><span id=""quote_sh600183""></span>分红也相当优厚,生益自上市以来共募集过16.27亿元，向股东的派现金额合计51.48亿元，募资派现比高达3.16，在全部A股中,名列前茅列。这样的公司而且是5G新兴产业公司，这样的公司在两市3000多家公司中屈指可数，怪不得受到机构青睐。<span id=""show_stock_str"" ></span>",生益科技：一支10年利润复合增长率可与茅台、万华媲美的公
39,11月01日 ,甘肃股友,被忽略的最大优点说谁呢？说的是万华化学！什么最大优点被忽略？透明度！！！我们谈论最多的是万华的成长、万华的优势、万华的业绩，有时候也会谈及万华的规划、万华在建项目，万华成长的速度、万华未来成长的可信度。这一切谈论起来有根有据，明明白白，十分的透明。但是，我们是否注意到，在万华身上的这种透明，是否也存在于其它股票的身上呢？试试看，在两市三千多只股票里面，能列出如下类似图表的还有几家？这是什么？这就是我说的万华的最大优点之一，成长的透明度！也是未来可信的基础。,被忽略的最大优点
40,11月01日 ,安徽股友,"烟台<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>集团获批筹建国家技术标准创新基地中国山东网10月31日讯10月17日，国家标准化管理委员会正式下达复函，同意由烟台企业——<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>集团股份有限公司作为承担单位，筹建国家技术标准创新基地(化工新材料)，建设周期为2年。这是烟台市首个获批筹建的国家技术标准创新基地。根据《国家技术标准创新基地管理办法》和《国家技术标准创新基地建设总体规划(2017-2020年)》要求，十三五期间国家计划建成30-35个领域(专业)创新基地，每个领域仅设一个。山东省人民政府2018年印发《关于开展国家标准化综合改革试点工作的实施方案》，明确提出要开展高端化工领域国家技术标准创新基地建设工作。为在优势领域创新先进标准提供平台支撑，烟台市市场监管局推荐<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>集团股份有限公司于2018年积极开展了国家技术标准创新基地(化工新材料)的申报工作，争取省政府同意后向国家标准委报送相关材料。为积极争取项目立项，烟台市场监管局领导带队先后多次到国标委、省市场监管局进行走访汇报、沟通协调，2019年3月13日组织企业参加了国标委组织的国家技术标准创新基地技术方案专家论证会，最终争取国家技术标准创新基地(化工新材料)落户烟台。<span id=""show_stock_str"" ></span>",烟台万华化学集团获批筹建国家技术标准创新基地中国山东网
42,10月31日 ,黑龙江股友,"$<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>(SH600309)$投资<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>首先必须清楚认识其行业是典型周期性行业！然后清楚周期性行业买在低谷期卖在高峰期！其次要判断现在当前是不是低谷期！从历年产品价格，市净率，市盈率来看基本判定在底部区域，但受下游需求影响，这个底部还有多久呢？宏观上，美联储已经三次降息，其他国家和各地区有跟随的趋势，说明经济还在低谷期，困难期，<span class=""showStock"" id=""stock_sh600309"">万华化学</span><span id=""quote_sh600309""></span>的下游需求还有待观望！不过从长期投资来讲，可以开始布局了！<span id=""show_stock_str"" ></span>",$万华化学(SH600309)$投资万华化学首先必须清楚认识
