,time,author,comment,header
2,11月06日 ,山东股友,"一路從10快看到15的,從來沒看過這支票大跌,我女朋友一個星期網購起碼3-4件衣服,下游聚酯纖維需求端依然強勁,未來00後的消費力也會逐漸提升,上游pta到px,原油產能逐步放量,從原油-px-pta-聚酯等一體化產能未來還有提升空間,搶佔國內市場份額,估值最少看到1250億。",看好基本面的
3,11月06日 ,广西股友,"来自：上交所｜投资者问｜董秘你好，公司投产的2000万吨炼油工程，成品油年产｜2019-06-04｜｜　　｜量？PX产量，乙烯产量？公司远期规划PTa产能1160wT,｜　　｜｜　　｜预计PX需要700wt，自给率达到多少？谢谢！　　｜　　｜｜公司答复｜尊敬的投资者您好，感谢您的提问。在炼厂运营的初期｜2019-06-05｜｜　　｜，为了保证工厂运营的稳定性，将主要按照设计配比进｜　　｜｜　　｜行生产，待工厂运行平顺后，公司将根据实际情况进行｜　　｜｜　　｜产品的改进，现阶段成品油990万吨/年，PX满产后每年｜　　｜｜　　｜产出450万吨。<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>新建的两条装置投产后，公司 ｜　　｜｜　　｜将拥有1160万吨/年PTA产能，除炼化提供的450万吨PX ｜　　｜｜　　｜之外，其余部分将外购。150万吨/年乙烯为上市公司全｜　　｜｜　　｜资子公司恒力化工下的项目，预计今年年底投产。感谢｜　　｜｜　　｜您对公司的关注，谢谢。 (来自：上交所)　　｜　　｜<span id=""show_stock_str"" ></span>",来自：上交所
4,11月03日 ,内蒙古股友,一，也是存贷双高，康美药业和康得新都曾有过。中报里155亿的货币资金有99亿是属于银行存款，产生的利息只有5500万，就放着吃活期利息。为啥不买银行理财产品。二、三季度单季利息费用就达到了11亿，前三季度一共18亿。恐怕有短期偿债风险。没有细看，翻看行业龙头的时候简单看了一下恒力的财报。有兴趣的可以深入研究。,财务报表有疑点
5,10月25日 ,<a href='/u/7043669515' title='用户7043669515'>用户7043669515</a>,<p>一般都会遇到这样的过程情况：进入体验期——网站考量期——网站拖延期——网站黑钱期。下面我就分别跟大家介绍一下这是一个什么样的时段过程</p><p>随着网络时代的发展，被骗的朋友是越来越多，被黑分为三种。</p><p>解决+Q扣：235----975----0555 位同步</p><p>　　第一：直接上来就是冻结账号！</p><p>　　第二：限制你账号的部分功能！ 限制你的额度转换，出款和入款端口关闭！ 提款余额不能低于多少多少等等。</p><p>　　遇到各种维护审核不给提款这些都是黑你所找的借口，你的就是让你以为是真的维护，一般维护审核时间都在8小时左右，等过了这个时间段你就得想办法找人帮忙追回，如果时间拖久了到最后黑网站就会冻结你的账号。</p><p>　第三：客服找一些借口说什么系统维护，风控审核等等借口一直拖着让你自己都失去信心了！</p><p>技术微，信【HOT110520】</p><p><br/></p><p>第一就是进入体验期：就是网友们刚刚进入网站的时候，心态处于体验状态，自然不会充值大额，所以这个阶段提款就是正常的，不会有什么情况。第二就是网站考量期：这个阶段是网友们已经玩了一段时间了，网站就会通过网友们这些天的投注情况来考量这个客户的质量，假如是大客户的话，那你就算赢10个8个网站还是会给你提款的，因为你后面还可以给网站带来更大的利益。第三就是网站拖延期，这个阶段就是网站决定黑你但是还想让你继续充值继续玩的时候，网站会以你的IP异常，注单违规，涉嫌套利等为借口拖着就是不给你提款。第四就是网站黑钱期，这个阶段就是网站觉得你身上的利益已经被他们套光了，网站也就不想在你身上浪费时间了，所以就冻结你的账号然后拉黑你。</p><p>在这里我想说的是，如果我们的账号还没有到网站黑钱的最后一个阶段，只是出款需要审核，总是提不了款，但账号还可以正常登录，额度可以正常转换的时候，通过一些方法技巧其实出款几率还是很大的</p><p><br/></p>,网站平台提示账户违规异常不给出款怎么办？求助！
6,10月24日 ,北京股友,"过去的这一周，关于并购重组最重要的消息，无疑是周五下午证监会正式发布修订后的《上市公司重大资产重组办法》。就这一消息，周六出版的三大报，都在头版进行了报道。当然，报道的角度略有不同。中国证券报的题目是：《重组新规落地：创业板“破冰”，配套融资开闸》，这个题目意思到位，用语中规中矩；上海的证券报题目是《重组新规为优质资产注入松绑，创业板允许借壳》，题目抓住了“松绑”这个关键词，也很不错；证券时报的题目是《重组新规第四次大修落地，创业板逢甘霖》，这个题目，就有点意思了。“落地”两字，表达了这是对6月20日的征求意见稿的定论，而“逢甘霖”三个字，则道出了一种市场普遍期待的欣喜之感。总之，这是一件大事，值得高兴。重组新规的具体内容，后面再细细道来。今天，我想先跟大家来聊聊资本市场本身。资本市场是个江湖资本市场，是一个非常独特的地方。这是一个江湖，聚集了最优秀的社会精英，同时也是各路枭雄的出没之地。手法各异的资本玩家，你方唱罢我登场，各领风骚三五年。资本市场更是一个财富机器，它可以给人带来亿万身家，同时也会吞噬财富，让亿万财富霎时间灰飞烟灭。这里，有风口与泡沫的狂欢，更有跌停与暴仓的惨烈。在资本市场上，有人想走捷径，利用并购重组的内幕消息想大赚一笔，没想到输掉本钱不说，还让自己遭遇牢狱之灾。 有些人扎根实业，心无旁骛地专事经营，也能够在食品饮料、化工医药等毫不性感的行业里做出千亿市值的公司。说奖能罚庸也好，说嫌贫爱富也好。资本市场就是如此率性浓烈、现实冷酷。说到这里，接下来我们来看一个案例。在10月18日的《中国证券报》中，刊登了张玉洁、宋维东的文章《从“一滴油”到“一匹布”，恒力集团全产业链运营》，说的是恒力集团的发展史。“从白手起家到如今年产值将突破5000亿元，恒力集团用25年时间打造了令人瞩目的商业传奇，成为我国民营企业发展壮大的缩影。起家于苏南的恒力集团，如今的商业版图扩展至多个省市。特别是今年投产的2000万吨/年炼化一体化项目，更是让恒力集团实现从‘一滴油’到‘一匹布’全产业链运营，助推恒力集团跻身中国企业前50强位置，名列第46位。同时位列中国制造业企业第13位。这是何等了得的企业发展奇迹！回望恒力集团的发展历史，不禁让人想到当年<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>的借壳上市及其后续实施的重大并购重组。2015年底，<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>以108亿元的价格注入大橡塑，实现借壳上市。2017年，<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>推出重大资产重组方案，以115亿元购买恒力投资100%股权和恒力炼化100%股权，PTA资产将注入上市公司，其中包括全球单体产能最大的660万吨/年PTA生产装置。同时，募集不超过115亿元配套资金，用于恒力2000万吨/年炼化一体化项目建设。正是通过借壳上市及其后一系列的并购重组，恒力集团将相关产业链资产逐步注入到上市公司，打造了集团旗下最重要的资本运作平台。今天收盘时，<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>的市值已经高达1192亿元，进入A股上市公司的市值百强，并且是东北地区市值最大的上市公司。这样的发展历程，离开资本市场的助力，不能说毫无可能，但难度要大不知道多少。上百亿的资金，离开资本市场这一平台，哪里说想筹就能筹到的？对于做企业的来说，落难时，有时就连一笔小钱，都可能会难倒英雄汉。但这了资本市场这一渠道，情况就明显不一样了。资本市场能量巨大。特别是对于那些有经营向好、处于快速发展期的企业而言，资本市场无疑是给上市公司装上了再融资的发动机，或扩大产能，或提前布局，未雨绸缪，资本市场以为企业的产业版图扩张提供源源不断的弹药支持。这就是资本市场的魅力所在，更是并购重组的魅力所在。重组新规有5大修订我们再来看看新发布的《重组办法》，在5个方面进行了重大修订：首先，取消了重组上市认定标准中的“净利润”指标。这一条，相当是进一步为上市公司的并购重组松绑。因为在“净利润”指标下，那些亏损和微利的公司，想收购却很难操作：亏损公司注入任何盈利资产均可能构成重组上市，微利公司注入规模相对不大、盈利能力较强的资产，也极易触及净利润指标。因此，取消了净利润指标后，那些亏损和盈利能力较弱的上市公司进行想实施并购重组而不想构成重组上市就有了可能。那么，这些公司是谁？到底有多少公司得到松绑？如果以净资产收益率在5%为分界线，从2018年年报的财务数据来看，净资产收益率在5%以上的，还有2228家。反之，净资产收益率在5%以下的上市公司（包括亏损），共有1466家。这些公司，大致可以归入盈利能力不强的公司之中。也就是说，简单来看，每100元的营业收入，最终不到5元钱转化为净利润，我们可以把这样的上市公司看作是盈利能力不强的。我们也可以从绝对值的指标来看，在这1466家上市公司中，净利润在3000万以下的，共有760家。所以，从理论上来看，这760家上市公司正是这条政策的精准受益对象。也就是为，单单这一条，就为至少为20%A股上市公司的并购重组松了绑。第二个重大修改之处是进一步缩短“累计首次原则”的计算期间，由60个月减至36个月。客观上来讲，3年时间，不长不短，对于那些想有短期行为和迅速套利意图的资本玩家而言，这已经是一道不低的门槛了。特别是当下日新月异的时代，对于资本市场而言，3年时间里的不确定性因素已经是太多太多。正是因为外界的变数足够大，也就必然倒逼资本玩家从长计议。所以，这条修订，可以看作是鼓励重组与遏制炒作之间的一种平衡。第三个重要修改之处是部分允许创业板的借壳上市，也就是：允许符合国家战略的高新技术产业和战略性新兴产业相关资产在创业板重组上市，其他资产不得在创业板重组上市。在现有的监管逻辑下，无论是从理论上还是从实务看，允许创业板的借壳上市都是众望所归的事情。为什么这么说呢？本来创业板的上市门槛就比较低，创业板上市公司的利润规模相对较小，再加上新兴产业相关行业分类较细、更新迭代较快，一旦战略方向有误或经营不善，很容易生存艰难甚至陷入困境。在当前退市机制不完善的情况下，与此让这半死不活地熬着，倒不如允许那些还有想法和冲劲的公司放手一搏，通过并购重组的方式来提升资产质量。当然，话说回来，自己的主业、本行业都搞不好，通过并购重组进入的资产就能搞好？这可没那么简单。并购重组显然绝非大家都可以玩得转的游戏。并购重组只适合那些优质的少数人。多数创业板上市公司，估计也是玩不好的。从这一角度来看，倒不如再市场化一些，把并购退市的门再开一些，鼓励对上市公司的并购重组。什么时候，创业板的上市公司有一半以上，是通过被收购退出了。那个时候，估计就是中国资本市场制度更加完善、力量更加强大的时候了。第四条修改是恢复重组上市配套融资。这一条锦上添花的加分项，允许借壳上市的公司在借壳的同时，顺带融一笔钱。从根本上说，在目前再融资、减持监管制度更加成熟的背景下，是可以放开了。在某种程度上，这也是尊重市场行为的表现，必竟大家都是聪明人，上市公司能够融到钱，那也是人家你情我愿的本事。第五条是加强重组业绩承诺监管。对于这条，应该举行拍掌欢呼！“重大资产重组的交易对方作出业绩补偿承诺的，应当严格履行补偿义务。”这个说得太对了！可是，再往下看，对于“超期未履行或违反业绩补偿承诺的，可以对其采取相应监管措施，从监管谈话直至认定为不适当人选”，呵呵，这个怎么说呢？只能说监管层已经尽力了。美国的秘密与中国的未来威尔杜兰特在《历史的教训》中，以超乎常人的智慧预言家般地说分析道，“由于每个人的能力都不一样，这些能力多数都是掌握在少数人的手中。财富的集中，是这种能力集中的自然结果。这种情况在历史上经常有规律地重演……我们的结论是：财富集中是自然和不可避免的”。对于威尔杜兰特的这一论段，相信绝大多数人都不得不承认。因为这是历史给出的实据。问题不在于财富的集中，而在于财富是如何集中的，或者，更进一步说，财富是如何被创造出来的？是谁怎么创造的？又集中在什么样的人手里？这是一个敏感而宏大的议题。在这篇小小的并购笔记里，我不想太展开。在这里，我只想引用祁斌先生的观点，来作一个简短的收尾。7年前，时任中国证监会研究中心主任的祁斌在北京大学光华管理学院做了一场讲座。根据讲座整理而成的长达2万多字的文稿，收录在《未来十年——中国经济的转型与突破》一书中。在这场讲座中，祁斌极其深刻、富有洞见地分析了当时的国际形势及中国未来的发展之路。其中有一段话，很短，但在我看来却是整个讲座的最为精华的内容，我摘录如下：美国鼓励创新的还是依靠一套机制，尤其是科技和资本对接的机制。有了这套机制，没有乔布斯，也会有李布斯。美国在过去的三十年，事实上出现了大大小小成千上万的乔布斯和比尔盖茨，他们的故事千差万别，但本质是一样的。这段话，深刻地回答了美国经济雄霸全球、科技长期领先的根本秘密所在，也指出了中国未来十年的努力方向，那就是：科技与资本的对接。换句话说，就是充分地利用资本市场的风险机制和引领机制，更大限度地帮助创业者发挥他们的创新能力，通过天使投资、风险资本、私募基金、二级市场及并购重组这一完整的资本市场链条，给予胜出者最高的财富回报，从而实现企业家、资本、政府及全社会的多方共赢，进而推动社会的向前发展。道理其实不必多说。在资本市场上，财富本身就是最大的激励因素，关于这一点，马克思已经有了极其经典的论述。而正如威尔杜兰特所说的，个人能力是财富的天然基础。所以，归结到底：资本市场，绝不能让能干的人受委屈。这是资本市场基本职能所在，这也是本次重组新规背后的底层逻辑。主要参考资料：1、张玉洁、宋维东：从“一滴油”到“一匹布”，恒力集团全产业链运营，中国证券报，10月18日，A5版。2、昝秀丽：重组新规落地：创业板“破冰”，配套融资开闸，中国证券报，2019年10月19日3、王雪青：重组新规为优质资产注入松绑，创业板允许借壳，上海证券报，2019年10月19日4、程丹：重组新规第四次大修落地，创业板逢甘霖；证券时报，2019年10月19日浙江省并购联合会是由浙江省政府推动组建的全国首个省级并购重组专业服务平台，主管单位为浙江省地方金融监管局。联合会以“推广并购理念，传播并购资讯，开展并购研究，促进并购交易，培养并购人才”为宗旨，致力于促进浙江企业全球化进程和浙江经济高质量发展。白沙泉并购<span class=""showStock"" id=""stock_sz000402"">金融街</span><span id=""quote_sz000402""></span>区是浙江省首个以并购金融为主题的特色街区。街区集聚了上市公司、金融机构、知名PE、研究机构及投行、律所、会所等专业服务机构，打造国内最具影响力的并购资本、需求、项目、服务和人才五大中心，致力于构建并购金融全要素生态圈，成为全球并购价值链的浙江高地，为企业并购重组及转型升级提供最优质服务。（来源：浙江省并购联合会的财富号 2019-10-24 11:50） [点击查看原文]<span id=""show_stock_str"" ></span>",并购笔记并购
7,10月22日 ,内蒙古股友,"14:58 【国内首张民企航油市场准入证花落<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>】在10月22日举行的<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>全资子公司恒力炼化3号喷气燃料适航专题研讨会上，中国民航局向恒力炼化颁发了《技术标准规定项目批准书》（CTSOA）和《民用航空油料检测单位批准函》，正式批准恒力炼化生产的3号喷气燃料通过适航审定，并可投入商业使用。这标志着<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>取得首张民企航油市场准入证，成为国内第一家具备航空油料生产、出厂资质的民营炼化企业。（中证网）<span id=""show_stock_str"" ></span>",国内首张民企航油市场准入证花落恒力石化
8,10月22日 ,浙江股友,"【国内首张民企航油市场准入证花落<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>】在10月22日举行的<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>全资子公司恒力炼化3号喷气燃料适航专题研讨会上，中国民航局向恒力炼化颁发了《技术标准规定项目批准书》（CTSOA）和《民用航空油料检测单位批准函》，正式批准恒力炼化生产的3号喷气燃料通过适航审定，并可投入商业使用。这标志着<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>取得首张民企航油市场准入证，成为国内第一家具备航空油料生产、出厂资质的民营炼化企业。（中证网）<span id=""show_stock_str"" ></span>",国内首张民企航油市场准入证花落恒力石化
9,10月21日 ,上海股友,"今年5月，随着民营企业<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>位于辽宁大连长兴岛的一期2000万吨/年炼化一体化项目宣布全面投产，以及浙江石化位于浙江舟山的4000万吨/年炼化一体化项目(一期) 第一批装置投入运行，我国民营炼化项目正式跃入“千万吨级”时代，全国炼化行业也迎来了新一轮大型炼化项目集中投产期。据了解，除<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>、浙江石化之外，其他民营企业，如盛虹石化（江苏<span class=""showStock"" id=""stock_sh601008"">连云港</span><span id=""quote_sh601008""></span>）、旭阳石化（唐山曹妃甸）、裕龙炼化（山东烟台）等多个千万吨级以上大型炼化一体化项目也将于2022年之前相继投产。同期的国企、外资也是大动作连连——目前位于广东惠州、浙江宁波、福建古雷、上海曹泾等石化产业基地多个国企、外资主导或参与的千万吨级以上大型炼化项目正在改扩建、新建或酝酿之中。民企入局大炼化，不仅改变了市场格局，也从一定程度上折射出行业未来发展的大趋势和新方向。（文丨本报记者<span id=""show_stock_str"" ></span>",民企入局“千万吨级”大炼化带来了什么？
11,09月24日 ,吉林股友,"昨日北上资金净卖出15.31亿 (昨日之前一个交易日净买入148.62亿)，其中沪股通净卖出22.11亿，深股通净买入6.80亿。行业层面昨日综合行业北上资金持股比例增加最多，个股层面<span class=""showStock"" id=""stock_sz000001"">平安银行</span><span id=""quote_sz000001""></span>北上资金净买入金额最多。全市场北上资金持股比例有所下降<br>昨日北上资金净卖出15.31亿 (昨日之前一个交易日净买入148.62亿)， 北上资金持股比例（北上资金持股市值 / 沪深港通标的A股流通市值）减少0.005%至3.119%。分板块来看，主板持股比例减少0.004%至3.161%, 中小板持股比例减少0.005%至2.817%, 创业板持股比例减少0.017%至3.229%。综合行业最受青睐, 轻工制造行业减持最多<br>从行业角度来看, 综合、通信、计算机行业北上资金持股比例增加最多, 轻工制造、机械设备、有色金属行业北上资金持股比例减少最多。昨日计算机、农林牧渔、家用电器、传媒行业北上资金持股比例创近一年新高，它们近一年持股比例走势如下：从金额角度来看, 昨日计算机、化工、通信行业净买入金额最大, 食品饮料、非银金融、医药生物行业净卖出金额最大。<span class=""showStock"" id=""stock_sz000001"">平安银行</span><span id=""quote_sz000001""></span>最受青睐, <span class=""showStock"" id=""stock_sh600519"">贵州茅台</span><span id=""quote_sh600519""></span>减持最多<br>从金额角度来看, 昨日<span class=""showStock"" id=""stock_sz000001"">平安银行</span><span id=""quote_sz000001""></span>、<span class=""showStock"" id=""stock_sz000858"">五粮液</span><span id=""quote_sz000858""></span>、<span class=""showStock"" id=""stock_sh600346"">恒力石化</span><span id=""quote_sh600346""></span>净买入金额最大, <span class=""showStock"" id=""stock_sh600519"">贵州茅台</span><span id=""quote_sh600519""></span>、<span class=""showStock"" id=""stock_sh601318"">中国平安</span><span id=""quote_sh601318""></span>、<span class=""showStock"" id=""stock_sh600887"">伊利股份</span><span id=""quote_sh600887""></span>净卖出金额最大。（来源：萝卜投研的财富号 2019-09-24 11:03） [点击查看原文]<span id=""show_stock_str"" ></span>",9.24 北上资金昨日净卖出15.31亿 增持平安银行减持贵
12,09月22日 ,安徽股友,中国纺织品进出口商会的数据显示，去年中国对美纺织服装出口额约103亿美元，占中国对美国纺织服装及原料出口额的16%左右，涉及出口企业1.7万家左右。美国全国对外贸易理事会主席耶克萨（Rufus Yerxa）曾表示，美国不再具备生产服装、纺织品等相关产品的基础设施。对于美国纺织品行业来说，此次对中国纺织品的部分“解禁”至少缓解了燃眉之急。,中国纺织品进出口商会的数据显示
