,time,author,comment,header
0,12月13日 ,<a href='/u/2721561192' title='手机用户2721561192'>手机用户27215611</a>,都是机构在操作。,都是机构在操作
1,12月12日 ,<a href='/u/2360356314' title='Xveeee'>Xveeee</a>,基金经理们用基民的钱炒，盈利了分成，亏损了只收取佣金,基金经理们用基民的钱炒，盈利了分成
2,12月13日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,茅台一涨就是科技股的噩梦,茅台一涨就是科技股的噩梦
3,12月13日 ,<a href='/u/5638975376' title='用户5638975376'>用户5638975376</a>,今日茅台应该以一个跌停盘来扇特朗普一嘴巴,今日茅台应该以一个跌停盘来扇特朗普一嘴巴
4,12月13日 ,<a href='/u/6568818760' title='用户6568818760'>用户6568818760</a>,酒巿高开保住业绩！,酒巿高开保住业绩！
5,12月12日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,1000以上的必然成为长期套牢盘，奉劝一句趁早离开，否则踩踏起来后果不堪设想,1000以上的必然成为长期套牢盘
6,12月12日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,任何股都可以涨，就白酒不能涨，一个在结构性熊市中靠恶意抱团上涨的股票。每次只要这货一拉中阳，就是赚钱效应的结束,任何股都可以涨，就白酒不能涨
7,12月12日 ,<a href='/u/2360356314' title='Xveeee'>Xveeee</a>,主力在三年前200～300左右吸筹完成，边拉升边洗盘，400左右开始启动上涨，2018年冲到800多，前一段时间到1200元，由于主力成本大概在200～300元，800以上卖掉的50%，成本就变成0了，然后股价在700，只要有人买，随便卖都是盈利，如果没有人买，那就继续往下打，而800以上买入的呢？是割肉？还是等待？割肉，主力再接收，相当于800卖掉的，700接回来，又做了一次高抛低吸，如此反复。假如没有买卖呢？那么主力以200元的成本一直持股（其实由于已经卖掉了一半儿，持股成本会远远低于200），每年的分红是10～12块，相当于每年固定收益5～6%，而对于800元以上接盘的呢？如果不考虑股价的涨跌，相当于年收益率不足1.5%…,主力在三年前200～300左右吸筹完成
8,12月12日 ,<a href='/u/7344727063' title='股神八飞'>股神八飞</a>,最后出来的机构肯定连衣服都不会穿！最后出来的散户可能得去跳楼了,最后出来的机构肯定连衣服都不会穿！最后出
9,12月11日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,一个严重腐败的企业，被爆炒得这么高，这批机构不知道是无知呢？还是利益输送。,一个严重腐败的企业，被爆炒得这么高
10,12月12日 ,<a href='/u/2721561192' title='手机用户2721561192'>手机用户27215611</a>,开始跌了，800～900元。,开始跌了，800～900元
11,12月12日 ,<a href='/u/7352848148' title='用户7352848148'>用户7352848148</a>,机构，你这样玩能赚到钱？？,机构
12,12月12日 ,<a href='/u/7309872820' title='用户7309872820'>用户7309872820</a>,我真奇怪你们是怎么想的？人家一个企业做大做强肯定有他们的理由。你是不是觉得，就你是聪明人，就人家是傻子，就你知道人家腐败，人家知道了不会处理？？？真是吃不到葡萄说葡萄酸的人，继续用你们的手机打字来打倒茅台吧，挺牛的你们！,我真奇怪你们是怎么想的？人家一个企业做大
13,12月12日 ,<a href='/u/5638975376' title='用户5638975376'>用户5638975376</a>,品酒大会输给金门高粱，茅台股价超过50都是高估,品酒大会输给金门高粱
