,time,author,comment,header
0,12月10日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,"<span class=""showStock"" id=""stock_sh601899"">紫金矿业</span><span id=""quote_sh601899""></span>大涨，<span class=""showStock"" id=""stock_sh600547"">山东黄金</span><span id=""quote_sh600547""></span>还在跌，自己的股票跌，却在救资金！<span id=""show_stock_str"" ></span>",紫金矿业大涨，山东黄金还在跌
1,12月04日 ,<a href='/u/1785398087' title='斑纹岩'>斑纹岩</a>,均线纠缠时间比较短，比前一次启动前短。前次纠缠了起码一个月，然后借着分红派息，走了一小半填权。这次是下跌之后，均线走平，量也萎缩。观望，先看看今明两天的量能。期金能否持续，还不好判断。确认突破上行在追也不晚，反而更安全。供参考。,均线纠缠时间比较短，比前一次启动前短
2,11月27日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"黄金暂时不要买，期货持仓没有几个玩了<span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-11"">[卖出]</span><span class=""face-img face-11"">[卖出]</span><span class=""face-img face-11"">[卖出]</span><span class=""face-img face-9"">[减仓]</span><span class=""face-img face-9"">[减仓]</span><span class=""face-img face-9"">[减仓]</span>[下跌][下跌][下跌]",黄金暂时不要买
3,11月26日 ,<a href='/u/1785398087' title='斑纹岩'>斑纹岩</a>,均线汇聚在一起了，不知道期金配不配合。感觉美股类似牛市末尾，无视风险叠创新。至于谈判，个人认为难有所谓双赢结果。中美都面临经济转折点，谁也不会为对方接包袱，想接也不敢，因为代价实在太大。所以，经济争端必然外溢其他领域，世界太平不了。如果这个判断大体不差，黄金会有表现。,均线汇聚在一起了，不知道期金配不配合
4,11月21日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"机构 诱多<span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span>",机构 诱多[嘻嘻][嘻嘻][嘻嘻]
5,11月18日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,自己的股票都危危可及啦，还投资别的黄金股！,自己的股票都危危可及啦
6,11月18日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,救别人不如救自己！,救别人不如救自己！
7,11月18日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,为什么不回购自己的股票？,为什么不回购自己的股票？
8,11月15日 ,<a href='/u/1785398087' title='斑纹岩'>斑纹岩</a>,走势比较奇怪。期金的波动并不大，100美元的波幅，对应1500美元左右的价格，百分之六左右，但股价跌了30%。反应过度了。看来小股东减持可能坐实了。剩下的就看大形势了。,走势比较奇怪
9,11月15日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,"紫金涨停，<span class=""showStock"" id=""stock_sh600547"">山东黄金</span><span id=""quote_sh600547""></span>大跌！<span id=""show_stock_str"" ></span>",紫金涨停
10,11月14日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,自己股价不断下跌，还在救别人。,自己股价不断下跌，还在救别人
11,11月13日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"明天升出局，出逃<span class=""face-img face-11"">[卖出]</span><span class=""face-img face-11"">[卖出]</span><span class=""face-img face-11"">[卖出]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span>",明天升出局
12,11月13日 ,<a href='/u/5313492655' title='对岸守望'>对岸守望</a>,可以入了，话放到这,可以入了
13,11月12日 ,<a href='/u/7287916602' title='刘福生976'>刘福生976</a>,连续下台阶。,连续下台阶
15,11月08日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,"<span class=""showStock"" id=""stock_sh600547"">山东黄金</span><span id=""quote_sh600547""></span>不领涨，但领跌。<span id=""show_stock_str"" ></span>",山东黄金不领涨，但领跌
16,11月08日 ,<a href='/u/6384005228' title='用户6384005228'>用户6384005228</a>,"<span class=""showStock"" id=""stock_sh600547"">山东黄金</span><span id=""quote_sh600547""></span>好阔怕<span id=""show_stock_str"" ></span>",山东黄金好阔怕
17,11月08日 ,<a href='/u/7287916602' title='刘福生976'>刘福生976</a>,直落九天。,直落九天
18,11月08日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,"勇敢的懦夫！<span class=""showStock"" id=""stock_sh600547"">山东黄金</span><span id=""quote_sh600547""></span><span id=""show_stock_str"" ></span>",勇敢的懦夫！山东黄金
19,11月08日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,一泻千里,一泻千里
20,11月08日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,"<span class=""showStock"" id=""stock_sh600547"">山东黄金</span><span id=""quote_sh600547""></span>厉害，又大跌啦！<span id=""show_stock_str"" ></span>",山东黄金厉害
21,11月08日 ,<a href='/u/1020157321' title='WXSCBLY'>WXSCBLY</a>,"今天<span class=""showStock"" id=""stock_sh600547"">山东黄金</span><span id=""quote_sh600547""></span>又要大跌啦！看来。<span id=""show_stock_str"" ></span>",今天山东黄金又要大跌啦！看来
