,time,author,comment,header
1,11月24日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"小心机构，往上派货，出局<span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span>",小心机构，往上派货
3,11月07日 ,山西股友,集中大涨！700元混凝土、300元砂石、600元水泥来了！据媒体报道，如今，看上去不起眼的砂石，价格一路涨了起来：在湖北黄冈，河砂价格从2018年1月的每吨68元上涨到今年7月的165元，上涨幅度高达143%；在广东，当地价格监测部门提供的数据显示，今年8月，该省河砂购进价已涨到了一立方米216元。据广东省价格监测中心提供的数据，广东省河砂价格已连续3个月上涨。8月，广东全省河砂平均购进价为每立方米216元，环比上升1.44%。今年1月以来，广东省河砂平均购进价就一直在200元/立方米的高位上徘徊。据市场反馈，自10月以来，广东多地混凝土主要原材料水泥、砂石经历了一次快速上涨，并且主要原材料出现供应紧缺现象，导致原材料成本大幅上涨，各搅拌站表示混凝土生产成本急剧增加，压力无法承担。受此影响，江门地区商混企业已累计通知上调混凝土价格40-50元/方左右，涨后目前C30含税非泵送价格在540-560元/方左右。,集中大涨！700元混凝土、300元砂石、600元水泥来了！据
4,11月06日 ,广东股友,巴菲特说过，人们对行业的期待没有任何价值，无论是什么产业，评估的标准都应该是统一的，所有的资产都应当被同样的估价。无论什么产业，最终都只有通过把销售转化为盈利以及盈利增长率来判断。所有企业的内在价值都应该取决于企业未来预期收益的折现值，而不应该根据人们对行业的期待来高估，或者低估企业的价值。卖酒的市盈率能够到30倍，40倍甚至更高，而水泥普遍只有6倍7倍，不到10倍的市盈率呢？难道水泥赚的是人民币，白酒赚的是美金吗？,巴菲特说过，人们对行业的期待没有任何价值，无论是什么产
5,11月05日 ,云南股友,"水泥作为非金属建材大宗商品之一，价格涨跌具有很强的周期性。自2015年底水泥的价格跌到谷底之后逐渐回升，一直到2018年末水泥价格触碰到历史高点之后小幅回调，2019年至今水泥价格维持于历史高位水平，水泥价格从每吨200多元，上涨到现在每吨450元左右，局部地区一度达到近十年来的历史最高价格每吨495元。据了解，市场处于传统旺季，随着各地大小项目开工，水泥需求销量明显向好，近期多地水泥价格开始全面上调。此外，错峰停产仅是本轮水泥价格上涨的原因之一，交通基建带来的高位水泥需求才是最主要的原因。9月中下旬以来，地方稳投资的力度加大，多地纷纷将着力点放在交通项目建设方面。据<span class=""showStock"" id=""stock_sh601377"">兴业证券</span><span id=""quote_sh601377""></span>数据，9月14日至9月20日，国家发展改革委基建项目申报20154.82亿元，环比上涨126.23%。据信达证券发布<span class=""showStock"" id=""stock_sh600801"">华新水泥</span><span id=""quote_sh600801""></span>的研报显示，下游需求具备支撑，水泥价格仍将维持高位。2019年我国房地产调控力度有所放松，房地产投资韧性十足，同时在国家基建补短板政策的指引下，基建投资增速有望逐步企稳回升，整体来看水泥下游需求具备较强支撑。而在供给端，企业协同力度在加强，环保限产大方向并未发生改变，产量难以大幅增长。综上判断，行业格局仍将偏紧，水泥价格将继续在高位运行。事实上，行业分析人士告诉财联社记者，水泥价格不排除进一步上涨可能。今年5月，我国P.O42.5散装水泥均价为66美元/吨，而国外大部分水泥产销大国水泥价格均较高，普遍在80美元/吨以上。从煤炭成本、环保成本以及人工成本多方面考虑衡量，水泥价格在未来一段时间的旺季还将在高位区间内震荡前行。<span id=""show_stock_str"" ></span>",水泥作为非金属建材大宗商品之一，价格涨跌具有很强的周期
6,11月04日 ,安徽股友,"<span class=""showStock"" id=""stock_sh600585"">海螺水泥</span><span id=""quote_sh600585""></span>，好股！为什么<span class=""showStock"" id=""stock_sh600585"">海螺水泥</span><span id=""quote_sh600585""></span>业绩比同行业其他公司好很多？因为公司实行了“T”型战略，沿着长江建立大型熟料生产基地，然后大规模收购沿海水泥厂，一横一竖就是“T型”。熟料沿着长江运到沿海发达地区，研磨成水泥。要知道，水泥死沉，长江水运便宜又实惠，而东部地区经济发达，水泥需求量巨大。所以说，<span class=""showStock"" id=""stock_sh600585"">海螺水泥</span><span id=""quote_sh600585""></span>成功原因之一，位置好！<span id=""show_stock_str"" ></span>",海螺水泥
7,11月04日 ,浙江股友,"从自动化到智能化 中国水泥走在前列　　智能化作为第四次工业革命的动力，越来越受到传统工业行业重视。作为重要基础性建筑材料之一的水泥行业更在追赶智能化的路上，不断尝试，努力将前沿技术与实际生产相结合，走在了各行业前列。和传统水泥强国相比，虽然起步晚，但是对于新技术的追求意愿更加强烈，特别是国内两大水泥集团。中国建材和<span class=""showStock"" id=""stock_sh600585"">海螺水泥</span><span id=""quote_sh600585""></span>先后在山东泰安和安徽全椒建成了泰安中联和全椒<span class=""showStock"" id=""stock_sh600585"">海螺水泥</span><span id=""quote_sh600585""></span>智能工厂。<span id=""show_stock_str"" ></span>",从自动化到智能化 中国水泥走在世界前列
8,11月04日 ,云南股友,作为逆周期调控的举措，专项债开始提速扩容，地方重大项目精准投资已接踵启动。《财经》记者从多个渠道了解，截至10月底，2019年新增地方政府债务发行规模已经完成30800亿元(其中，专项债务21500亿元、一般债务9300亿元)的全年计划额度，并已全部拨付具体项目，2020年部分新增专项债或将在今年第四季度提前下发。未来几年将是水泥行业的强周期！,作为逆周期调控的举措，专项债开始提速扩容
10,11月04日 ,山东股友,"水泥板块的80%的股票创近期新高，<span class=""showStock"" id=""stock_sh600802"">福建水泥</span><span id=""quote_sh600802""></span>受市场资金关注少？股价低的有诱惑感，但大资金不关注，也只能被市场冷落，这和公司证券市场监管人有关，不会利用市场增加资本价值？水平太差，包括老总在内不懂得股票市值对产业发展的影响！只抱着自己小九九迟早被市场淘汰！<span id=""show_stock_str"" ></span>",海螺可以收购福建水泥！
11,11月03日 ,湖南股友,"十多年前，6个身怀梦想的年轻人用大学基金办公室提供的1亿多元成立了高瓴资本，他们坚持价值投资理念，在张磊的带领下，目前资产2000多亿，成为亚洲最大的私募股权管理基金之一，张磊个人资产也有220亿，投资理念，弱水三千，但取一瓢，十几年买的股票就那么十只左右，<span class=""showStock"" id=""stock_sh600009"">上海机场</span><span id=""quote_sh600009""></span>，<span class=""showStock"" id=""stock_sh600007"">中国国贸</span><span id=""quote_sh600007""></span>，<span class=""showStock"" id=""stock_sz000401"">冀东水泥</span><span id=""quote_sz000401""></span>，洋河，美的，格力，泰格，<span class=""showStock"" id=""stock_sz300015"">爱尔眼科</span><span id=""quote_sz300015""></span>，海螺等。<span id=""show_stock_str"" ></span>",价值投资的典范高瓴资本
12,11月02日 ,云南股友,"柬埔寨马德望海螺、印尼北苏海螺等 2 条熟料生 产线及 4 台水泥磨相继建成投产，老挝琅勃拉邦海螺项目建设进入设备安装阶段，缅甸 曼德勒海螺项目已开工建设，老挝万象海螺、乌兹别克斯坦卡尔希海螺等项目前期工作有序推进。跟着一带一路的脚步越来越快，越来越远，<span class=""showStock"" id=""stock_sh600585"">海螺水泥</span><span id=""quote_sh600585""></span>的未来发展潜力巨大！<span id=""show_stock_str"" ></span>",柬埔寨马德望海螺、印尼北苏海螺等2条熟料生产线及4台水泥
13,11月02日 ,云南股友,"如果说水泥行业股票是周期股，那么未来二、三年水泥行业处于强周期之中。目前水泥股的估值就不应该是低估而应该是溢价！<span class=""showStock"" id=""stock_sh600585"">海螺水泥</span><span id=""quote_sh600585""></span>自上市以来业绩效益十分稳定，在A股几千只上市股票中，其经营管理的稳定性可以说数一数二，已经是一只穿越时间周期的周期股。<span id=""show_stock_str"" ></span>",如果说水泥行业股票是周期股
14,11月01日 ,湖北股友,"近日，<span class=""showStock"" id=""stock_sh601857"">中国石油</span><span id=""quote_sh601857""></span>长庆油田公司对外宣布，甘肃陇东发现10亿吨级庆城大油田并通过了国家自然资源部终审，新增探明储量3.58亿吨，预测储量6.93亿吨，形成了10亿吨级储量规模，并已在甘肃庆阳革命老区建成百万吨原油生产能力，未来3到4年里将建成具备300万吨的产油能力，目前该油田固井用油井水泥为<span class=""showStock"" id=""stock_sz000672"">上峰水泥</span><span id=""quote_sz000672""></span>宁夏基地供应。　　<span class=""showStock"" id=""stock_sz000672"">上峰水泥</span><span id=""quote_sz000672""></span>宁夏基地明峰萌成建材公司地处陕西、甘肃、宁夏、内蒙古四省区交界处，该区域拥有丰富的石油资源，固井用特种油井水泥用量较大，公司依托多年的专业经验和先进的生产工艺，开发了油井特种水泥，成为该基地的拳头产品之一。多年来，公司宁夏基地的油井水泥供应周边各油田建设项目区域，产品品质优良，顺利通过石油专业监督检验机构的审定，被<span class=""showStock"" id=""stock_sh601857"">中国石油</span><span id=""quote_sh601857""></span>公司指定为油田建设专用水泥，与长庆油田、川庆钻探、华北油田、延长油田、中原油田等广泛开展长期合作，具有丰富的售后服务经验。公司油井水泥在油井开发使用过程中稠化时间、强度、密度等指标均优于相关技术指标，深受各大石油施工单位的好评。　　<span class=""showStock"" id=""stock_sz000672"">上峰水泥</span><span id=""quote_sz000672""></span>宁夏基地处于“丝绸之路经济带”的重要经济发展区域，市场布局处于有利的位置，对公司在“一带一路”新布局具有重要的战略意义。未来，公司将积极开展与庆城油田项目的合作，提供优质的产品和服务，近期该基地还开工建设了上峰宁夏环保项目利用公司水泥窑生产线协同处置危废及危废填埋，年处理油井污泥、含油污泥、煤焦油残渣等40余类别的危固废共17万吨，填埋各类危废总量达109万方，计划明年8月投运，项目是目前宁夏地区唯一水泥窑协同处置项目，可大幅提升该地区的危废处置能力，使工厂化身为真正的环保企业。（文章来源：证券时报网）　[点击查看原文]<span id=""show_stock_str"" ></span>",上峰水泥助力庆城10亿吨级油田开发
