,time,author,comment,header
26,11月07日 ,湖北股友,四维骗子有家教．有修养．有脑子敢于用其发明创造-除权-来行骗；为其勇气点赞．喝彩-四维骗子就是有勇气．有家教．有神经，敢于做没有人敢做的事．敢说的事？发明创造出有自主知识产权的除权新方法？这除权的特点：一．这除权没有时间限止，多年间可以分另除权二．这除除权的交易，可以随意多年累计；可以利用除权除死你？敢给我除权吧？,四维骗子有家教有修养有脑子
28,11月06日 ,湖北股友,长电眼价涨，缺成交量；再持股．增持，就只能在长电等死，没出路的？长电二阶段下跌的期待有可能，就很有大大希望？-长电股价涨一点点，就非常缺乏成交量，此时再持股，再增持长电，就是飞蛾扑火，自寻死路；长电分三阶段下跌，第二阶段下跌到倍就有可能：一．第一阶段：下跌10％；已经到倍二．第二阶段：下跌到16.70元，已经到过＝17.28元，下跌幅度＝12％，跌到＝16.70元,长电眼价涨，缺成交量；再持股增持，就只能在长电等死
29,11月06日 ,湖北股友,"四维骗子快出来，用除权来行骗来报仇，此时此刻此情此景i比较容易行骗成功的；-四维骗子的这个除权，方法独特．有所创新；就是效果太好．使用地方，时间没要求？一．这个除权，我会相信二．这个除权，四维骗子会相信；三．这个除权，其它会有相信的？-四维骗子的这个""""除权""""，非常简单．非常好用．随时随地好用；没有什么条件限止；不仅可以对当年某个时间除权，就是一年后．若干年后，均可以进行除权累积，这个除权，最大特点，就是可以""""除死你""""为目的？所以这除权效果．可以常年累积；-四维骗子的这个除权效果是相当好的；把多年前股价＝11元多股价，累积除权到＝8元多；这个除权，没有时间．没有价格上的任何要求，想除就能除的；",四维骗子快出来，用除权行骗来报仇
30,11月06日 ,湖北股友,"长电业绩差，又没增长，涨什么股价；看上行业绩．业绩增长，就是会涨股价？-三年来，长电这垃圾凭借""""高分红""""骗术涨股价：长电100股三年来分红．业绩．转股；一．分红：所谓高分红＝0.728 0.68 0.68二．业绩：0.81元三．三年来，没有股本扩张-上行100股三年来分红业绩．转股一．三年来股本扩张＝136％二．业绩＝1.15元，这是股本扩张136％条件下，取得的；三．业绩在股本扩张＝136％，也能增长＝14％以上　四.上行第三年现金分红＝0.81元，超过长电0.68元/",长电业绩差，又没增长，涨什么股价；看上行业绩．业绩增长
32,11月05日 ,湖北股友,"长电傻瓜们，银行股不能买，银行股有大量不良资产，随时能暴发？让我买！-股高银行股34家，除去五大行；其中，业绩增长率在二位数增长的有＝20家；以本人没有持股的上海行为例：上海行：一．三年分红股本扩张＝136％二．去年中报，业绩增长＝22％；今年一-三季度业绩＝1.15元三．前三季度精练绩增长率＝14％长电：一．三年股本没有能力．资格扩张二．业绩：0.81元大大低于，上行＝1.15元三．长电没有业绩增长能力四．长电拥有""""高分红""""能力，长电傻瓜的最受动，只有长电有复利/",长电傻瓜们，银行股不能买，银行股有大量不良资产
33,11月05日 ,湖北股友,银行股有业绩，有增长．有转股，分红前股价前，从市净率考虑，股价有涨价-股市34家银行，业绩增长在二倍数以上的，队五大国有行，有20家银行主要与长电的差蝇是有：转股能力；一；南股长电没有能力二．转股长电没有资格-长电的死穴：业绩没有成长，就是没有未来，长电不可能有未来？,银行股有业绩，有增长．有转股，分红前股价前，从市净率考
34,11月05日 ,湖北股友,银行股最佳持股已过，当下，银行股价格，对于未来盈利．到分红前，不失好机会？--从银行股市净率考虑，对于业绩．业绩增长来分析；至少在分红前，银行股股价会普遍上涨股价无疑；因为银行股股价有业绩．的业绩增长．有转股能力．与资格的支撑，一点主是机会？,银行股最佳持股已过，当下银行股价格
36,11月04日 ,青海股友,孙正义！其实就是靠马云活着！今天，软银突然宣布，支付宝回归阿里后，阿里收到692亿利润。而阿里180亿，将计入软银第二季度利润。也就是说，一个季度，孙正义就从马云身上赚走上百亿。其实，如今的孙正义也只有靠马云活下去了。过去几年，孙正义接连失败，非常难受。他的另一张王牌WeWork，一年时间暴跌83%，2000亿蒸发。现在的软银，已不比昔日的软银，如果不是马云，孙正义可能早就岌岌可危。不过，也不得不佩服，当年孙正义的眼光，看中了被别人觉得是疯子的马云。不过，关于支付宝利润给阿里再给软银的问题，马云真的尽力了，不然一大半都要交给孙正义！其实大家总是觉得支付宝，腾讯都是外国人拿大头，但是你们有没有想过，正是因为这样，国际上才会信服阿里，腾讯，才会买他的股票，才会有更高的市值，如果全是中国人投资，也不见得有这么高的市值，这么说吧，一个乞丐突然得到比尔盖茨的资助，那么这个人就有钱了，大财团公司的子女都会有人嫁给他。,孙正义！其实就是靠马云活着！今天，软银突然宣布
38,11月02日 ,海南股友,长电三季度股东人数增加11000多人原因探析：谁在卖出？1.中石油集团，最近几年业绩不佳，原持有2亿股，可能大部分已退出甚至清仓。2.一小部分中长线大户将部分长电换EB可交换债配置，完善组合。3.科创板创立，打新需求大涨，部分中户分设帐户，将长电分仓。,长电三季度股东人数增加11000多人原因探析：谁在卖出？1.
39,11月02日 ,黑龙江股友,"安国数字中药都有限公司董事长闫希军谈到：　　现代中药，要有“顶天立地”的大作为。　　顶天：全力推动中药现代化、国际化，使现代中药成为世界大药；与化学药、生物药三足鼎力，成为人类共享医药。　　立地：推动中药材产业链重构，打造中药材上游种植、中间市场商贸和终端数字化共享共赢生态系统，将中药材产业带入国际化智能驱动变革时代。　　打造两大核心平台的运营模式：即全国数字农事资源集约平台和安国数字中药都聚商交易平台。以“三网合一”联动各服务系统，为政府监管用药安全、整治行业市场秩序，提供技术支持，为执法监管提供抓手。打破产业界限、区域界限，贯通产业链瓶颈，重组产业资源，重塑产业生态，担当区域结构和产业结构优化的新引擎。打造中国数字本草的价格指数、质量标准、信息指南，重塑安国“天下第一药市”的行业风向标地位。　　安国数字中药都始终秉承<span class=""showStock"" id=""stock_sh600535"">天士力</span><span id=""quote_sh600535""></span>大健康理念，致力于建设公共服务平台，把控好中药质量，推动产业升级，缔造我国中药材产业世界品牌。<span id=""show_stock_str"" ></span>",现代中药
