,time,author,comment,header
0,12月12日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"价格吸引，持续加仓，<span class=""face-img face-12"">[看多]</span><span class=""face-img face-12"">[看多]</span><span class=""face-img face-12"">[看多]</span><span class=""face-img face-8"">[加仓]</span><span class=""face-img face-8"">[加仓]</span><span class=""face-img face-8"">[加仓]</span>",价格吸引，持续加仓
4,12月09日 ,<a href='/u/6329529967' title='繁星似月6120'>繁星似月6120</a>,今天加仓了,今天加仓了
6,12月06日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"天气冷转了，煤炭供求发生改变，分批买买买，跌破净资产公司[上涨][上涨][上涨][上涨]<span class=""face-img face-8"">[加仓]</span><span class=""face-img face-8"">[加仓]</span><span class=""face-img face-8"">[加仓]</span><span class=""face-img face-12"">[看多]</span><span class=""face-img face-12"">[看多]</span><span class=""face-img face-12"">[看多]</span>股价吸引，龙头煤炭公司，中长期关注，持续<span class=""face-img face-8"">[加仓]</span><span class=""face-img face-8"">[加仓]</span><span class=""face-img face-8"">[加仓]</span>，压股价买买买。",天气冷转了，煤炭供求发生改变
28,11月07日 ,<a href='/u/7166192911' title='用户7166192911'>用户7166192911</a>,神华坑死人！,神华坑死人！
30,11月06日 ,福建股友,动煤指数破位后走弱，反弹后5日线都没站上去，目前来看依然很不乐观。大趋势依然是向下，待反弹结束随时会继续探底。整个煤炭行业个股都逃不掉煤价下跌带来的负面影响，一切基本面数据都将随着价格的回落，时间的推移而逐步走坏，不要轻信那些掩耳盗铃的托们疯狂唱多，例如有个叫日着梨花的，他们只会乐此不疲的用老掉牙的好数据，一遍一遍不厌其烦的唱多，目的就是引诱散户为大股东减持接盘，近期蓝筹新高，此股放量滞涨足以说明此事。,动煤指数破位后走弱，反弹后5日线都没站上去
31,11月06日 ,山西股友,"最近神华走势颇怪！说它怪是因为最近在放量。而放量的过程中，是连续的小单下砸，而下砸过程中接单补的也很多，所以造成了放量。我们知道，3季报出台后公布的股东人数是又创了历史新低的，也就是说平均帐户的持股量是又创新高的。在这种情况下，出现连续小单带量下砸的原因何在呢,？其实，以神华目前18元左右的价位，主力是不怎么赚钱的，当然也没亏钱，在目前价位若大量出货(小单也可以出货)的可能性似乎也并不大，除非神华基本面变坏！神华目前公布的情况是，净利前3季增涨，而扣非前同比也仅微跌，比龙人预计的好很多。而其差的是产销双降，而是第四季产销恐也不太乐观！但由于前3季净利已是增涨，今年净利也是是比龙人先前预计的好很多了！而明年，神华煤产销量或高于今年，唯煤价或处于近两叁年低位，由此判断神华明年净利或也和今年差不多。那为何神华现走势(K线)差很多呢？顺便说一句，神华H股这两天走势还行。",最近神华走势颇怪！说它怪是因为最近在放量
32,11月06日 ,安徽股友,上半年，从煤炭需求来看，基本保持旺盛态势，环渤海港口煤炭吞吐量保持同比增长态势。从港口煤炭价格来看，上半年，我国环渤海煤炭价格变化起伏较大；受加大对澳洲煤检验力度、限制进口煤影响，国内优质资源紧缺，市场煤价保持高位运行。下半年，煤炭市场风云突变。内产、外来双双增加，煤炭供应的增量超过了下游需求的增量，促使煤炭市场供大于求压力加大；发运港、电厂、接卸港库存偏高，煤炭价格下跌压力加大。价格低廉的进口煤大量涌入国内市场，。国内煤炭价格一路狂跌，发热量5500大卡市场动力煤平仓价从七月初的614元/吨下跌至目前的558元/吨。进入十一月份，市场没有转好迹象，港口煤价继续下跌；根据社会库存压力不断加大、需求不振等实际情况进行分析，预计煤价在十一月上中旬继续保持下跌走势。,冬天了
35,11月04日 ,福建股友,（山东日照梨花神飞 作者 影响力 吧龄 3.8年 发表于 2019-10-30 18:28:18大盘跌，神华不涨，但不会大跌，其实大有借助大盘下跌，机构在慢慢吃。。。。）此人长篇大论发帖疯狂唱多，煤价都跌的他娘都不认得了，避而不谈掩耳盗铃，安的什么心？他得意思是煤价越跌股价越抗跌，这脑残逻辑就不要出来讲话了，我10岁的孩子比他逻辑强得多。专挑好数据说话，不利因素一概不谈，什么净资产高市盈率低就肯定不会大跌，那么同业中破净的市盈率更低的怎么说？跌到4-5倍市盈率算不算大跌，未来煤价回到300-400市业绩会降多少？所以5毛拿好吧。伴随着煤价大跌，短期一旦破位杀伤力将会很大，未来煤价如果持续走弱，此股也将走远。所有周期股都逃不开价格涨跌的影响。,（山东日照梨花神飞作者影响力吧龄3.8年发表于2019-10
37,11月01日 ,福建股友,日着梨花，煤价都跌的他娘都不认得了，长篇大论避而不谈掩耳盗铃，安的什么心？山东日照梨花神飞 作者 影响力 吧龄 3.8年 发表于 2019-10-30 18:28:18大盘跌，神华不涨，但不会大跌，其实大有借助大盘下跌，机构在慢慢吃。。。。这货长篇大论发帖疯狂唱多，煤价都跌的他娘都不认得了，避而不谈掩耳盗铃，安的什么心？他得意思是煤价越跌股价越抗跌，这脑残逻辑就不要出来讲话了，我10岁的孩子比你的逻辑强得多。,日着梨花，煤价都跌的他娘都不认得了
40,10月30日 ,山西股友,仔细看了3季报，大部分指标都是降的，可是很奇怪净利反而是涨的。是去年隐藏利润？当然，今年去年也有不同，即从今年1月份起，神华部分火电被分离与国电重组公司。当然，不管怎么说，净利增涨是好事，就3季净利来说，年报也会增涨？,仔细看了3季报，大部分指标都是降的
