,time,author,comment,header
1,12月11日 ,<a href='/u/2949553483' title='大程子writer'>大程子writer</a>,遵守纪律规范内，多个帐户买入，验证中国股市的多面性,遵守纪律规范内，多个帐户买入
2,12月11日 ,<a href='/u/2949553483' title='大程子writer'>大程子writer</a>,多帐户买入，验证中国股市的多面性,多帐户买入
31,11月06日 ,吉林股友,鉴于本人亏损严重，临时决定启动减持计划。刚刚减持不多于800股，均价8.70元减持比利不高于个人所持公司股份的5%。减持所得现金用于本人本月还信用卡、花呗及双十一购物使用。因减持所造成的价格波动，本人深表遗憾！,鉴于本人亏损严重，临时决定启动减持计划
32,11月06日 ,河北股友,此价下不如快全转买回购注销龙头股601666平煤股份*属稀缺资源国企，半年业绩巨增，历史高点在60元，忽略日线、周线看月线、季线唯一十年大底的平煤股份，正能量开启每股5．89元破净资源股，百亿稀缺资源储量，无AH价差和大小非减持压力，最低估不用比不用找了，十个涨停也不多*大股东三亿资金回购注销和价值投资万亿资金目标股。有钱不如有矿道理简单。帐面上钱比市值还多。白捡一个公司。,[爱心]此价下不如快全转买回购注销龙头股601666平煤股份
36,11月04日 ,<a href='/u/1574786990' title='覆雨'>覆雨</a>,"今年航空严重迟到<span class=""face-img face-wb-2-16"">[失望]</span><span class=""face-img face-wb-2-1"">[悲伤]</span><span class=""face-img face-wb-1-9"">[泪]</span>",今年航空严重迟到[失望][悲伤][泪]
42,10月28日 ,吉林股友,说实话，比特币是什么？！只是一段有计算机程序用特定的算法生产的、没有任何价值的一段字母和数字！没有国家信用或黄金石油等硬通货做背书，凭什么就卖钱？！计算机换一种算法，就可以生成一个新的所谓山寨币，所以，包括比特币在内的所有虚拟货币都是一个骗局！但区块链技术还是非常好的，可以为电子政务、银行等部门服务，这才是区块链的价值！,区块链是个好技术
46,10月23日 ,湖南股友,新京报发布时间：10-2309:21新京报社官方帐号.新京报快讯（记者 裴剑飞）今天（10月23日）上午，北京市轨道交通运营管理公司相关负责人做客北京交通广播“治堵大家谈”节目，据介绍，大兴机场线开通即将满一个月，目前已运送旅客40万人次，日均客运量在1.4万人次到1.5万人次之间。再过几天，北京大兴国际机场、地铁大兴机场线就都将开通一个月了，除了给航空旅客带来不一样的交通体验外，也成为不少市民打卡的热门地点。据了解，目前客流量的最高峰出现在10月5日，运送旅客超过2万人次。地铁大兴机场线一期开通了草桥、大兴新城、大兴机场3座车站。从草桥站坐上地铁，不到20分钟就能直达大兴机场站，出站后再沿着指示标识步行3到5分钟，就进入了大兴机场办理登机手续的柜台区域。据介绍，大兴机场线开通运营初期，运营时间为6时至22时30分，根据航班情况，高峰时段（7时-9时，15时-19时）发车间隔8分30秒，平峰时段发车间隔10分钟。实际运营期间，将视航班夜间到港情况，适当调整并延长运营时间、缩短发车间隔。“进出站非常便捷，一卡通、亿通行、单程票、计次通勤票、空铁联用乘车二维码都能顺利进出站。”相关负责人介绍，计次通勤票目前还处于推广期，自10月开通至今，售卖情况较好。新京报记者 裴剑飞,地铁大兴机场线开通将满一个月 已运送旅客40万人
48,10月23日 ,河北股友,"此价下不如快全转最低估低价安全正能量全回购注销龙头股601666<span class=""showStock"" id=""stock_sh601666"">平煤股份</span><span id=""quote_sh601666""></span>*属稀缺资源国企，半年业绩巨增，历史高点在60元，忽略日线、周线看月线、季线唯一十年大底的<span class=""showStock"" id=""stock_sh601666"">平煤股份</span><span id=""quote_sh601666""></span>，正能量开启每股5．78元破净资源股，百亿稀缺资源储量，无AH价差和大小非减持压力，最低估不用比不用找了，十个涨停也不多*大股东三亿资金回购注销和价值投资万亿资金目标股。有钱不如有矿道理简单。帐面上钱比市值还多。白捡一个公司。<span id=""show_stock_str"" ></span>",[成交]此价下[爱心]不如快全转最低估低价安全正能量全回购
49,10月22日 ,海南股友,财政部、税务总局：自2019年1月1日起至2020年12月31日止，对纳税人从事大型客机研制项目而形成的增值税期末留抵税额予以退还；对上述纳税人及其全资子公司自用的科研、生产、办公房产及土地，免征房产税、城镇土地使用税。,财政部、税务总局：自2019年1月1日起至2020年12月3
4,10月10日 ,<a href='/u/1400743504' title='定了7816'>定了7816</a>,【中国民航迎史上最大范围空域调整】随着北京大兴国际机场的通航，北京时间2019年10月10日2时确定为大兴机场航行情报生效运行日期，由此涉及的新建机场跑道、重大飞行程序调整、重大空域调整和航路航线走向调整共同生效启用。全国范围内共调整航路航线超过200条、调整班机航线走向4000多条，中国民航迎来史上最大范围的空域调整。（新京报）,【中国民航迎史上最大范围空域调整】随着北
5,10月10日 ,<a href='/u/1574786990' title='覆雨'>覆雨</a>,"航空股是今年最大的灾难<span class=""face-img face-wb-2-3"">[生病]</span>",航空股是今年最大的灾难[生病]
