,time,author,comment,header
0,12月06日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"垃圾公司，卖空，做空它<span class=""face-img face-11"">[卖出]</span><span class=""face-img face-11"">[卖出]</span><span class=""face-img face-11"">[卖出]</span><span class=""face-img face-9"">[减仓]</span><span class=""face-img face-9"">[减仓]</span><span class=""face-img face-9"">[减仓]</span>[下跌][下跌][下跌]",垃圾公司，卖空
1,12月05日 ,<a href='/u/7123860265' title='用户7123860265'>用户7123860265</a>,8块，增发价，就问散户服不服？,8块，增发价
2,12月03日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,这种真正的高科技应该100左右起步价的,这种真正的高科技应该100左右起步价的
3,12月03日 ,<a href='/u/3974118091' title='MoYuiChak'>MoYuiChak</a>,最好的网络安全企业放在这里，机构居然视而不见,最好的网络安全企业放在这里
4,11月24日 ,<a href='/u/3592555740' title='pengpeng725'>pengpeng725</a>,不看好，估值有点虚高了，先跌一半再进合适,不看好，估值有点虚高了
5,11月06日 ,湖北股友,"6G时代的到来，对于网络安全的要求会愈来愈高，对于360来说是利好吗？2030年，数字世界将与物理世界深度融合，人们的生活将愈发依赖可靠的网络运行，这对通信网络的安全问题提出了更高要求，6G网络应具备缓解和抵御网络攻击并追查攻击源头的能力。6G时代的到来必将带来万物互联，产生<span class=""showStock"" id=""stock_sh603138"">海量数据</span><span id=""quote_sh603138""></span>信息。一方面，这些数据关乎个人和企业隐私，实现可靠的数据保护是6G推广应用的前提；另一方面，实时处理这些数据需要成熟的边缘计算技术，而边缘计算还面临数据访问受限、设备计算能力和存储能力不足等问题。<span id=""show_stock_str"" ></span>",6G时代的到来，对于网络安全的要求会愈来愈高
6,11月04日 ,福建股友,"<span class=""showStock"" id=""stock_sh601360"">三六零</span><span id=""quote_sh601360""></span>，国内互联网安全龙头标杆，今天小幅震荡，作为国内安全龙头企业，现在这个位置股价，我觉得就差放量，向上突破了，现在投资者，应该逢低介入布局后市了，别等上涨了又开始追涨，正当逐步布局时，中长线投资者逢低加仓，等待放量，，，，，，<span id=""show_stock_str"" ></span>",三六零，国内互联网安全龙头标杆，今天小幅震荡
7,11月04日 ,湖北股友,"深度和华为的合作的项目产品一旦量产，谁降最为受益，当然是持股最多的360！360最为最大股东的深度与华为的合作不是传闻，而是实锤。深度操作系统海思平台服务器版软件是武汉深之度科技有限公司发布的针对华为海思平台的TaiShan系列服务器发布的企业级服务器操作系统软件产品，主要面向企业级服务器应用场景，为用户在国产化平台上提供更具可用性优势的数据中心、云平台、分布式存储、大数据等解决方案选择。深度科技研发团队经过近年来产品开发和项目实践，基于深度操作系统产品已积累了大量的技术经验，此次结合华为自研海思CPU平台特性，通过整合上游社区资源，成功发布了针对Hi16xx CPU平台的深度操作系统海思平台服务器版软件V15.2产品。该服务器操作系统产品经过深度科技和华为公司的共同严格测试，整体系统稳定可靠、性能卓越，可以为企业级应用提供全面可靠的保障，针对国产化应用需求打造新的国产软硬件平台。该服务器操作系统产品，已经适配国产主流中间件产品：金蝶、<span class=""showStock"" id=""stock_sz300379"">东方通</span><span id=""quote_sz300379""></span>等；国产主流数据库产品：达梦、南大通用、人大金仓等。深度科技欢迎更多的国产软硬件厂商，共同参与国产化应用生态环境的建设！深度科技专注于基于Linux的操作系统的产品研发，面向政、金融、能源、教育、医疗等行业提供基于Linux操作系统的解决方案、技术支持和培训等专业服务。深度科技将致力于在该平台上为用户提供更专业的企业化云计算、虚拟化解决方案技术支撑，提供更高效能的开源云基础设施选项，完成国产化云平台突破。用户与合作伙伴，可以陆续从深度科技获取到面向企业级虚拟化管理的解决方案、分布式存储解决方案、大数据平台解决方案。<span id=""show_stock_str"" ></span>",深度华为的合作事宜
8,11月03日 ,甘肃股友,周五做其他事情忘了发帖，今天补上不晚周五又重拾升势，在60日均线和5月均线支持下盘升，周五有点遗憾没站在10月均线之上，不急，本月才开始，只是历年在11至12月元旦之前资金面有些紧张，但9-10月指数都还是月阳线，跟往年有所不同，指数见底年份2005年的11-12月也是上涨的，其它见底年份11-12月有跌有涨，今年最后40个交易日，熬过去就是黎明！360也在60日均线支持下回升，下月5、10月均线将产生黄金交叉，当然现在是月初，这样说还早一些，希望360开始上涨。再牵出一头牛来，为大盘和360加油！以上属于个人观点，仅供参考，不作为投资依据，各位股友，请独立思考、分析，各自珍重，自己对自己负责,大盘终于还是60日和5月均线支持上升 360下月5月线和10
9,11月03日 ,贵州股友,　　一位权威人士早前接受中国证券报专访时表示，集成电路产业非常广泛，每个领域的突破都可能带来整个产业的进步，但一定要看根本的。可从四个方面考虑：一是关注创新的基础(如计算架构的创新)，“这个问题突破了，它能带动整条产业链技术的创新，而不只是一个元器件”；二是应该关注价值链中占比高、影响大的环节；三是关注构建生态系统的重要环节，如操作系统；四是关注对信息安全影响很大的关键节点。　　工商信息显示，国家大基金二期股东数达到27家。从认缴金额看，单一股东最大投资规模为225亿元，最低的有1亿元，其中12位股东的认缴金额在100亿元及以上，合计1745亿元，占总注册资本的85.48%。　　从资金结构看，较为多样化。有中央财政直接出资，如财政部认缴225亿元，也有地方政府背景资金，如亦庄国投认缴100亿元；有央企资金，如中国烟草总公司认缴150亿元，也有民企资金，如福建三安集团有限公司认缴1亿元；有推进产业转型升级的资金，如广州产业投资基金管理有限公司认缴30亿元，也有专注于电子及集成电路领域投资的资金，如深圳市深超科技投资有限公司认缴30亿元、建广资产认缴1亿元。,500亿基金二期关注构建生态系统、信息安全
