,time,author,comment,header
0,11月11日 ,<a href='/u/6863931817' title='用户6863931817'>用户6863931817</a>,妈个八子的,妈个八子的
1,11月07日 ,贵州股友,本网讯 （见习记者 晏和贵）10月31日，中铝股份、中国稀有稀土金属镓资产交接会在中铝大厦召开。中国稀有稀土委书记、董事长冷正旭，中铝股份委委员、财务总监王军出席会议。冷正旭对三家金属镓企业加入中国稀有稀土表示欢迎，并介绍了稀土行业现状及中国稀有稀土的基本情况。他表示，稀有稀土是有希望的行业，是一个成长中的行业，是一个服务于未来高端制造实现智慧生活、智能生活不可或缺的行业。作为一种稀有金属，镓以其独特的性能广泛应用于电子工业和通讯领域，随着镓下游应用行业的快速发展，未来对金属镓的需求将稳步增长，市场前景广阔，大有可为。希望大家共同努力，用奋斗谱写新时代中国梦中铝新篇章。王军表示，此次资产移交是中铝集团组对中铝股份和中国稀有稀土的战略部署，也是实现中铝集团协同效益最大化、做强做优金属镓产业的重大举措，希望双方密切配合、精诚合作，履行好签署的委托管理协议，共同推进金属镓产业迈上新的台阶。对于下一步工作，他强调，一要抓住契机，实现金属镓业务做强做优；二要精诚合作，实现移交工作无缝衔接；三要做好服务，实现生产运营稳定高效；四要携手共进，实现利益共享合作共赢。会上，中国稀有稀土相关负责人宣布了镓分公司负责人任职文件，介绍了托管期管理思路和原则。中国稀有稀土、中铝股份相关部门、相关企业负责人等参加会议。,中铝股份、中国稀有稀土召开金属镓资产交接会
2,11月06日 ,广西股友,中国铝业持股了19个月，小孩子出生时差不多同时买入的，都快两岁了，现在孩子长高走路会说许多话，也会说中国铝业的股价和名字。我买的时候股价是5.15元，现在快两年，股价是3.45元，股票真的不好玩还折磨人，不知道还要等多久。我再等19个月，如果不涨一定卖掉。烦恼啊！,中国铝业持股了19个月，小孩子出生时差不多同时买入的
3,11月06日 ,黑龙江股友,"大幅增持公告:鉴于<span class=""showStock"" id=""stock_sh601600"">中国铝业</span><span id=""quote_sh601600""></span>的涨幅远远低于大盘，价值被极大低估，现我中铝参与团队对中铝再次进行评估给与A三个，评定买入级别，我们预估未来一年内中铝的股价上浮300%，为了表现对中铝的拳拳爱护之心，现我团队决定六个月内对中铝实行大幅增持，增持股份不超过500股，增持金额不超过2000元。特此公告！<span id=""show_stock_str"" ></span>",大幅增持公告:鉴于中国铝业的涨幅远远低于大盘
4,11月05日 ,<a href='/u/5931857857' title='用户5931857857'>用户5931857857</a>,大盘指数涨的时候你跌大盘指数跌的时候你狂跌。,大盘指数涨的时候你跌大盘指数跌的时候你狂
5,11月05日 ,黑龙江股友,这票要跌到3.1元附件，你们现在是只能硬撑，这票实在是没有行情啊，政府不会再大力搞房地产开发了，所以铝合金材料用量大大减少，再加上铝矿资源现在基本都是进口，成本控制有点难，所以暂时不会有行情的。继续等待，现在只能浪费时间。,这票要跌到3.1元附件，你们现在是只能硬撑
6,11月04日 ,<a href='/u/5931857857' title='用户5931857857'>用户5931857857</a>,妈了个逼标准的仙股,妈了个逼标准的仙股
7,11月04日 ,<a href='/u/5931857857' title='用户5931857857'>用户5931857857</a>,"<span class=""showStock"" id=""stock_sh601600"">中国铝业</span><span id=""quote_sh601600""></span>是标准的仙股胚子<span id=""show_stock_str"" ></span>",中国铝业是标准的仙股胚子
8,10月31日 ,海南股友,这叫什么股票？这叫什么国企？称什么中字头？谈什么龙头股？十一年的投资够不够长？从21元持股至今3.39元！股票至少有个长期投资价值！十年没升值已经也就罢了！如今跌到啥样？这样的公司为什么不被ST？？？？？这样年年亏 ，还能继续上市，真本事，这就是中字 ，国企的含义,这叫什么股票？这叫什么国企？称什么中字头？谈什么龙头股
9,10月30日 ,贵州股友,"总计20亿利润,归中铝股份的只有8亿,其余都是集团的,这是利空.另外中铝高端制造股份公司成立,和中铝股份毛关系没有.好处全归集团,中铝股份负责不断从股市上融资拿钱,将利益输送给集团公司,吸小股东的血,供养集团大股东.肆无忌惮!每次出报告都是花样翻新的吹,跑输同行的时候说跑赢大盘,跑输大盘时说跑赢同行,都跑输时说跑赢自己的过往.每次报告都是战胜了困难取得了成绩,但是股价是一直往下走的,下一步反腐搞不好还会出什么事.真是太无耻了.",太无耻了!
