,time,author,comment,header
0,12月13日 ,<a href='/u/6537050522' title='TigerGuo可爱多'>TigerGuo可爱多</a>,我不知道买这个股来干嘛？分红像挤牙膏，股价月月跌天天跌。,我不知道买这个股来干嘛？分红像挤牙膏
7,12月04日 ,<a href='/u/6874855685' title='用户6874855685'>用户6874855685</a>,中国第一强，走势想狗屎一样，那有这样的世界百强公司,中国第一强，走势想狗屎一样
12,11月29日 ,<a href='/u/2166405295' title='幸运星2166405295'>幸运星2166405295</a>,"6元右叫朋友卖，他赚了一点，不卖<span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span><span class=""face-img face-wb-1-3"">[嘻嘻]</span>现在亏了后悔了。[下跌][下跌][下跌]",6元右叫朋友卖，他赚了一点
15,11月26日 ,<a href='/u/7026127868' title='Death丶舞凌'>Death丶舞凌</a>,走势较强………,走势较强………
18,11月22日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,仍然没有短线机会!,仍然没有短线机会!
21,11月20日 ,<a href='/u/1425685734' title='玉狐冰心2101'>玉狐冰心2101</a>,"这公司到底赚钱不？TMD年年说赚钱，但分红抠死，股价年连跌跌不休<span class=""face-img face-wb-1-9"">[泪]</span><span class=""face-img face-wb-1-9"">[泪]</span>",这公司到底赚钱不？TMD年年说赚钱
25,11月16日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,5倍左右市赢率上市公司就是业绩零增长也值得投资持有!!!,5倍左右市赢率上市公司就是业绩零增长也值
26,11月16日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,逢低继续中长线关注!,逢低继续中长线关注!
28,11月14日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,行业优质低估值价值中长线越低越买(注意仓位及分批买进)!,行业优质低估值价值中长线越低越买(注意仓
29,11月14日 ,<a href='/u/1657143777' title='东方老山羊'>东方老山羊</a>,"<span class=""showStock"" id=""stock_sh601668"">中国建筑</span><span id=""quote_sh601668""></span>仍无短中线机会,长线仍可逢低吸纳!<span id=""show_stock_str"" ></span>",中国建筑仍无短中线机会
32,11月12日 ,<a href='/u/1605959824' title='手机用户1605959824'>手机用户16059598</a>,"到底了吗<span class=""face-img face-wb-2-13"">[可怜]</span>",到底了吗[可怜]
35,11月08日 ,<a href='/u/3265262815' title='投资观察'>投资观察</a>,<p>此股已到了极值哇地，该怎么办？相信你是懂的。</p>,哇地该怎么办
36,11月08日 ,<a href='/u/3302205894' title='洪兴土鸡'>洪兴土鸡</a>,"中国两字开头的股票正在被拋售，竞争力已经明显低于各类垃圾股，难怪格力要进行股权改革了，再不改革，国有企业的竞争将会被铁饭碗吃空。<span class=""showStock"" id=""stock_sh601668"">中国建筑</span><span id=""quote_sh601668""></span>丶<span class=""showStock"" id=""stock_sh601857"">中国石油</span><span id=""quote_sh601857""></span>、<span class=""showStock"" id=""stock_sh601600"">中国铝业</span><span id=""quote_sh601600""></span>丶曾经的中国远洋。<span id=""show_stock_str"" ></span>",中国两字开头的股票正在被拋售
38,11月07日 ,甘肃股友,真的无人敢接。相关股票:浙商银行招商银行万科A中国建筑民生银行中国石油湾区发展突发！安邦系又有大动作：70亿大甩卖，一次性清仓这家全国性股份行！还未享受到浙商银行A股上市红利，作为浙商银行第二大股东的安邦系重要成员——旅行者汽车集团拟转让其持有的浙商银行,真的无人敢接
