,time,author,comment,header
0,12月12日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,天天就是这样,天天就是这样
6,12月05日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,中车要破产了,中车要破产了
10,12月02日 ,<a href='/u/1605959824' title='手机用户1605959824'>手机用户16059598</a>,"真想骂人<span class=""face-img face-wb-2-22"">[黑线]</span>",真想骂人[黑线]
11,12月02日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,骂也不涨哟,骂也不涨哟
20,11月20日 ,<a href='/u/5562667060' title='刘山山15536623487'>刘山山1553662348</a>,套牢盘太多了,套牢盘太多了
21,11月20日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,快点涨啊,快点涨啊
26,11月14日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,大盘涨，你还跌,大盘涨
27,11月13日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,今天还是破7了，这是中国明片，,今天还是破7了，这是中国明片
29,11月14日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,日你大爷,日你大爷
31,11月13日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,明片天天跌哟，它娘的,明片天天跌哟
32,11月13日 ,<a href='/u/2489817280' title='用户2489817280'>用户2489817280</a>,破7了,破7了
34,11月12日 ,<a href='/u/7312112584' title='用户7312112584'>用户7312112584</a>,刘化龙回家卖红薯,刘化龙回家卖红薯
35,11月12日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,还是买茅台好哟,还是买茅台好哟
36,11月12日 ,<a href='/u/1609827402' title='真实人生6033'>真实人生6033</a>,要破产了,要破产了
41,11月06日 ,江西股友,"炒股<span class=""showStock"" id=""stock_sh601766"">中国中车</span><span id=""quote_sh601766""></span>5年成败2015年6月8日39.47元没有怕进国企优质股涨跌控制10/100好股！数天后跌倒30元怕什么国家名企高端产品一定会反弹进！2019年9月份应该吾不怕进了70周年国庆作为国企 会有点涨幅吧又进！5年总投资<span class=""showStock"" id=""stock_sh601766"">中国中车</span><span id=""quote_sh601766""></span>亏损75/100现在中车只是7.25元,现在才能明白投资并非易事！<span id=""show_stock_str"" ></span>",炒股中国中车5年成败2015年6月8日39.47元没有怕进国
42,11月06日 ,河北股友,"此价下不如快全转买回购注销龙头股601666<span class=""showStock"" id=""stock_sh601666"">平煤股份</span><span id=""quote_sh601666""></span>*属稀缺资源国企，半年业绩巨增，历史高点在60元，忽略日线、周线看月线、季线唯一十年大底的<span class=""showStock"" id=""stock_sh601666"">平煤股份</span><span id=""quote_sh601666""></span>，正能量开启每股5．89元破净资源股，百亿稀缺资源储量，无AH价差和大小非减持压力，最低估不用比不用找了，十个涨停也不多*大股东三亿资金回购注销和价值投资万亿资金目标股。有钱不如有矿道理简单。帐面上钱比市值还多。白捡一个公司。<span id=""show_stock_str"" ></span>",[成交]此价下不如快全转买回购注销龙头股601666平煤股份
45,11月04日 ,安徽股友,"集中有限的资金、万众一心，首先启动铁路蓝筹龙头股--<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>！才是明智之举--------------------------目前-中车股息率2.08%(10派1.50元)大秦6.2%(10派4.80元)以现价同样投资1千万元计算，每年分红派息如下：1、以现价7.21元/股.投资<span class=""showStock"" id=""stock_sh601766"">中国中车</span><span id=""quote_sh601766""></span>1千万元 = 每年分红派现20.8万元；2、以现价7.73元/股.投资<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>1千万元 = 每年分红派现62.00万元。不比不知道，一比吓一跳.....------------<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>的基本情况：1、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>，是国务院的玄孙公司、国家铁路集团的孙公司、太原铁路局集团公司的子公司；2、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>总股份148.67亿股；3、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>，拥有客货运输铁路线共2900多公里，其中大同市至秦皇岛的“大秦重载铁路线”653公里，大秦线每年运输量4.5亿吨煤炭，平均每天运输量120-130万吨；4、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>，拥有京津冀晋铁路沿线货场用地6023万平方米=9万亩=60平方公里，是中国澳门土地面积32平方公里的1.82倍，其中北京市境内铁路沿线货场用地497万平方米；5、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>，于2010年以327.90亿元投资朔黄重载铁路-股份占比41.16%，朔黄铁路线里程598公里，年运能3.5亿吨，该公司年利润约80亿元；6、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>，拥有浩吉铁路.里程1831公里的股份占比10%，原始股共59.85亿股；7、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>，拥有唐港重载铁路股份占比19.3%；拥有总投资60亿元.占地4000亩的“中鼎铁路物流园”的控股权.股份占比66%；拥有大兴铁路75%的控股权等；8、<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>，目前公司负债率仅19%：未分配利润累计587.98亿元；.......-------------拭目以待<span id=""show_stock_str"" ></span>",大秦股价10元或以上运行.股息率4.8%
46,11月04日 ,安徽股友,"---------------------------------目前-中车股息率2.08%(10派1.50元)大秦6.2%(10派4.80元)以现价同样投资1千万元计算，每年分红派息如下：1、以现价7.21元/股.投资<span class=""showStock"" id=""stock_sh601766"">中国中车</span><span id=""quote_sh601766""></span>1千万元 = 每年分红派现20.8万元；2、以现价7.73元/股.投资<span class=""showStock"" id=""stock_sh601006"">大秦铁路</span><span id=""quote_sh601006""></span>1千万元 = 每年分红派现62.00万元。不比不知道，一比吓一跳.....------------信不信由你！<span id=""show_stock_str"" ></span>",转战-大秦铁路 可能是明智的选择！
47,11月04日 ,江西股友,"<span class=""showStock"" id=""stock_sh601766"">中国中车</span><span id=""quote_sh601766""></span>业务呈现明显的周期性，宏观来看业务稳定，净资产收益率按周期也在1%、3%、6%、9%跳动，非常稳定，适合做长线投资，要做好长期持有的准备下面是我爬的机构数据，大家可以参考参考。No.1　<span class=""showStock"" id=""stock_sh601766"">中国中车</span><span id=""quote_sh601766""></span>（601766）曾捷（制造业）所属机构：华金证券30日短线成功率：80.00%起评价格：7.21起评日期：2019/11/1No.2　<span class=""showStock"" id=""stock_sz300609"">汇纳科技</span><span id=""quote_sz300609""></span>（300609）万义麟（制造业、信息传输、软件和信息技术服务业、科学研究和技术服务业）所属机构：<span class=""showStock"" id=""stock_sh601788"">光大证券</span><span id=""quote_sh601788""></span>30日短线成功率：72.22%起评价格：38.06起评日期：2019/11/2No.3　<span class=""showStock"" id=""stock_sz000066"">中国长城</span><span id=""quote_sz000066""></span>（000066）万义麟（制造业、信息传输、软件和信息技术服务业、科学研究和技术服务业）所属机构：<span class=""showStock"" id=""stock_sh601788"">光大证券</span><span id=""quote_sh601788""></span>30日短线成功率：72.22%起评价格：15.08起评日期：2019/11/2研究员成功率计算规则：收集全网发布的最新研报，持续跟踪每篇研报内的推荐标的，并计算对应研究员的30日成功概率（30天内最高涨幅达到10%则算成功）。<span id=""show_stock_str"" ></span>",每日分享：带你看看机构关注的个
48,11月04日 ,广东股友,减持公告:鉴于本人亏损严重，临时决定启动减持计划。拟于本日（2019年11月04日）早盘以集合竞价方式减持不多于10000股，减持比利不高于个人所持公司股份的50%，不高于总股本1%。以此优化个人资产结构。减持所得现金用于买贵州茅台，因减持所造成的价格波动，本人深表遗憾！,减持公告:鉴于本人亏损严重，临时决定启动减持计划
