,time,author,comment,header
0,12月12日 ,<a href='/u/1280358827' title='看似思考'>看似思考</a>,国网项目是分拆了中石油的利润机器，对它而言应该是利空。 好在中石油有在本世纪末股价达到1000元的预期，大家坚持！,国网项目是分拆了中石油的利润机器
8,12月03日 ,<a href='/u/3099536121' title='过眼滔滔云共雾算人间'>过眼滔滔云共雾算</a>,走了“油老虎”来了超级大老虎？？？一只比一只恶心,走了“油老虎”来了超级大老虎？？？一只比
9,12月03日 ,<a href='/u/7319058095' title='用户7319058095'>用户7319058095</a>,被套牢一年半的路过,被套牢一年半的路过
11,12月02日 ,<a href='/u/5976270242' title='djiaoya'>djiaoya</a>,满街的新能源汽车和巴士，石油夕阳。,满街的新能源汽车和巴士，石油夕阳
13,11月30日 ,<a href='/u/6884373849' title='用户6884373849'>用户6884373849</a>,下周一估计要猛跌了,下周一估计要猛跌了
14,11月29日 ,<a href='/u/7319058095' title='用户7319058095'>用户7319058095</a>,问君能有几多愁，,问君能有几多愁
16,11月28日 ,<a href='/u/6545262671' title='保佑春天的脚步'>保佑春天的脚步</a>,赶紧超越茅台吧，,赶紧超越茅台吧
20,11月25日 ,<a href='/u/1612421163' title='霧唁'>霧唁</a>,今天竟然还涨了，真不容易,今天竟然还涨了
22,11月22日 ,<a href='/u/2053668250' title='落在你头顶的雨'>落在你头顶的雨</a>,6快的时候买的，亏惨了。 还好只买了一点点，毕竟涨也涨不过其他选定股。,6快的时候买的，亏惨了
23,11月21日 ,<a href='/u/5385628095' title='回去吧_'>回去吧_</a>,问君能有几多愁？,问君能有几多愁？
25,11月22日 ,<a href='/u/7288482421' title='用户7288482421'>用户7288482421</a>,当年杨百万四十多元买入了中石油，最后也在三十二元割肉了,当年杨百万四十多元买入了中石油
26,11月22日 ,<a href='/u/7288482421' title='用户7288482421'>用户7288482421</a>,还是支持中石油倒闭破产，这样按净资产赔付也比现在股价高的多，还是进入破产清算顺序吧,还是支持中石油倒闭破产
27,11月21日 ,<a href='/u/5871763122' title='林牙小1'>林牙小1</a>,股市最重要的成本是时间，最重要的品质是耐心，其他的都是浮云,股市最重要的成本是时间
28,11月20日 ,<a href='/u/7327051874' title='用户7327051874'>用户7327051874</a>,前几天，闲着，5.6买了几手，然后今天5.51出来了，我认了,前几天，闲着，5.6买了几手
