,time,author,comment,header
4,11月06日 ,天津股友,"近期与我买网合作，参加旅游送二盒进口牛奶（1升*2）,但生产日期却是2019年2月6日的，足足过了9个月，把别人都要扔掉的拿来送国人，还要受者出20元运费，这20元都可以在当地买新鲜的喝了。这样的公司太垃圾了！以后还会与他们打交道吗？是否还会通过他们出游？都好好想想清楚！",这个公司垃圾！
5,11月06日 ,云南股友,"转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    股友gJtLwA                                                                                                            发表于 2019-11-06 06:33:33                                                                                                                                              [<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>吧] <span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>拟投资医药生物产业，这使得<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>蕴藏着巨大的爆涨因子……纵观全局，要么                                                  <span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>拟投资医药生物产业，这使得<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>蕴藏着巨大的爆涨因子……纵观全局，要么买<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>，要么销户不再炒股，别无选择。<span id=""show_stock_str"" ></span>",转发
8,11月02日 ,湖南股友,"本报记者 张漫游 北京报道近年来，跨境电商交易规模不断上升。10月23日，《国务院关于加快外贸转型升级推进贸易高质量发展工作情况的报告》提请十三届全国人大常委会审议，其中披露道，据海关统计，2018年跨境电商零售进出口202.8亿美元，同比增长52.3%。<span class=""showStock"" id=""stock_sh601988"">中国银行</span><span id=""quote_sh601988""></span>副行长林景臻表示，跨境电商已经成为中国外贸发展的新动能。除直接带动外贸发展外，通过在对外贸易中引入互联网技术，跨境电商为更多企业和群体带来了新的发展机遇，有力推动了中国经济结构调整和转型。近年来，迅速发展中的跨境电商面临诸多金融服务需求，催生了多家银行推出跨境电商配套金融服务。与传统外贸形势相比，跨境电商具有碎片化、小额化和高频词的特征，对政府监管和银行服务都提出了更高的要求。据介绍，自2014年以来陆续推出了包括“中银跨境e商通”“外贸综合服务企业代理出口收汇”等在内的一系列服务跨境电商市场的金融服务产品。为了适应跨境电商市场环境的变化，11月1日，中行进一步整合内外部优质资源，创新推出跨境电商综合金融服务方案2.0版本。<span class=""showStock"" id=""stock_sh601988"">中国银行</span><span id=""quote_sh601988""></span>交易银行部总经理李芒介绍，新版跨境电商综合金融服务方案旨在为跨境电商市场各参与主体提供全方位金融服务。方案重点打造“聚、融、通”三大服务体系，通过聚集资源、聚拢生态、聚合服务，帮助企业更好地融入全球资金链、价值链、产业链；通过科技融合、场景融入、资金融通，为跨境电商提供全方位的融资支持；通过政策互通、信息联通、支付畅通，打通企业跨境收付和财资管理渠道。三大服务体系围绕进口电商生态、出口电商生态的九大跨境电商参与主体，提供综合金融服务解决方案，覆盖跨境电商行业面临的撮合、融资、支付等核心业务诉求。谈及中行发力跨境电商服务的原因时，李芒表示，其一，近年来跨境电商发展迅速，有巨大市场机会；其二，众多的中小企业是跨境电商的参与主体，支持跨境电商也是响应中央政策有关要求；其三，外汇、外贸业务是中行的传统长项。同时，在第二届中国国际进口博览会即将举办之际，进博会唯一战略合作伙伴<span class=""showStock"" id=""stock_sh601988"">中国银行</span><span id=""quote_sh601988""></span>发布的2.0版跨境电商综合金融服务方案，将在展会期间向50多万个海内外客户提供包括跨境电子商务在内的一系列综合金融服务。（编辑：朱紫云 校对：颜京宁）（来源：中国经营报的财富号 2019-11-02 16:41） [点击查看原文]<span id=""show_stock_str"" ></span>",抢布跨境电商市场 银行升级金融服务方案
9,11月01日 ,北京股友,"<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>的周线级别调整已到位，喜欢做短线的朋友可以考虑逢低分批低仓位布局。月线级别调整还有待观察。美好的事物都看起来的非常的和谐，心灵如水，就像k线图一样。很多新股民，都相信技术的力量。都在想方设法学习各种炒股的技术或者是方法。对于这些勤奋好学的股民我想奉劝一句：方法千千万万种，你永远学不完，你只要学会一种技术，做精一只股票就可以了。永远只买上升趋势的股票。趋势理论你值得学习，值得拥有。<span id=""show_stock_str"" ></span>",中国国旅的周线级别调整已到位
10,11月01日 ,吉林股友,楼主选择出那么多蓝筹白马，少了个茅台。现在的行情，个人认为，目前市场正处在，2016年底开启的牛市的分水岭，可以用波浪理论的第四浪的调整浪来分柝。大牛至今，上面是否出爆雷白马，谁也不清楚？故建议以上证50ETF为主。,楼主选择出那么多蓝筹白马，少了个茅台
12,10月30日 ,广东股友,今日主力净流入：2423.7762万元主力净比：4.43%今日超大单净流入：34.6696万元超大单净比：0.06%今日大单净流入：2389.1066万元大单净比：4.36%今日中单净流入：-399.4603万元中单净比：-0.73%今日小单净流入：-2024.3159万元小单净比：-3.70%,散户杀跌
13,10月30日 ,云南股友,"转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    心旷神怡好天气                                                                                                            发表于 2019-10-30 09:55:55                                                                                                                                              [<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>吧] 时间过的真快，今天是创业板十周岁生日，生日快乐<span class=""face-img face-wb-3-13"">[献花]</span>不知不觉十年就过去了，雅本                                                  时间过的真快，今天是创业板十周岁生日，生日快乐不知不觉十年就过去了，<span class=""showStock"" id=""stock_sz300261"">雅本化学</span><span id=""quote_sz300261""></span>上市已经有8年多，发行价22元<span id=""show_stock_str"" ></span>",转发
14,10月29日 ,广西股友,"<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>前9个月净利润增超五成至42亿元值得关注 10月29日，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>股份有限公司(简称“<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>”)发布2019年第三季度报告。2019年前9个月，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>实现营业收入355.84亿元，同比增长4.35%；实现净利润41.96亿元，同比增长55.09%；实现扣非净利润为34.17亿元，同比增长26.9%。 　　2019年1月，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>股东大会批准将全资子公司国旅总社100%股权转让给中国旅游集团。目前，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>主要从事免税业务及以免税业务为核心的商业综合体投资开发业务。报告显示，因免税业务的增长以及处置国旅总社所致，2019年前9个月，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>的营业利润与利润总额分别实现了同比43.1%与43.96%的增长；因处置国旅总社所致，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>前9个月的投资收益同比增长1686.73%。　　在发布2019年第三季度报告的同时，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>还在其董事会上通过了全资子公司国旅投资发展有限公司(简称“国旅投资”)，以自有资金在海南三亚市设立全资子公司国旅商业管理有限公司(暂定名)，注册资本为人民币5000万元，用于三亚海棠湾河心岛项目的运营管理服务。此外，在2019年前三季度，因国旅投资购买土地等方面的运作，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>的在建工程、无形资产同比增加了37.33%、124.93%。　　2019年1月至9月，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>的免税业务布局动作不断。除中标北京大兴国际机场10年免税经营权以外，今年5月至8月，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>旗下中免集团先后在青岛、厦门、大连、北京、香港、上海等6个城市开设了市内免税店；此外，今年9月，中免集团的第二家邮轮免税店也在“鼓浪屿”号上开业。“鼓浪屿”号是中国第一艘自主运营的豪华邮轮，由中国旅游集团和中国远洋海运集团共同出资设立。（来源：黄草山1的财富号 2019-10-29 20:30） [点击查看原文]<span id=""show_stock_str"" ></span>",中国国旅前9个月净利润增超五成至42亿元值得关注
16,10月28日 ,广西股友,"我今天仔细想想，<span class=""showStock"" id=""stock_sh601888"">中国国旅</span><span id=""quote_sh601888""></span>在90到100之间横了3个月了，也没有突破100，不是没有原因的。前半年向上突破，60，70，80，90，每一个压力位都有一个筑底，缓步上升，突破，盘整，小回调，大回调探底，继续上攻。但都没多长时间，一个平台盘整时间太长，没有形成有效突破。说明市场资金由火热变得趋于理性化，在逐渐发觉他的真正价值。上周四，是一个标志性事件，放大量三个月以来首次跌破90探底到87.10。现在是个分水岭，这次要么探底上攻到98，99这个位置，攻不上去，继续回撤。那就复制去年茅台的走势了，在600到800之间来回拉据战，不突破也不跌破。还有一种可能，这是蓄大势上攻，一举突破这个三个月没有突破的平台100，并站稳在100上方。这是以我对国旅的了解，做出的两种预测，望大家畅所欲言，各抒己见，盲目看多看空者勿论。<span id=""show_stock_str"" ></span>",我今天仔细想想，中国国旅在90到100之间横了3个月了
17,10月25日 ,安徽股友,"虽然这些都是大牛股，但无论怎样，要做价投最好的选择还是<span class=""showStock"" id=""stock_sh600519"">贵州茅台</span><span id=""quote_sh600519""></span>。原因为何？我分析过美国纳斯达克市场成长性大牛股的共同特点：高增长率、高盈利水平和轻资产化是主流，所以主要观察收入、利润、毛利率、现金流、净资产收益率、主营构成等几个核心指标，根据不同的行业运用不同的指标选择。<span class=""showStock"" id=""stock_sh600519"">贵州茅台</span><span id=""quote_sh600519""></span>这些指标是最好的，没有任何一个股能比得上，在这些指标方面，茅台是高高在上无人能及的！再者<span class=""showStock"" id=""stock_sh600519"">贵州茅台</span><span id=""quote_sh600519""></span>的分红也是极高的！美国股市的第一牛股是菲利普·莫里斯，茅台与生产香烟、啤酒、食品的菲利普·莫里斯相比，产品的企业特征要更好。这表现在好几个方面。首先，很少有产品能像茅台这样长期以一定比例涨价。茅台1951 年出厂价1.28 元/ 瓶，现在大于1000 元/ 瓶，年均复合增长率高达11%。其次，很少有企业像茅台的库存，不仅不贬值，还会增值。列个数据：茅台2016 年年报显示，公司库存中有23.6 万吨基酒和1.6 万吨成品酒，这部分库存假设全部成熟进行出售，能给公司带来超过4500 亿的收入，占其9000 亿市值近一半比例。而这近5000 亿的库存每年还在自然以超过10% 的速度增值。再者，很少有企业像茅台一样，拥有行业的定价权。企业的定价权，即企业提价之后是否会因为竞争而损失客户，反映了企业的综合竞争实力。茅台不仅可以自由决定自身的市场定价，不去考虑竞争对手，甚至整个白酒行业的定价标准都随茅台酒而起伏，可谓一荣俱荣、一损俱损。最后，很少有企业像茅台这样，拥有天然的壁垒和不可复制性。茅台的工艺之所以不可复制，其中重要的一点在于其堆积发酵过程中的空气微生物发酵，茅台镇的空气是带不走的，因此自古至今有“离开茅台镇，酿不出茅台酒”的说法。除此以外，酒业经久不衰的特质，能够保证茅台长期的提价增长。茅台1951 年出厂价1.28 元/ 瓶的酒现在大概值几百万，这是老酒，比出厂价涨得更多。改变民族的文化非常难，需要100 年到1000 年。只要中国的白酒文化不变，茅台大概率会存在200 年，甚至1000 年以上。哪怕其产品价格以2% 的速度增长，100 ~ 200 次方都会是一个天文数字。做投资都喜欢用DCF（现金流折现模型）来计算企业价值，一个企业存在20 年与200 年，计算是非常不同的。茅台如果GAGR （年均复合增长率）每年提高2%，按200 年计算，以2018 年的利润为基数，352×（1+2%）200，大概200 年后是1.84万亿元利润。<span id=""show_stock_str"" ></span>",虽然这些都是大牛股，但无论怎样
