,time,author,comment,header
1,12月11日 ,<a href='/u/2059628307' title='做股市赢家'>做股市赢家</a>,因为股票，永远不去永辉了,因为股票
12,11月27日 ,<a href='/u/5093593896' title='FD2007'>FD2007</a>,现在永辉应该可以入了，双12应该利好,现在永辉应该可以入了
22,11月14日 ,<a href='/u/7335979911' title='用户7335979911'>用户7335979911</a>,基本面一定出问题了。,基本面一定出问题了
25,11月12日 ,<a href='/u/7335979911' title='用户7335979911'>用户7335979911</a>,终于变成了垃圾股，破,终于变成了垃圾股
27,11月11日 ,<a href='/u/2059628307' title='做股市赢家'>做股市赢家</a>,"<span class=""showStock"" id=""stock_sh601933"">永辉超市</span><span id=""quote_sh601933""></span>，曹尼玛<span id=""show_stock_str"" ></span>",永辉超市
28,11月11日 ,<a href='/u/7126029577' title='用户7126029577'>用户7126029577</a>,草他妈的大盘这么跌，个股肯定百几把瞎,草他妈的大盘这么跌
32,11月06日 ,江苏股友,"<span class=""showStock"" id=""stock_sh601933"">永辉超市</span><span id=""quote_sh601933""></span>在未来的日子应该更加注重流动性和便捷性.合理利用现在的同城快递包裹.和供应商议价集中采购压低自己单品的利润.扩大自身的流量增长.好省多是超市存在核心价值.保证质量，提高设备设施.让智能化加入超市.提高库存周转率以及大数据处理把需求真正做到点上.希望永辉能成为中国的coscot.<span id=""show_stock_str"" ></span>",永辉超市在未来的日子应该更加注重流动性和便捷性.合理利
33,11月06日 ,江西股友,散户：你能让我赚钱吗？庄家：当然！散户：你会赚我的钱吗？庄家：不会，你怎么会有这样的想法？散户：出货前你会通知我吗？庄家：会的散户：你会套牢我吗？庄家：无论如何都不！散户：我能相信你吗？庄家：哎呀！你在想什么呀！？买了之后，庄家他告诉我：你应该倒过来从下往上读，这才是我的实话......,散户：你能让我赚钱吗？庄家：当然！散户：你会赚我的钱吗
34,11月06日 ,河北股友,大家都别卖，我就不信他不涨，也是奇怪了，故意把我们洗走，他们好拉升！你们看看这个票有啥问题，哪里都没有问题，股价就是不涨，不涨反而一直在爹，天天早上这波，就是想砸下来拿低价筹码，不涨说明，庄筹码还不够多，所以在一直跌跌撞撞，等吧！反正大家都有时间！,大家都别卖，我就不信他不涨，也是奇怪了，故意把我们洗走
36,11月05日 ,安徽股友,这种作法不正常。随着Q3季报亮丽出台，数天股价反而由8.96狠命杀到8.01，哪怕大盘走好也毫不手软直杀到全行业跌幅倒数第二。周五随大盘走强才回升至8.57。周六就连篇累牍出研报，有的比较客观，中肯评价。有的就带着有色眼镜，或则攻其一点不及其余，或则吹毛求疵全盘否定。根本看不到在电商打击下，零售全行业溃不成军，能做到营收第二实属不易。更令人震惊的是全行业大规模收缩时，公司反而迅速扩张，大开门店，没有底气这怎么敢呢？只能说明业态管理还属正常未来可期吧。所以劝告诸位端正投资理念手段也不要过份。这是11.2发表的。今天又旧戏重演，居然杀跌到全行业跌幅倒数第一。够狠！,这种作法不正常
