,time,author,comment,header
2,11月20日 ,<a href='/u/7285227042' title='用户7285227042'>用户7285227042</a>,"换股002475<span class=""showStock"" id=""stock_sz002475"">立讯精密</span><span id=""quote_sz002475""></span><span id=""show_stock_str"" ></span>",换股002475立讯精密
5,11月06日 ,<a href='/u/1322750565' title='信念改变命运'>信念改变命运</a>,基金合力忽悠上去了，将来必将回归价值。,基金合力忽悠上去了，将来必将回归价值
6,11月05日 ,四川股友,"中东土豪阿布扎比投资局玩转投资组合<span class=""showStock"" id=""stock_sz000729"">燕京啤酒</span><span id=""quote_sz000729""></span>投资者关系活动记录表(2019.5.24)时间：2019-5-24 11:08:55证券代码：000729 证券简称：<span class=""showStock"" id=""stock_sz000729"">燕京啤酒</span><span id=""quote_sz000729""></span>北京<span class=""showStock"" id=""stock_sz000729"">燕京啤酒</span><span id=""quote_sz000729""></span>股份有限公司投资者关系活动记录表编号：2019-04【中国国际啤酒网】北京<span class=""showStock"" id=""stock_sz000729"">燕京啤酒</span><span id=""quote_sz000729""></span>股份有限公司投资者关系活动记录表投资者关系活动类别：特定对象调研参与单位名称及人员姓名：阿布达比投资局李光磊时间：2019年5月22日下午地点：公司会议室上市公司接待人员姓名：公司董事会秘书徐月香投资者关系活动主要内容介绍：1、介绍公司概况2、行业发展变化从世界啤酒行业看，亚州已连续多年成为世界最大啤酒产区，中国更是全球啤酒消费量最大的国家。从国内啤酒行业看，整个行业处在由成长期向成熟期发展的阶段，少数几家企业已占据中国绝大部分市场份额。未来国内啤酒行业人均啤酒消费额、吨酒收入等还会持续提高。且随着啤酒行业的竞争升级、消费者需求的多元化，未来啤酒市场将迎来品质至上和价值回归时代。3、公司产品质量近年来，啤酒行业的竞争升级、消费者需求的多元化对啤酒技术质量管理和产品内在品质提出了更高的要求，公司准确把握消费形势和市场变化趋势，致力于打造中国最好的啤酒，获得国家“绿色食品”认证。在产品生产过程中，公司在原材料、酵母菌种、生产设备、酿造用水的使用上均坚持国际标准，清爽型啤酒、鲜啤酒、纯生啤酒的风味持续优化。4、公司基础管理工作2018年，公司进一步搭建并完善物流体系、人力体系、维护体系，着力夯实生产现场基础管理，持续推进管理体系、质量体系、安全体系等各项基础管理工作，为企业科学运营提供坚实保障，不断提高企业综合竞争能力。<span id=""show_stock_str"" ></span>",中东土豪阿布扎比投资局玩转投资组合(图）
7,11月05日 ,福建股友,"11月5日，<span class=""showStock"" id=""stock_sh603288"">海天味业</span><span id=""quote_sh603288""></span>盘中最高价116元，股价连续两日创历史新高。截至收盘，<span class=""showStock"" id=""stock_sh603288"">海天味业</span><span id=""quote_sh603288""></span>最新价为115.2元，上涨0.8%，全日成交金额达到3.96亿元，换手率0.13%。根据最新收盘价进行计算，<span class=""showStock"" id=""stock_sh603288"">海天味业</span><span id=""quote_sh603288""></span>总市值为3110.83亿元。免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。<span id=""show_stock_str"" ></span>",海天味业盘中最高116元
8,11月04日 ,上海股友,"都来认识下“PST股市观察员”，不要回他的评论。1）“PST股市观察员”在重啤吧看空重啤看多燕京，结果呢，重啤从38到今天45；燕京确没有。2）他在多个股吧如<span class=""showStock"" id=""stock_sz002241"">歌尔股份</span><span id=""quote_sz002241""></span>、<span class=""showStock"" id=""stock_sh600600"">青岛啤酒</span><span id=""quote_sh600600""></span>、<span class=""showStock"" id=""stock_sz000858"">五粮液</span><span id=""quote_sz000858""></span>、<span class=""showStock"" id=""stock_sh603288"">海天味业</span><span id=""quote_sh603288""></span>、<span class=""showStock"" id=""stock_sz002461"">珠江啤酒</span><span id=""quote_sz002461""></span>、<span class=""showStock"" id=""stock_sh600519"">贵州茅台</span><span id=""quote_sh600519""></span>等天天唱多他的燕京，以为他高价买的，频繁到各个吧里唱多，结果啪啪打脸哈哈哈。3）以所谓的“中东土豪加仓燕京”为概念，到处在各个吧里鼓吹，恨不得让股价串到天。哈哈哈，天下之大无奇不有　这货丢人丢到家了<span id=""show_stock_str"" ></span>",都来认识下“PST股市观察员”
9,11月04日 ,四川股友,燕京啤酒三季度当季现金等价物净增加额新增3.711亿高于青啤的1.26倍燕京啤酒三季度当季现金等价物净增加额新增3.711亿高于青啤的1.26倍价物净增加额新增3.711亿高于青啤的1.26倍燕京啤酒三季度当季现金等价物净增加额新增3.711亿 为是青岛啤酒三季度当季现金等价物净增加额新增1.667亿的1.26倍,中东土豪阿布扎比投资局玩转:燕京啤酒 海天味业（高低组合
10,11月04日 ,四川股友,燕京啤酒三季度当季现金等价物净增加额新增3.711亿高于青啤的1.26倍燕京啤酒三季度当季现金等价物净增加额新增3.711亿高于青啤的1.26倍价物净增加额新增3.711亿高于青啤的1.26倍燕京啤酒三季度当季现金等价物净增加额新增3.711亿 为是青岛啤酒三季度当季现金等价物净增加额新增1.667亿的1.26倍,中东土豪阿布扎比投资局玩转:燕京啤酒 海天味业（组合投资
11,11月04日 ,甘肃股友,"转发                                                                                                                                                                                ◆                                                  ◆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    东家10圆半猛增展                                                                                                            发表于 2019-11-03 21:40:30                                                                                                                                              [<span class=""showStock"" id=""stock_sz002316"">亚联发展</span><span id=""quote_sz002316""></span>吧] 外资价值投资理念正在深入人心$<span class=""showStock"" id=""stock_sz002799"">环球印务</span><span id=""quote_sz002799""></span>(SZ002799)$$<span class=""showStock"" id=""stock_sh600570"">恒生电子</span><span id=""quote_sh600570""></span>(SH60                                                  外资价值投资理念正在深入人心$<span class=""showStock"" id=""stock_sz002799"">环球印务</span><span id=""quote_sz002799""></span>(SZ002799)$ $<span class=""showStock"" id=""stock_sh600570"">恒生电子</span><span id=""quote_sh600570""></span>(SH600570)$ 量正在变大<span id=""show_stock_str"" ></span>",转发
12,11月04日 ,四川股友,"<span class=""showStock"" id=""stock_sz000729"">燕京啤酒</span><span id=""quote_sz000729""></span>三季度当季现金等价物净增加额新增3.711亿高于青啤的1.26倍<span class=""showStock"" id=""stock_sz000729"">燕京啤酒</span><span id=""quote_sz000729""></span>三季度当季现金等价物净增加额新增3.711亿高于青啤的1.26倍价物净增加额新增3.711亿高于青啤的1.26倍<span class=""showStock"" id=""stock_sz000729"">燕京啤酒</span><span id=""quote_sz000729""></span>三季度当季现金等价物净增加额新增3.711亿 为是<span class=""showStock"" id=""stock_sh600600"">青岛啤酒</span><span id=""quote_sh600600""></span>三季度当季现金等价物净增加额新增1.667亿的1.26倍<span id=""show_stock_str"" ></span>",燕京啤酒三季度当季现金等价物净增加额新增3.711亿高于青
13,11月03日 ,四川股友,啤酒5个不为人知的功效来源：环球网　　　自公元前6000年被巴比伦人发明以来，啤酒就深受人们喜爱，如今已成为继矿泉水后，世界销量第二的饮品。但是啤酒除了用于节庆和解渴的特性外，还有其他意想不到的治疗功效。法国时尚杂志《Marie Claire》盘点了啤酒5个不为人知的功效。　　1. 促进睡眠　　一些研究证明，啤酒花含有蛇麻素，具有镇静作用，这种成分同时有抗抑郁的功效。　　2. 利尿　　如果啤酒花可以对肾脏造成影响的说法没有科学依据，那喝啤酒使体内的液体摄入量同样可以促进肾脏的运作。　　3. 促进心脑血管健康　　事实上，所有酒精饮料中含有的乙醇都会降低人体内胆固醇含量。它同样也能有效降低会造成肥胖的二型糖尿病等疾病的患病率。　　4. 促进骨骼发育　　啤酒对于骨骼发育有良好的促进作用。啤酒中富含硅和植物雌性激素，它会促进骨组织生长，从而防止某些疾病，如骨质疏松症。　　　2003年德国的一项研究表明，啤酒可以抑制体内细菌生长，从而防止胃溃疡。　　不过，医生也警告消费者，因为啤酒同样是某些疾病的成因，过量饮酒会增加其他疾病的患病率。所以啤酒作为一种含酒精饮料，消费者还是应适度消费。,中东土豪阿布扎比投资局：啤酒5个不为人知的功效
