,日期,评论
0,2019/12/15,安妮股份
1,2019/12/15,重大利好，能有88只股涨停吗？
2,2019/12/15,华培动力会涨吗
3,2019/12/15,华培动力会涨吗
4,2019/12/15,确实是重大利好
5,2019/12/15,天广中茂 两市唯一低位待启动股
6,2019/12/15,不对，新闻发布会是在美股盘中开的
7,2019/12/15,已阅
8,2019/12/15,上周五就知道了
9,2019/12/15,春兰股份
10,2019/12/15,很好很好很好啊
11,2019/12/15,中国说到做到，大国风范
12,2019/12/15,多得不能再多了
13,2019/12/15,美股、黄金都很平静，冷静对待
14,2019/12/15,你们手里的股票都涨停
15,2019/12/15,明天千股涨停
16,2019/12/15,宇宙级别的特大利好，全民资金将涌进股市！
17,2019/12/15,有钱怕买不到股票？多的是，我的给你吧
18,2019/12/15,合作共赢
19,2019/12/15,我的全卖给你
20,2019/12/15,买入五成五
21,2019/12/15,马上开盘得了，实在等不及了
22,2019/12/15,满仓通达电气
23,2019/12/15,只有追高买
24,2019/12/15,利好跨镜通
25,2019/12/15,明天一开盘就是大盘涨停，太刺激了。
26,2019/12/15,巴菲特亲二弟是你吗
27,2019/12/15,华培动力会涨吗
28,2019/12/15,华培动力会涨吗
29,2019/12/15,华培动力
30,2019/12/15,利好汽车板块！
31,2019/12/15,合则两利！春季行情期待启动！
32,2019/12/15,很多人基本就别人恐惧时我割肉，别人贪婪时我接盘
33,2019/12/15,你不适合炒股！
34,2019/12/15,明白人
35,2019/12/15,亲诚惠容的外交策略取得成果！为我国的逐步强大点赞！
36,2019/12/15,德邦涨停！
37,2019/12/15,多元金融估值低必大涨。
38,2019/12/15,券商回调，其他题材股爆发
39,2019/12/15,汽车零部件大涨。
40,2019/12/15,早已满仓，不知是好是坏
41,2019/12/15,利好汽车零部件
42,2019/12/15,尾盘买
43,2019/12/15,主要看券商、保险、银行这些大金融股票，如果不大涨，大盘是涨不上去的。
44,2019/12/15,谢谢啊
45,2019/12/15,图片评论
46,2019/12/15,哪一只股票呀？
47,2019/12/15,你想多了，这票没戏
48,2019/12/15,明智的选择
49,2019/12/15,不会的
50,2019/12/15,不会的
51,2019/12/15,银行券商，飞起来吧
52,2019/12/15,不会的
53,2019/12/15,明天还有底点买入吗？
54,2019/12/15,要多少有多少
55,2019/12/15,不确定性解除，特大利好，明天满仓干
56,2019/12/15,3000点稳稳的
57,2019/12/15,多喜爱，借壳上市利好
58,2019/12/15,玩股票玩的就是心跳，哇哈哈
59,2019/12/15,重大利好，千股涨停。
60,2019/12/15,前几个月说3000点很难上，其实也不难麻，两天都上去了？
61,2019/12/15,低开买进
62,2019/12/15,都这么兴奋，那我明天就来个高开高走，尾盘跳水吧，做庄真累
63,2019/12/15,都取消了很多，有些降低了。这次真利好。
64,2019/12/15,汽车股
65,2019/12/15,千股涨停
66,2019/12/15,告诉我哪个是外贸龙头，爷满仓
67,2019/12/15,一个新的时代，一个新的十年，这代人期待的中国红牛市已经来临，崛起，我的国！！！
68,2019/12/15,利好汽车零部件
69,2019/12/15,券商不涨一切扯淡！
70,2019/12/15,明天股票已经买不到了，坐等看大盘涨停！
71,2019/12/15,睡不着
72,2019/12/15,汽车零部件利好 妥妥的
73,2019/12/15,感觉周一要冲高回落
74,2019/12/15,我已经空仓了
75,2019/12/15,江南高纤涨停板
76,2019/12/15,特大利好消息，周一满仓干
77,2019/12/15,这个消息后，都哪些板块收益，大涨呢
78,2019/12/15,利好做出口的汽车零部件公司！
79,2019/12/15,只要有钱都归你！
80,2019/12/15,金融股爆发
81,2019/12/15,我想买毛线，不知会不会涨价？
82,2019/12/15,我还是空仓，这可咋办啊
83,2019/12/15,轮到中材国际涨了
84,2019/12/15,利好纺织，服装，玩具出口
85,2019/12/15,能，我逐渐退出卖给你
86,2019/12/15,钢铁
87,2019/12/15,这里什么情况，祖国万岁
88,2019/12/15,本人郑重声明，为和空仓股友共享牛市，我决定明天减持一半股票给他们。
89,2019/12/15,明天高开高走
90,2019/12/15,利好中广核技
91,2019/12/15,真的要把A股向上调整了吗？
92,2019/12/15,重大利好
93,2019/12/15,大盘要起飞了券商必先暴发，每次都是
94,2019/12/15,不是利好小米吗
95,2019/12/15,涨？
96,2019/12/15,大大后天？
97,2019/12/15,大后天？
98,2019/12/15,后天双13
99,2019/12/15,后天双12
100,2019/12/15,1000
101,2019/12/15,明天双11
102,2019/12/15,为啥加不加征关税农业股都涨呢？这样的思路你能赚到钱吗
103,2019/12/15,周一高开大涨
104,2019/12/15,300059起飞
105,2019/12/15,我也给你
106,2019/12/15,稀土农业涨停！
107,2019/12/15,国际贸易板块将崛起
108,2019/12/15,华贸物流
109,2019/12/15,苏澳传感涨停，汽车零部件
110,2019/12/15,手上的股票加5%的价格转让了
111,2019/12/15,握手言和！利好消费！汽车块板还会涨！
112,2019/12/15,预测趋势的几乎一致看涨，明天9：30见。
113,2019/12/15,我账上有8只，珍宝岛、长青最多你要那个
114,2019/12/15,溢价五个点，转让给你
115,2019/12/15,利好兑现，石油黄金反涨。
116,2019/12/15,没新热点还是照周五的做
117,2019/12/15,利好603767
118,2019/12/15,中国强大了
119,2019/12/15,利好众应互联
120,2019/12/15,这次高开一定要走了
121,2019/12/15,好，起飞
122,2019/12/15,利好中贝通讯，下周涨30%
123,2019/12/15,这周未信息量有点大，希望下周一直涨下去吧[奋斗]，红塔证券已经买不到了！
124,2019/12/15,利好人福医药
125,2019/12/15,本周末重大利好太多了，目不暇接，令股民眼花缭乱了，总之一个字-涨，两个字-大涨，三个字-涨起嗨！四个字-千股涨停
126,2019/12/15,特大利好，大家一定要赶快满仓配合机构减持套现，年末资金紧张啊，持股过年吧，明年股市可能会好的
127,2019/12/15,利好都在顶部的股票，因为顶部散户
128,2019/12/15,这周未信息量有点大，希望下周一直涨下去吧[奋斗]，红塔证券已经买不到了！
129,2019/12/15,这次高开一定要走了
